evento,date,weekday,celebrazione,id_liturgia
Commemorazione dei defunti,2019-11-02,Saturday,2 novembre: Commemorazione di tutti i fedeli defunti – 3° schema,C82-C
Dedicazione Basilica Lateranense,2019-11-09,Saturday,9 novembre: Dedicazione della Basilica lateranense,C83-C
Immacolata Concezione,2019-12-08,Sunday,8 dicembre: Immacolata Concezione della beata Vergine Maria,C84-C
1° Domenica di Avvento,2020-11-29,Sunday,I domenica di Avvento,C1-A
2° Domenica di Avvento,2020-12-06,Sunday,II domenica di Avvento,C2-A
3° Domenica di Avvento - Gaudete,2020-12-13,Sunday,III domenica di Avvento,C3-A
4° Domenica di Avvento,2020-12-20,Sunday,IV domenica di Avvento,C4-A
Natale del Signore,2020-12-25,Friday,Natale del Signore – Messa del giorno,C8-A
Festa della Sacra Famiglia,2020-12-27,Sunday,"Santa Famiglia di Gesù, Maria e Giuseppe",C9-A
Maria Santissima Madre di Dio,2020-01-01,Wednesday,Solennità di Maria SS Madre di Dio,C10-A
Epifania del Signore,2020-01-06,Monday,Epifania del Signore,C12-A
Battesimo del Signore,2020-01-12,Sunday,Battesimo del Signore,C13-A
1° Domenica di Quaresima,2020-03-01,Sunday,I domenica di Quaresima,C14-A
2° Domenica di Quaresima,2020-03-08,Sunday,II domenica di Quaresima,C15-A
3° Domenica di Quaresima,2020-03-15,Sunday,III domenica di Quaresima,C16-A
Domenica Laetare,2020-03-22,Sunday,IV domenica di Quaresima,C17-A
5° Domenica di Quaresima,2020-03-29,Sunday,V domenica di Quaresima,C18-A
Domenica delle Palme,2020-04-05,Sunday,Domenica delle Palme: Passione del Signore,C19-A
Giovedì Santo (Messa del Crisma),2020-04-09,Thursday,Giovedì della Settimana Santa – Messa del Crisma,C20-A
Giovedì Santo (In Cena Domini),2020-04-09,Thursday,Giovedì Santo – Messa vespertina «Cena del Signore»,C21-A
Venerdì Santo (Passione del Signore),2020-04-10,Friday,Venerdì Santo «Passione del Signore»,C22-A
Pasqua - Risurrezione del Signore,2020-04-12,Sunday,Domenica di Pasqua «Risurrezione del Signore» – Messa del giorno,C24-A
2° Domenica di Pasqua o della Divina Misericordia (dom. in Albis),2020-04-19,Sunday,II domenica di Pasqua,C25-A
3° Domenica di Pasqua (Misericordias Domini),2020-04-26,Sunday,III domenica di Pasqua,C26-A
4° Domenica di Pasqua (Jubilate),2020-05-03,Sunday,IV domenica di Pasqua,C27-A
5° Domenica di Pasqua (Cantate),2020-05-10,Sunday,V domenica di Pasqua,C28-A
6° Domenica di Pasqua (Rogate - Vocem jocunditatis),2020-05-17,Sunday,VI domenica di Pasqua,C29-A
Ascensione di Gesù,2020-05-24,Sunday,Ascensione del Signore,C30-A
Pentecoste,2020-05-31,Sunday,Domenica di Pentecoste – Messa del giorno,C33-A
Solennità della Santissima Trinità,2020-06-07,Sunday,Solennità della SS Trinità,C34-A
Santissimo Corpo e Sangue di Cristo,2020-06-14,Sunday,Solennità del SS Corpo e Sangue di Cristo,C35-A
Santissimo Cuore di Gesù,2020-06-19,Friday,Solennità del Sacratissimo Cuore di Gesù,C36-A
2° D.T.O.,2020-01-19,Sunday,II domenica del Tempo Ordinario,C37-A
3° D.T.O.,2020-01-26,Sunday,III domenica del Tempo Ordinario,C38-A
5° D.T.O.,2020-02-09,Sunday,V domenica del Tempo Ordinario,C40-A
6° D.T.O.,2020-02-16,Sunday,VI domenica del Tempo Ordinario,C41-A
7° D.T.O.,2020-02-23,Sunday,VII domenica del Tempo Ordinario,C42-A
12° D.T.O.,2020-06-21,Sunday,XII domenica del Tempo Ordinario,C47-A
13° D.T.O.,2020-06-28,Sunday,XIII domenica del Tempo Ordinario,C48-A
14° D.T.O.,2020-07-05,Sunday,XIV domenica del Tempo Ordinario,C49-A
15° D.T.O.,2020-07-12,Sunday,XV domenica del Tempo Ordinario,C50-A
16° D.T.O.,2020-07-19,Sunday,XVI domenica del Tempo Ordinario,C51-A
17° D.T.O.,2020-07-26,Sunday,XVII domenica del Tempo Ordinario,C52-A
18° D.T.O.,2020-08-02,Sunday,XVIII domenica del Tempo Ordinario,C53-A
19° D.T.O.,2020-08-09,Sunday,XIX domenica del Tempo Ordinario,C54-A
20° D.T.O.,2020-08-16,Sunday,XX domenica del Tempo Ordinario,C55-A
21° D.T.O.,2020-08-23,Sunday,XXI domenica del Tempo Ordinario,C56-A
22° D.T.O.,2020-08-30,Sunday,XXII domenica del Tempo Ordinario,C57-A
23° D.T.O.,2020-09-06,Sunday,XXIII domenica del Tempo Ordinario,C58-A
24° D.T.O.,2020-09-13,Sunday,XXIV domenica del Tempo Ordinario,C59-A
25° D.T.O.,2020-09-20,Sunday,XXV domenica del Tempo Ordinario,C60-A
26° D.T.O.,2020-09-27,Sunday,XXVI domenica del Tempo Ordinario,C61-A
27° D.T.O.,2020-10-04,Sunday,XXVII domenica del Tempo Ordinario,C62-A
28° D.T.O.,2020-10-11,Sunday,XXVIII domenica del Tempo Ordinario,C63-A
29° D.T.O.,2020-10-18,Sunday,XXIX domenica del Tempo Ordinario,C64-A
30° D.T.O.,2020-10-25,Sunday,XXX domenica del Tempo Ordinario,C65-A
32° D.T.O.,2020-11-08,Sunday,XXXII domenica del Tempo Ordinario,C67-A
33° D.T.O.,2020-11-15,Sunday,XXXIII domenica del Tempo Ordinario,C68-A
34° D.T.O. - Solennità di Cristo Re,2020-11-22,Sunday,Solennità di nostro Signore Gesù Cristo Re dell’universo,C69-A
Presentazione del Signore (Candelora),2020-02-02,Sunday,2 febbraio: Presentazione del Signore,C70-A
Natività di San Giovanni Battista,2020-06-24,Wednesday,24 giugno: Natività di san Giovanni Battista – Messa del giorno,C72-A
