evento,date,weekday,celebrazione,id_liturgia
Assunzione della Beata Vergine Maria,2026-08-15,Saturday,15 agosto: Assunzione della beata Vergine Maria – Messa del giorno,C77-A
Esaltazione della Santa Croce,2026-09-14,Monday,14 settembre: Esaltazione della Santa Croce,C78-A
Solennità di tutti i Santi,2026-11-01,Sunday,1 novembre: Tutti i Santi,C79-A
Commemorazione dei defunti,2026-11-02,Monday,2 novembre: Commemorazione di tutti i fedeli defunti – 1° schema,C80-A
Commemorazione dei defunti,2026-11-02,Monday,2 novembre: Commemorazione di tutti i fedeli defunti – 2° schema,C81-A
Commemorazione dei defunti,2026-11-02,Monday,2 novembre: Commemorazione di tutti i fedeli defunti – 3° schema,C82-A
Dedicazione Basilica Lateranense,2026-11-09,Monday,9 novembre: Dedicazione della Basilica lateranense,C83-A
Immacolata Concezione,2026-12-08,Tuesday,8 dicembre: Immacolata Concezione della beata Vergine Maria,C84-A
1° Domenica di Avvento,2027-11-28,Sunday,I domenica di Avvento,C1-B
2° Domenica di Avvento,2027-12-05,Sunday,II domenica di Avvento,C2-B
3° Domenica di Avvento - Gaudete,2027-12-12,Sunday,III domenica di Avvento,C3-B
4° Domenica di Avvento,2027-12-19,Sunday,IV domenica di Avvento,C4-B
Natale del Signore,2027-12-25,Saturday,Natale del Signore – Messa del giorno,C8-B
Festa della Sacra Famiglia,2027-12-26,Sunday,"Santa Famiglia di Gesù, Maria e Giuseppe",C9-B
Maria Santissima Madre di Dio,2027-01-01,Friday,Solennità di Maria SS Madre di Dio,C10-B
2° domenica dopo natale,2027-01-03,Sunday,II domenica dopo Natale,C11-B
Epifania del Signore,2027-01-06,Wednesday,Epifania del Signore,C12-B
Battesimo del Signore,2027-01-10,Sunday,Battesimo del Signore,C13-B
1° Domenica di Quaresima,2027-02-14,Sunday,I domenica di Quaresima,C14-B
2° Domenica di Quaresima,2027-02-21,Sunday,II domenica di Quaresima,C15-B
3° Domenica di Quaresima,2027-02-28,Sunday,III domenica di Quaresima,C16-B
Domenica Laetare,2027-03-07,Sunday,IV domenica di Quaresima,C17-B
5° Domenica di Quaresima,2027-03-14,Sunday,V domenica di Quaresima,C18-B
Domenica delle Palme,2027-03-21,Sunday,Domenica delle Palme: Passione del Signore,C19-B
Giovedì Santo (Messa del Crisma),2027-03-25,Thursday,Giovedì della Settimana Santa – Messa del Crisma,C20-B
Giovedì Santo (In Cena Domini),2027-03-25,Thursday,Giovedì Santo – Messa vespertina «Cena del Signore»,C21-B
Venerdì Santo (Passione del Signore),2027-03-26,Friday,Venerdì Santo «Passione del Signore»,C22-B
Pasqua - Risurrezione del Signore,2027-03-28,Sunday,Domenica di Pasqua «Risurrezione del Signore» – Messa del giorno,C24-B
2° Domenica di Pasqua o della Divina Misericordia (dom. in Albis),2027-04-04,Sunday,II domenica di Pasqua,C25-B
3° Domenica di Pasqua (Misericordias Domini),2027-04-11,Sunday,III domenica di Pasqua,C26-B
4° Domenica di Pasqua (Jubilate),2027-04-18,Sunday,IV domenica di Pasqua,C27-B
5° Domenica di Pasqua (Cantate),2027-04-25,Sunday,V domenica di Pasqua,C28-B
6° Domenica di Pasqua (Rogate - Vocem jocunditatis),2027-05-02,Sunday,VI domenica di Pasqua,C29-B
Ascensione di Gesù,2027-05-09,Sunday,Ascensione del Signore,C30-B
Pentecoste,2027-05-16,Sunday,Domenica di Pentecoste – Messa del giorno,C33-B
Solennità della Santissima Trinità,2027-05-23,Sunday,Solennità della SS Trinità,C34-B
Santissimo Corpo e Sangue di Cristo,2027-05-30,Sunday,Solennità del SS Corpo e Sangue di Cristo,C35-B
Santissimo Cuore di Gesù,2027-06-04,Friday,Solennità del Sacratissimo Cuore di Gesù,C36-B
2° D.T.O.,2027-01-17,Sunday,II domenica del Tempo Ordinario,C37-B
3° D.T.O.,2027-01-24,Sunday,III domenica del Tempo Ordinario,C38-B
4° D.T.O.,2027-01-31,Sunday,IV domenica del Tempo Ordinario,C39-B
5° D.T.O.,2027-02-07,Sunday,V domenica del Tempo Ordinario,C40-B
10° D.T.O.,2027-06-06,Sunday,X domenica del Tempo Ordinario,C45-B
11° D.T.O.,2027-06-13,Sunday,XI domenica del Tempo Ordinario,C46-B
12° D.T.O.,2027-06-20,Sunday,XII domenica del Tempo Ordinario,C47-B
13° D.T.O.,2027-06-27,Sunday,XIII domenica del Tempo Ordinario,C48-B
14° D.T.O.,2027-07-04,Sunday,XIV domenica del Tempo Ordinario,C49-B
15° D.T.O.,2027-07-11,Sunday,XV domenica del Tempo Ordinario,C50-B
16° D.T.O.,2027-07-18,Sunday,XVI domenica del Tempo Ordinario,C51-B
17° D.T.O.,2027-07-25,Sunday,XVII domenica del Tempo Ordinario,C52-B
18° D.T.O.,2027-08-01,Sunday,XVIII domenica del Tempo Ordinario,C53-B
19° D.T.O.,2027-08-08,Sunday,XIX domenica del Tempo Ordinario,C54-B
21° D.T.O.,2027-08-22,Sunday,XXI domenica del Tempo Ordinario,C56-B
22° D.T.O.,2027-08-29,Sunday,XXII domenica del Tempo Ordinario,C57-B
23° D.T.O.,2027-09-05,Sunday,XXIII domenica del Tempo Ordinario,C58-B
24° D.T.O.,2027-09-12,Sunday,XXIV domenica del Tempo Ordinario,C59-B
25° D.T.O.,2027-09-19,Sunday,XXV domenica del Tempo Ordinario,C60-B
26° D.T.O.,2027-09-26,Sunday,XXVI domenica del Tempo Ordinario,C61-B
27° D.T.O.,2027-10-03,Sunday,XXVII domenica del Tempo Ordinario,C62-B
28° D.T.O.,2027-10-10,Sunday,XXVIII domenica del Tempo Ordinario,C63-B
29° D.T.O.,2027-10-17,Sunday,XXIX domenica del Tempo Ordinario,C64-B
30° D.T.O.,2027-10-24,Sunday,XXX domenica del Tempo Ordinario,C65-B
31° D.T.O.,2027-10-31,Sunday,XXXI domenica del Tempo Ordinario,C66-B
32° D.T.O.,2027-11-07,Sunday,XXXII domenica del Tempo Ordinario,C67-B
33° D.T.O.,2027-11-14,Sunday,XXXIII domenica del Tempo Ordinario,C68-B
34° D.T.O. - Solennità di Cristo Re,2027-11-21,Sunday,Solennità di nostro Signore Gesù Cristo Re dell’universo,C69-B
Presentazione del Signore (Candelora),2027-02-02,Tuesday,2 febbraio: Presentazione del Signore,C70-B
Natività di San Giovanni Battista,2027-06-24,Thursday,24 giugno: Natività di san Giovanni Battista – Messa del giorno,C72-B
Santi Pietro e Paolo Apostoli,2027-06-29,Tuesday,29 giugno: Santi Pietro e Paolo apostoli – Messa del giorno,C74-B
Trasfigurazione del Signore,2027-08-06,Friday,6 agosto: Trasfigurazione del Signore,C75-B
Assunzione della Beata Vergine Maria,2027-08-15,Sunday,15 agosto: Assunzione della beata Vergine Maria – Messa del giorno,C77-B
Esaltazione della Santa Croce,2027-09-14,Tuesday,14 settembre: Esaltazione della Santa Croce,C78-B
Solennità di tutti i Santi,2027-11-01,Monday,1 novembre: Tutti i Santi,C79-B
Commemorazione dei defunti,2027-11-02,Tuesday,2 novembre: Commemorazione di tutti i fedeli defunti – 1° schema,C80-B
Commemorazione dei defunti,2027-11-02,Tuesday,2 novembre: Commemorazione di tutti i fedeli defunti – 2° schema,C81-B
Commemorazione dei defunti,2027-11-02,Tuesday,2 novembre: Commemorazione di tutti i fedeli defunti – 3° schema,C82-B
Dedicazione Basilica Lateranense,2027-11-09,Tuesday,9 novembre: Dedicazione della Basilica lateranense,C83-B
Immacolata Concezione,2027-12-08,Wednesday,8 dicembre: Immacolata Concezione della beata Vergine Maria,C84-B
1° Domenica di Avvento,2028-12-03,Sunday,I domenica di Avvento,C1-C
2° Domenica di Avvento,2028-12-10,Sunday,II domenica di Avvento,C2-C
3° Domenica di Avvento - Gaudete,2028-12-17,Sunday,III domenica di Avvento,C3-C
4° Domenica di Avvento,2028-12-24,Sunday,IV domenica di Avvento,C4-C
Natale del Signore,2028-12-25,Monday,Natale del Signore – Messa del giorno,C8-C
Festa della Sacra Famiglia,2028-12-31,Sunday,"Santa Famiglia di Gesù, Maria e Giuseppe",C9-C
Maria Santissima Madre di Dio,2028-01-01,Saturday,Solennità di Maria SS Madre di Dio,C10-C
Epifania del Signore,2028-01-06,Thursday,Epifania del Signore,C12-C
Battesimo del Signore,2028-01-09,Sunday,Battesimo del Signore,C13-C
1° Domenica di Quaresima,2028-03-05,Sunday,I domenica di Quaresima,C14-C
2° Domenica di Quaresima,2028-03-12,Sunday,II domenica di Quaresima,C15-C
3° Domenica di Quaresima,2028-03-19,Sunday,III domenica di Quaresima,C16-C
Domenica Laetare,2028-03-26,Sunday,IV domenica di Quaresima,C17-C
5° Domenica di Quaresima,2028-04-02,Sunday,V domenica di Quaresima,C18-C
Domenica delle Palme,2028-04-09,Sunday,Domenica delle Palme: Passione del Signore,C19-C
Giovedì Santo (Messa del Crisma),2028-04-13,Thursday,Giovedì della Settimana Santa – Messa del Crisma,C20-C
Giovedì Santo (In Cena Domini),2028-04-13,Thursday,Giovedì Santo – Messa vespertina «Cena del Signore»,C21-C
Venerdì Santo (Passione del Signore),2028-04-14,Friday,Venerdì Santo «Passione del Signore»,C22-C
Pasqua - Risurrezione del Signore,2028-04-16,Sunday,Domenica di Pasqua «Risurrezione del Signore» – Messa del giorno,C24-C
2° Domenica di Pasqua o della Divina Misericordia (dom. in Albis),2028-04-23,Sunday,II domenica di Pasqua,C25-C
3° Domenica di Pasqua (Misericordias Domini),2028-04-30,Sunday,III domenica di Pasqua,C26-C
4° Domenica di Pasqua (Jubilate),2028-05-07,Sunday,IV domenica di Pasqua,C27-C
5° Domenica di Pasqua (Cantate),2028-05-14,Sunday,V domenica di Pasqua,C28-C
6° Domenica di Pasqua (Rogate - Vocem jocunditatis),2028-05-21,Sunday,VI domenica di Pasqua,C29-C
Ascensione di Gesù,2028-05-28,Sunday,Ascensione del Signore,C30-C
Pentecoste,2028-06-04,Sunday,Domenica di Pentecoste – Messa del giorno,C33-C
Solennità della Santissima Trinità,2028-06-11,Sunday,Solennità della SS Trinità,C34-C
Santissimo Corpo e Sangue di Cristo,2028-06-18,Sunday,Solennità del SS Corpo e Sangue di Cristo,C35-C
Santissimo Cuore di Gesù,2028-06-23,Friday,Solennità del Sacratissimo Cuore di Gesù,C36-C
2° D.T.O.,2028-01-16,Sunday,II domenica del Tempo Ordinario,C37-C
3° D.T.O.,2028-01-23,Sunday,III domenica del Tempo Ordinario,C38-C
4° D.T.O.,2028-01-30,Sunday,IV domenica del Tempo Ordinario,C39-C
5° D.T.O.,2028-02-06,Sunday,V domenica del Tempo Ordinario,C40-C
6° D.T.O.,2028-02-13,Sunday,VI domenica del Tempo Ordinario,C41-C
7° D.T.O.,2028-02-20,Sunday,VII domenica del Tempo Ordinario,C42-C
8° D.T.O.,2028-02-27,Sunday,VIII domenica del Tempo Ordinario,C43-C
12° D.T.O.,2028-06-25,Sunday,XII domenica del Tempo Ordinario,C47-C
13° D.T.O.,2028-07-02,Sunday,XIII domenica del Tempo Ordinario,C48-C
14° D.T.O.,2028-07-09,Sunday,XIV domenica del Tempo Ordinario,C49-C
15° D.T.O.,2028-07-16,Sunday,XV domenica del Tempo Ordinario,C50-C
16° D.T.O.,2028-07-23,Sunday,XVI domenica del Tempo Ordinario,C51-C
17° D.T.O.,2028-07-30,Sunday,XVII domenica del Tempo Ordinario,C52-C
19° D.T.O.,2028-08-13,Sunday,XIX domenica del Tempo Ordinario,C54-C
20° D.T.O.,2028-08-20,Sunday,XX domenica del Tempo Ordinario,C55-C
21° D.T.O.,2028-08-27,Sunday,XXI domenica del Tempo Ordinario,C56-C
22° D.T.O.,2028-09-03,Sunday,XXII domenica del Tempo Ordinario,C57-C
23° D.T.O.,2028-09-10,Sunday,XXIII domenica del Tempo Ordinario,C58-C
24° D.T.O.,2028-09-17,Sunday,XXIV domenica del Tempo Ordinario,C59-C
25° D.T.O.,2028-09-24,Sunday,XXV domenica del Tempo Ordinario,C60-C
26° D.T.O.,2028-10-01,Sunday,XXVI domenica del Tempo Ordinario,C61-C
27° D.T.O.,2028-10-08,Sunday,XXVII domenica del Tempo Ordinario,C62-C
28° D.T.O.,2028-10-15,Sunday,XXVIII domenica del Tempo Ordinario,C63-C
29° D.T.O.,2028-10-22,Sunday,XXIX domenica del Tempo Ordinario,C64-C
30° D.T.O.,2028-10-29,Sunday,XXX domenica del Tempo Ordinario,C65-C
31° D.T.O.,2028-11-05,Sunday,XXXI domenica del Tempo Ordinario,C66-C
32° D.T.O.,2028-11-12,Sunday,XXXII domenica del Tempo Ordinario,C67-C
33° D.T.O.,2028-11-19,Sunday,XXXIII domenica del Tempo Ordinario,C68-C
34° D.T.O. - Solennità di Cristo Re,2028-11-26,Sunday,Solennità di nostro Signore Gesù Cristo Re dell’universo,C69-C
Presentazione del Signore (Candelora),2028-02-02,Wednesday,2 febbraio: Presentazione del Signore,C70-C
Natività di San Giovanni Battista,2028-06-24,Saturday,24 giugno: Natività di san Giovanni Battista – Messa del giorno,C72-C
Santi Pietro e Paolo Apostoli,2028-06-29,Thursday,29 giugno: Santi Pietro e Paolo apostoli – Messa del giorno,C74-C
Trasfigurazione del Signore,2028-08-06,Sunday,6 agosto: Trasfigurazione del Signore,C75-C
Assunzione della Beata Vergine Maria,2028-08-15,Tuesday,15 agosto: Assunzione della beata Vergine Maria – Messa del giorno,C77-C
Esaltazione della Santa Croce,2028-09-14,Thursday,14 settembre: Esaltazione della Santa Croce,C78-C
Solennità di tutti i Santi,2028-11-01,Wednesday,1 novembre: Tutti i Santi,C79-C
Commemorazione dei defunti,2028-11-02,Thursday,2 novembre: Commemorazione di tutti i fedeli defunti – 1° schema,C80-C
Commemorazione dei defunti,2028-11-02,Thursday,2 novembre: Commemorazione di tutti i fedeli defunti – 2° schema,C81-C
Commemorazione dei defunti,2028-11-02,Thursday,2 novembre: Commemorazione di tutti i fedeli defunti – 3° schema,C82-C
Dedicazione Basilica Lateranense,2028-11-09,Thursday,9 novembre: Dedicazione della Basilica lateranense,C83-C
Immacolata Concezione,2028-12-08,Friday,8 dicembre: Immacolata Concezione della beata Vergine Maria,C84-C
1° Domenica di Avvento,2029-12-02,Sunday,I domenica di Avvento,C1-A
2° Domenica di Avvento,2029-12-09,Sunday,II domenica di Avvento,C2-A
3° Domenica di Avvento - Gaudete,2029-12-16,Sunday,III domenica di Avvento,C3-A
4° Domenica di Avvento,2029-12-23,Sunday,IV domenica di Avvento,C4-A
Natale del Signore,2029-12-25,Tuesday,Natale del Signore – Messa del giorno,C8-A
Festa della Sacra Famiglia,2029-12-30,Sunday,"Santa Famiglia di Gesù, Maria e Giuseppe",C9-A
Maria Santissima Madre di Dio,2029-01-01,Monday,Solennità di Maria SS Madre di Dio,C10-A
Epifania del Signore,2029-01-06,Saturday,Epifania del Signore,C12-A
Battesimo del Signore,2029-01-07,Sunday,Battesimo del Signore,C13-A
1° Domenica di Quaresima,2029-02-18,Sunday,I domenica di Quaresima,C14-A
2° Domenica di Quaresima,2029-02-25,Sunday,II domenica di Quaresima,C15-A
3° Domenica di Quaresima,2029-03-04,Sunday,III domenica di Quaresima,C16-A
Domenica Laetare,2029-03-11,Sunday,IV domenica di Quaresima,C17-A
5° Domenica di Quaresima,2029-03-18,Sunday,V domenica di Quaresima,C18-A
Domenica delle Palme,2029-03-25,Sunday,Domenica delle Palme: Passione del Signore,C19-A
Giovedì Santo (Messa del Crisma),2029-03-29,Thursday,Giovedì della Settimana Santa – Messa del Crisma,C20-A
Giovedì Santo (In Cena Domini),2029-03-29,Thursday,Giovedì Santo – Messa vespertina «Cena del Signore»,C21-A
Venerdì Santo (Passione del Signore),2029-03-30,Friday,Venerdì Santo «Passione del Signore»,C22-A
Pasqua - Risurrezione del Signore,2029-04-01,Sunday,Domenica di Pasqua «Risurrezione del Signore» – Messa del giorno,C24-A
2° Domenica di Pasqua o della Divina Misericordia (dom. in Albis),2029-04-08,Sunday,II domenica di Pasqua,C25-A
3° Domenica di Pasqua (Misericordias Domini),2029-04-15,Sunday,III domenica di Pasqua,C26-A
4° Domenica di Pasqua (Jubilate),2029-04-22,Sunday,IV domenica di Pasqua,C27-A
5° Domenica di Pasqua (Cantate),2029-04-29,Sunday,V domenica di Pasqua,C28-A
6° Domenica di Pasqua (Rogate - Vocem jocunditatis),2029-05-06,Sunday,VI domenica di Pasqua,C29-A
Ascensione di Gesù,2029-05-13,Sunday,Ascensione del Signore,C30-A
Pentecoste,2029-05-20,Sunday,Domenica di Pentecoste – Messa del giorno,C33-A
Solennità della Santissima Trinità,2029-05-27,Sunday,Solennità della SS Trinità,C34-A
Santissimo Corpo e Sangue di Cristo,2029-06-03,Sunday,Solennità del SS Corpo e Sangue di Cristo,C35-A
Santissimo Cuore di Gesù,2029-06-08,Friday,Solennità del Sacratissimo Cuore di Gesù,C36-A
2° D.T.O.,2029-01-14,Sunday,II domenica del Tempo Ordinario,C37-A
3° D.T.O.,2029-01-21,Sunday,III domenica del Tempo Ordinario,C38-A
4° D.T.O.,2029-01-28,Sunday,IV domenica del Tempo Ordinario,C39-A
5° D.T.O.,2029-02-04,Sunday,V domenica del Tempo Ordinario,C40-A
6° D.T.O.,2029-02-11,Sunday,VI domenica del Tempo Ordinario,C41-A
10° D.T.O.,2029-06-10,Sunday,X domenica del Tempo Ordinario,C45-A
11° D.T.O.,2029-06-17,Sunday,XI domenica del Tempo Ordinario,C46-A
13° D.T.O.,2029-07-01,Sunday,XIII domenica del Tempo Ordinario,C48-A
14° D.T.O.,2029-07-08,Sunday,XIV domenica del Tempo Ordinario,C49-A
15° D.T.O.,2029-07-15,Sunday,XV domenica del Tempo Ordinario,C50-A
16° D.T.O.,2029-07-22,Sunday,XVI domenica del Tempo Ordinario,C51-A
17° D.T.O.,2029-07-29,Sunday,XVII domenica del Tempo Ordinario,C52-A
18° D.T.O.,2029-08-05,Sunday,XVIII domenica del Tempo Ordinario,C53-A
19° D.T.O.,2029-08-12,Sunday,XIX domenica del Tempo Ordinario,C54-A
20° D.T.O.,2029-08-19,Sunday,XX domenica del Tempo Ordinario,C55-A
21° D.T.O.,2029-08-26,Sunday,XXI domenica del Tempo Ordinario,C56-A
22° D.T.O.,2029-09-02,Sunday,XXII domenica del Tempo Ordinario,C57-A
23° D.T.O.,2029-09-09,Sunday,XXIII domenica del Tempo Ordinario,C58-A
24° D.T.O.,2029-09-16,Sunday,XXIV domenica del Tempo Ordinario,C59-A
25° D.T.O.,2029-09-23,Sunday,XXV domenica del Tempo Ordinario,C60-A
26° D.T.O.,2029-09-30,Sunday,XXVI domenica del Tempo Ordinario,C61-A
27° D.T.O.,2029-10-07,Sunday,XXVII domenica del Tempo Ordinario,C62-A
28° D.T.O.,2029-10-14,Sunday,XXVIII domenica del Tempo Ordinario,C63-A
29° D.T.O.,2029-10-21,Sunday,XXIX domenica del Tempo Ordinario,C64-A
30° D.T.O.,2029-10-28,Sunday,XXX domenica del Tempo Ordinario,C65-A
31° D.T.O.,2029-11-04,Sunday,XXXI domenica del Tempo Ordinario,C66-A
32° D.T.O.,2029-11-11,Sunday,XXXII domenica del Tempo Ordinario,C67-A
33° D.T.O.,2029-11-18,Sunday,XXXIII domenica del Tempo Ordinario,C68-A
34° D.T.O. - Solennità di Cristo Re,2029-11-25,Sunday,Solennità di nostro Signore Gesù Cristo Re dell’universo,C69-A
Presentazione del Signore (Candelora),2029-02-02,Friday,2 febbraio: Presentazione del Signore,C70-A
Natività di San Giovanni Battista,2029-06-24,Sunday,24 giugno: Natività di san Giovanni Battista – Messa del giorno,C72-A
Santi Pietro e Paolo Apostoli,2029-06-29,Friday,29 giugno: Santi Pietro e Paolo apostoli – Messa del giorno,C74-A
Trasfigurazione del Signore,2029-08-06,Monday,6 agosto: Trasfigurazione del Signore,C75-A
Assunzione della Beata Vergine Maria,2029-08-15,Wednesday,15 agosto: Assunzione della beata Vergine Maria – Messa del giorno,C77-A
Esaltazione della Santa Croce,2029-09-14,Friday,14 settembre: Esaltazione della Santa Croce,C78-A
Solennità di tutti i Santi,2029-11-01,Thursday,1 novembre: Tutti i Santi,C79-A
Commemorazione dei defunti,2029-11-02,Friday,2 novembre: Commemorazione di tutti i fedeli defunti – 1° schema,C80-A
Commemorazione dei defunti,2029-11-02,Friday,2 novembre: Commemorazione di tutti i fedeli defunti – 2° schema,C81-A
Commemorazione dei defunti,2029-11-02,Friday,2 novembre: Commemorazione di tutti i fedeli defunti – 3° schema,C82-A
Dedicazione Basilica Lateranense,2029-11-09,Friday,9 novembre: Dedicazione della Basilica lateranense,C83-A
Immacolata Concezione,2029-12-08,Saturday,8 dicembre: Immacolata Concezione della beata Vergine Maria,C84-A
1° Domenica di Avvento,2030-12-01,Sunday,I domenica di Avvento,C1-B
2° Domenica di Avvento,2030-12-08,Sunday,II domenica di Avvento,C2-B
3° Domenica di Avvento - Gaudete,2030-12-15,Sunday,III domenica di Avvento,C3-B
4° Domenica di Avvento,2030-12-22,Sunday,IV domenica di Avvento,C4-B
Natale del Signore,2030-12-25,Wednesday,Natale del Signore – Messa del giorno,C8-B
Festa della Sacra Famiglia,2030-12-29,Sunday,"Santa Famiglia di Gesù, Maria e Giuseppe",C9-B
Maria Santissima Madre di Dio,2030-01-01,Tuesday,Solennità di Maria SS Madre di Dio,C10-B
Epifania del Signore,2030-01-06,Sunday,Epifania del Signore,C12-B
Battesimo del Signore,2030-01-13,Sunday,Battesimo del Signore,C13-B
1° Domenica di Quaresima,2030-03-10,Sunday,I domenica di Quaresima,C14-B
2° Domenica di Quaresima,2030-03-17,Sunday,II domenica di Quaresima,C15-B
3° Domenica di Quaresima,2030-03-24,Sunday,III domenica di Quaresima,C16-B
Domenica Laetare,2030-03-31,Sunday,IV domenica di Quaresima,C17-B
5° Domenica di Quaresima,2030-04-07,Sunday,V domenica di Quaresima,C18-B
Domenica delle Palme,2030-04-14,Sunday,Domenica delle Palme: Passione del Signore,C19-B
Giovedì Santo (Messa del Crisma),2030-04-18,Thursday,Giovedì della Settimana Santa – Messa del Crisma,C20-B
Giovedì Santo (In Cena Domini),2030-04-18,Thursday,Giovedì Santo – Messa vespertina «Cena del Signore»,C21-B
Venerdì Santo (Passione del Signore),2030-04-19,Friday,Venerdì Santo «Passione del Signore»,C22-B
Pasqua - Risurrezione del Signore,2030-04-21,Sunday,Domenica di Pasqua «Risurrezione del Signore» – Messa del giorno,C24-B
2° Domenica di Pasqua o della Divina Misericordia (dom. in Albis),2030-04-28,Sunday,II domenica di Pasqua,C25-B
3° Domenica di Pasqua (Misericordias Domini),2030-05-05,Sunday,III domenica di Pasqua,C26-B
4° Domenica di Pasqua (Jubilate),2030-05-12,Sunday,IV domenica di Pasqua,C27-B
5° Domenica di Pasqua (Cantate),2030-05-19,Sunday,V domenica di Pasqua,C28-B
6° Domenica di Pasqua (Rogate - Vocem jocunditatis),2030-05-26,Sunday,VI domenica di Pasqua,C29-B
Ascensione di Gesù,2030-06-02,Sunday,Ascensione del Signore,C30-B
Pentecoste,2030-06-09,Sunday,Domenica di Pentecoste – Messa del giorno,C33-B
Solennità della Santissima Trinità,2030-06-16,Sunday,Solennità della SS Trinità,C34-B
Santissimo Corpo e Sangue di Cristo,2030-06-23,Sunday,Solennità del SS Corpo e Sangue di Cristo,C35-B
Santissimo Cuore di Gesù,2030-06-28,Friday,Solennità del Sacratissimo Cuore di Gesù,C36-B
2° D.T.O.,2030-01-20,Sunday,II domenica del Tempo Ordinario,C37-B
3° D.T.O.,2030-01-27,Sunday,III domenica del Tempo Ordinario,C38-B
4° D.T.O.,2030-02-03,Sunday,IV domenica del Tempo Ordinario,C39-B
5° D.T.O.,2030-02-10,Sunday,V domenica del Tempo Ordinario,C40-B
6° D.T.O.,2030-02-17,Sunday,VI domenica del Tempo Ordinario,C41-B
7° D.T.O.,2030-02-24,Sunday,VII domenica del Tempo Ordinario,C42-B
8° D.T.O.,2030-03-03,Sunday,VIII domenica del Tempo Ordinario,C43-B
13° D.T.O.,2030-06-30,Sunday,XIII domenica del Tempo Ordinario,C48-B
14° D.T.O.,2030-07-07,Sunday,XIV domenica del Tempo Ordinario,C49-B
15° D.T.O.,2030-07-14,Sunday,XV domenica del Tempo Ordinario,C50-B
16° D.T.O.,2030-07-21,Sunday,XVI domenica del Tempo Ordinario,C51-B
17° D.T.O.,2030-07-28,Sunday,XVII domenica del Tempo Ordinario,C52-B
18° D.T.O.,2030-08-04,Sunday,XVIII domenica del Tempo Ordinario,C53-B
19° D.T.O.,2030-08-11,Sunday,XIX domenica del Tempo Ordinario,C54-B
20° D.T.O.,2030-08-18,Sunday,XX domenica del Tempo Ordinario,C55-B
21° D.T.O.,2030-08-25,Sunday,XXI domenica del Tempo Ordinario,C56-B
22° D.T.O.,2030-09-01,Sunday,XXII domenica del Tempo Ordinario,C57-B
23° D.T.O.,2030-09-08,Sunday,XXIII domenica del Tempo Ordinario,C58-B
24° D.T.O.,2030-09-15,Sunday,XXIV domenica del Tempo Ordinario,C59-B
25° D.T.O.,2030-09-22,Sunday,XXV domenica del Tempo Ordinario,C60-B
26° D.T.O.,2030-09-29,Sunday,XXVI domenica del Tempo Ordinario,C61-B
27° D.T.O.,2030-10-06,Sunday,XXVII domenica del Tempo Ordinario,C62-B
28° D.T.O.,2030-10-13,Sunday,XXVIII domenica del Tempo Ordinario,C63-B
29° D.T.O.,2030-10-20,Sunday,XXIX domenica del Tempo Ordinario,C64-B
30° D.T.O.,2030-10-27,Sunday,XXX domenica del Tempo Ordinario,C65-B
31° D.T.O.,2030-11-03,Sunday,XXXI domenica del Tempo Ordinario,C66-B
32° D.T.O.,2030-11-10,Sunday,XXXII domenica del Tempo Ordinario,C67-B
33° D.T.O.,2030-11-17,Sunday,XXXIII domenica del Tempo Ordinario,C68-B
34° D.T.O. - Solennità di Cristo Re,2030-11-24,Sunday,Solennità di nostro Signore Gesù Cristo Re dell’universo,C69-B
Presentazione del Signore (Candelora),2030-02-02,Saturday,2 febbraio: Presentazione del Signore,C70-B
Natività di San Giovanni Battista,2030-06-24,Monday,24 giugno: Natività di san Giovanni Battista – Messa del giorno,C72-B
Santi Pietro e Paolo Apostoli,2030-06-29,Saturday,29 giugno: Santi Pietro e Paolo apostoli – Messa del giorno,C74-B
Trasfigurazione del Signore,2030-08-06,Tuesday,6 agosto: Trasfigurazione del Signore,C75-B
Assunzione della Beata Vergine Maria,2030-08-15,Thursday,15 agosto: Assunzione della beata Vergine Maria – Messa del giorno,C77-B
Esaltazione della Santa Croce,2030-09-14,Saturday,14 settembre: Esaltazione della Santa Croce,C78-B
Solennità di tutti i Santi,2030-11-01,Friday,1 novembre: Tutti i Santi,C79-B
Commemorazione dei defunti,2030-11-02,Saturday,2 novembre: Commemorazione di tutti i fedeli defunti – 1° schema,C80-B
Commemorazione dei defunti,2030-11-02,Saturday,2 novembre: Commemorazione di tutti i fedeli defunti – 2° schema,C81-B
Commemorazione dei defunti,2030-11-02,Saturday,2 novembre: Commemorazione di tutti i fedeli defunti – 3° schema,C82-B
Dedicazione Basilica Lateranense,2030-11-09,Saturday,9 novembre: Dedicazione della Basilica lateranense,C83-B
Immacolata Concezione,2030-12-08,Sunday,8 dicembre: Immacolata Concezione della beata Vergine Maria,C84-B
1° Domenica di Avvento,2031-11-30,Sunday,I domenica di Avvento,C1-C
2° Domenica di Avvento,2031-12-07,Sunday,II domenica di Avvento,C2-C
3° Domenica di Avvento - Gaudete,2031-12-14,Sunday,III domenica di Avvento,C3-C
4° Domenica di Avvento,2031-12-21,Sunday,IV domenica di Avvento,C4-C
Natale del Signore,2031-12-25,Thursday,Natale del Signore – Messa del giorno,C8-C
Festa della Sacra Famiglia,2031-12-28,Sunday,"Santa Famiglia di Gesù, Maria e Giuseppe",C9-C
Maria Santissima Madre di Dio,2031-01-01,Wednesday,Solennità di Maria SS Madre di Dio,C10-C
