anno,date,weekday,evento,tipo_evento
2020,2020-01-01,Wednesday,Maria Santissima Madre di Dio,Solennità
2020,2020-01-01,Wednesday,Giornata mondiale della pace,Festa
2020,2020-01-03,Friday,Santissimo nome di Gesù,Memoria
2020,2020-01-06,Monday,Epifania del Signore,Festa
2020,2020-01-12,Sunday,Battesimo del Signore,Festa
2020,2020-01-19,Sunday,2° D.T.O.,Domenica
2020,2020-01-25,Saturday,Conversione di San Paolo apostolo,Solennità
2020,2020-01-26,Sunday,3° D.T.O.,Domenica
2020,2020-02-02,Sunday,Presentazione del Signore (Candelora),Festa
2020,2020-02-09,Sunday,5° D.T.O.,Domenica
2020,2020-02-11,Tuesday,Madonna di Lourdes,Feria
2020,2020-02-16,Sunday,6° D.T.O.,Domenica
2020,2020-02-22,Saturday,Cattedra di San Pietro Apostolo,Festa
2020,2020-02-23,Sunday,7° D.T.O.,Domenica
2020,2020-02-26,Wednesday,Mercoledì delle ceneri,Solennità
2020,2020-03-01,Sunday,1° Domenica di Quaresima,Domenica
2020,2020-03-08,Sunday,2° Domenica di Quaresima,Domenica
2020,2020-03-15,Sunday,3° Domenica di Quaresima,Domenica
2020,2020-03-19,Thursday,Solennità di San Giuseppe,Solennità
2020,2020-03-22,Sunday,Domenica Laetare,Domenica
2020,2020-03-25,Wednesday,Festa dell'Annunciazione,Festa
2020,2020-03-29,Sunday,5° Domenica di Quaresima,Domenica
2020,2020-04-05,Sunday,Domenica delle Palme,Domenica
2020,2020-04-06,Monday,Lunedì della settimana Santa,Feria
2020,2020-04-07,Tuesday,Martedì della settimana Santa,Feria
2020,2020-04-08,Wednesday,Mercoledì della settimana Santa,Feria
2020,2020-04-09,Thursday,Giovedì Santo (Messa del Crisma),Solennità
2020,2020-04-09,Thursday,Giovedì Santo (In Cena Domini),Solennità
2020,2020-04-10,Friday,Venerdì Santo (Passione del Signore),Solennità
2020,2020-04-10,Friday,Inizio Novena alla Divina Misericordia,Novena
2020,2020-04-11,Saturday,Sabato Santo,Solennità
2020,2020-04-12,Sunday,Pasqua - Risurrezione del Signore,Solennità
2020,2020-04-13,Monday,Lunedì dell'Angelo,Feria
2020,2020-04-19,Sunday,2° Domenica di Pasqua o della Divina Misericordia (dom. in Albis),Domenica
2020,2020-04-26,Sunday,3° Domenica di Pasqua (Misericordias Domini),Domenica
2020,2020-05-01,Friday,San Giuseppe Lavoratore,Memoria
2020,2020-05-03,Sunday,4° Domenica di Pasqua (Jubilate),Domenica
2020,2020-05-10,Sunday,5° Domenica di Pasqua (Cantate),Domenica
2020,2020-05-17,Sunday,6° Domenica di Pasqua (Rogate - Vocem jocunditatis),Domenica
2020,2020-05-22,Friday,Inizio Novena di Pentecoste,Novena
2020,2020-05-24,Sunday,Ascensione di Gesù,Solennità
2020,2020-05-31,Sunday,Pentecoste,Solennità
2020,2020-05-31,Sunday,Visitazione della Beata Vergine Maria,Festa
2020,2020-06-07,Sunday,Solennità della Santissima Trinità,Solennità
2020,2020-06-14,Sunday,Santissimo Corpo e Sangue di Cristo,Solennità
2020,2020-06-19,Friday,Santissimo Cuore di Gesù,Solennità
2020,2020-06-21,Sunday,12° D.T.O.,Domenica
2020,2020-06-24,Wednesday,Natività di San Giovanni Battista,Solennità
2020,2020-06-28,Sunday,13° D.T.O.,Domenica
2020,2020-06-29,Monday,Santi Pietro e Paolo Apostoli,Solennità
2020,2020-07-05,Sunday,14° D.T.O.,Domenica
2020,2020-07-12,Sunday,15° D.T.O.,Domenica
2020,2020-07-16,Thursday,Beata Vergine Maria del Monte Carmelo,Memoria
2020,2020-07-19,Sunday,16° D.T.O.,Domenica
