anno,evento,date,weekday,celebrazione,id_celebrazione,ciclo_domenicale,id_liturgia
2019,Natività di San Giovanni Battista,2019-06-24,Monday,24 giugno: Natività di san Giovanni Battista – Messa del giorno,C72,C,C72-C
2019,Santi Pietro e Paolo Apostoli,2019-06-29,Saturday,29 giugno: Santi Pietro e Paolo apostoli – Messa del giorno,C74,C,C74-C
2019,Trasfigurazione del Signore,2019-08-06,Tuesday,6 agosto: Trasfigurazione del Signore,C75,C,C75-C
2019,Assunzione della Beata Vergine Maria,2019-08-15,Thursday,15 agosto: Assunzione della beata Vergine Maria – Messa del giorno,C77,C,C77-C
2019,Esaltazione della Santa Croce,2019-09-14,Saturday,14 settembre: Esaltazione della Santa Croce,C78,C,C78-C
2019,Solennità di tutti i Santi,2019-11-01,Friday,1 novembre: Tutti i Santi,C79,C,C79-C
2019,Commemorazione dei defunti,2019-11-02,Saturday,2 novembre: Commemorazione di tutti i fedeli defunti – 1° schema,C80,C,C80-C
2019,Commemorazione dei defunti,2019-11-02,Saturday,2 novembre: Commemorazione di tutti i fedeli defunti – 2° schema,C81,C,C81-C
2019,Commemorazione dei defunti,2019-11-02,Saturday,2 novembre: Commemorazione di tutti i fedeli defunti – 3° schema,C82,C,C82-C
2019,Dedicazione Basilica Lateranense,2019-11-09,Saturday,9 novembre: Dedicazione della Basilica lateranense,C83,C,C83-C
2019,Immacolata Concezione,2019-12-08,Sunday,8 dicembre: Immacolata Concezione della beata Vergine Maria,C84,C,C84-C
2019,Giornata mondiale della pace,2019-01-01,Tuesday,,,C,-C
2019,Santissimo nome di Gesù,2019-01-03,Thursday,,,C,-C
2019,Conversione di San Paolo apostolo,2019-01-25,Friday,,,C,-C
2019,Madonna di Lourdes,2019-02-11,Monday,,,C,-C
2019,Cattedra di San Pietro Apostolo,2019-02-22,Friday,,,C,-C
2019,Mercoledì delle ceneri,2019-03-06,Wednesday,,,C,-C
2019,Solennità di San Giuseppe,2019-03-19,Tuesday,,,C,-C
2019,Festa dell'Annunciazione,2019-03-25,Monday,,,C,-C
2019,Lunedì della settimana Santa,2019-04-15,Monday,,,C,-C
2019,Martedì della settimana Santa,2019-04-16,Tuesday,,,C,-C
2019,Mercoledì della settimana Santa,2019-04-17,Wednesday,,,C,-C
2019,Inizio Novena alla Divina Misericordia,2019-04-19,Friday,,,C,-C
2019,Sabato Santo,2019-04-20,Saturday,,,C,-C
2019,Lunedì dell'Angelo,2019-04-22,Monday,,,C,-C
2019,San Giuseppe Lavoratore,2019-05-01,Wednesday,,,C,-C
2019,Visitazione della Beata Vergine Maria,2019-05-31,Friday,,,C,-C
2019,Inizio Novena di Pentecoste,2019-05-31,Friday,,,C,-C
2019,Beata Vergine Maria del Monte Carmelo,2019-07-16,Tuesday,,,C,-C
2019,San Giacomo,2019-07-25,Thursday,,,C,-C
2019,Natività della Beata Vergine Maria,2019-09-08,Sunday,,,C,-C
2019,Santissimo nome di Maria,2019-09-12,Thursday,,,C,-C
2019,Madonna del Rosario,2019-10-07,Monday,,,C,-C
2019,Inizio Novena dei morti,2019-10-24,Thursday,,,C,-C
2019,Presentazione della Beata Vergine Maria,2019-11-21,Thursday,,,C,-C
2019,Santa Cecilia patrona musica,2019-11-22,Friday,,,C,-C
2019,Inizio Novena all'immacolata,2019-11-29,Friday,,,C,-C
2019,Madonna di Loreto,2019-12-10,Tuesday,,,C,-C
2019,Santa Lucia,2019-12-13,Friday,,,C,-C
2019,Inizio Novena di Natale,2019-12-16,Monday,,,C,-C
2019,Santo Stefano,2019-12-26,Thursday,,,C,-C
2019,Messa di Ringraziamento,2019-12-31,Tuesday,,,C,-C
2020,1° Domenica di Avvento,2020-11-29,Sunday,I domenica di Avvento,C1,A,C1-A
2020,2° Domenica di Avvento,2020-12-06,Sunday,II domenica di Avvento,C2,A,C2-A
2020,3° Domenica di Avvento - Gaudete,2020-12-13,Sunday,III domenica di Avvento,C3,A,C3-A
2020,4° Domenica di Avvento,2020-12-20,Sunday,IV domenica di Avvento,C4,A,C4-A
2020,Natale del Signore,2020-12-25,Friday,Natale del Signore – Messa del giorno,C8,A,C8-A
2020,Festa della Sacra Famiglia,2020-12-27,Sunday,"Santa Famiglia di Gesù, Maria e Giuseppe",C9,A,C9-A
2020,Maria Santissima Madre di Dio,2020-01-01,Wednesday,Solennità di Maria SS Madre di Dio,C10,A,C10-A
2020,Epifania del Signore,2020-01-06,Monday,Epifania del Signore,C12,A,C12-A
2020,Battesimo del Signore,2020-01-12,Sunday,Battesimo del Signore,C13,A,C13-A
2020,1° Domenica di Quaresima,2020-03-01,Sunday,I domenica di Quaresima,C14,A,C14-A
2020,2° Domenica di Quaresima,2020-03-08,Sunday,II domenica di Quaresima,C15,A,C15-A
2020,3° Domenica di Quaresima,2020-03-15,Sunday,III domenica di Quaresima,C16,A,C16-A
