testo,pagina
"Alla Messa PRIMA LETTURA Non ho sottratto la faccia agli insulti e agli sputi, Dal libro del profeta Isaìa 50, 4-7 Il Signore Dio mi ha dato una lingua da discepolo, Ogni mattina fa attento il mio orecchio Ho presentato il mio dorso ai flagellatori, Il Signore Dio mi assiste, Parola di Dio.",136
"SALMO RESPONSORIALE Dio mio, Dio mio, perché mi hai abbandonato? Si fanno beffe di me quelli che mi vedono, Un branco di cani mi circonda, Si dividono le mie vesti, Annuncerò il tuo nome ai miei fratelli,",137
"SECONDA LETTURA Dalla lettera di san Paolo apostolo ai Filippési 2, 6-11 Cristo Gesù, pur essendo nella condizione di Dio, ma svuotò se stesso Per questo Dio lo esaltò Parola di Dio.",138
"CANTO AL VANGELO Lode e onore a te, Signore Gesù! Per noi Cristo si è fatto obbediente fino alla morte Lode e onore a te, Signore Gesù! VANGELO La passione del Signore. Passione di nostro Signore Gesù Cristo 14, 1 – 15, 47 M Cercavano il modo di impadronirsi di lui per ucciderlo Ha unto in anticipo il mio corpo per la sepoltura",139
"Ella ruppe il vaso di alabastro e versò il profumo sul suo capo. Allora Gesù disse: «Lasciatela stare; perché la infastidite? Promisero a Giuda Iscariota di dargli denaro Dov’è la mia stanza, in cui io possa mangiare la Pasqua con i miei discepoli?",140
"Uno di voi, colui che mangia con me, mi tradirà Questo è il mio corpo. Questo è il mio sangue dell’alleanza Prima che due volte il gallo canti, tre volte mi rinnegherai Ma, dopo che sarò risorto, vi precederò in Galilea». Pietro gli",141
Cominciò a sentire paura e angoscia Arrestatelo e conducetelo via sotto buona scorta,142
"ni. Ogni giorno ero in mezzo a voi nel tempio a insegnare, e Sei tu il Cristo, il Figlio del Benedetto?",143
"morte. Alcuni si misero a sputargli addosso, a bendargli il Non conosco quest’uomo di cui parlate Volete che io rimetta in libertà per voi il re dei Giudei?",144
"commesso un omicidio. La folla, che si era radunata, cominIntrecciarono una corona di spine e gliela misero attorno al capo Condussero Gesù al luogo del Gòlgota",145
"Con lui crocifissero anche due ladroni Ha salvato altri e non può salvare se stesso! Gesù, dando un forte grido, spirò Qui ci si genuflette e si fa una breve pausa. Il velo del tempio si squarciò in due, da cima a fondo. Il cen-",146
"Vi erano anche alcune donne, che osservavano da lontano, tra Giuseppe fece rotolare una pietra all’entrata del sepolcro Parola del Signore.",147
"Forma breve: La passione del Signore. Passione di nostro Signore Gesù Cristo 15, 1-39 A Volete che io rimetta in libertà per voi il re dei Giudei? cusavano di molte cose. Pilato lo interrogò di nuovo dicendo: A ogni festa, egli era solito rimettere in libertà per loro un",148
"gilo!». Pilato, volendo dare soddisfazione alla folla, rimise in Intrecciarono una corona di spine e gliela misero attorno al capo Condussero Gesù al luogo del Gòlgota Con lui crocifissero anche due ladroni Ha salvato altri e non può salvare se stesso!",149
"tre giorni, salva te stesso scendendo dalla croce!». Così anche Gesù, dando un forte grido, spirò Qui ci si genuflette e si fa una breve pausa. Il velo del tempio si squarciò in due, da cima a fondo. Il cenParola del Signore.",150
"GIOVEDÌ Alla Messa del Crisma PRIMA LETTURA Dal libro del profeta Isaìa 61, 1-3a.6a.8b-9 Lo spirito del Signore Dio è su di me, a fasciare le piaghe dei cuori spezzati, Voi sarete chiamati sacerdoti del Signore, Io darò loro fedelmente il salario,",151
"la loro discendenza in mezzo ai popoli. Parola di Dio. SALMO RESPONSORIALE Canterò per sempre l’amore del Signore. Ho trovato Davide, mio servo, La mia fedeltà e il mio amore saranno con lui",152
"SECONDA LETTURA Dal libro dell’Apocalisse di san Giovanni apostolo 1, 5-8 Grazia a voi e pace da Gesù Cristo, il testimone fedele, A Colui che ci ama e ci ha liberati dai nostri peccati con il suo sangue, che ha fatto di noi un regno, sacerdoti per Ecco, viene con le nubi e ogni occhio lo vedrà, Dice il Signore Dio: io sono l’Alfa e l’Omèga, Colui che è, che Parola di Dio.",153
"CANTO AL VANGELO Gloria e lode a te, Cristo Signore! Lo Spirito del Signore è sopra di me: Gloria e lode a te, Cristo Signore! VANGELO Lo Spirito del Signore è sopra di me; Dal Vangelo secondo Luca 4, 16-21 In quel tempo, Gesù venne a Nàzaret, dove era «Lo Spirito del Signore è sopra di me;",154
"a rimettere in libertà gli oppressi Riavvolse il rotolo, lo riconsegnò all’inserviente e sedette. Parola del Signore.",155
TRIDUO,157
"GIOVEDÌ Alla Messa vespertina «Cena del Signore» PRIMA LETTURA Dal libro dell’Èsodo 12, 1-8.11-14 In quei giorni, il Signore disse a Mosè e ad Aronne in «Questo mese sarà per voi l’inizio dei mesi, sarà per voi il primo mese dell’anno. Parlate a tutta la comunità d’IsraeIl vostro agnello sia senza difetto, maschio, nato nell’anno;",161
"In quella notte io passerò per la terra d’Egitto e colpirò ogni Parola di Dio. SALMO RESPONSORIALE Il tuo calice, Signore, è dono di salvezza. Che cosa renderò al Signore, Agli occhi del Signore è preziosa A te offrirò un sacrificio di ringraziamento",162
"SECONDA LETTURA Dalla prima lettera di san Paolo apostolo ai Corìnzi 11, 23-26 Fratelli, io ho ricevuto dal Signore quello che a mia grazie, lo spezzò e disse: «Questo è il mio corpo, che è per Allo stesso modo, dopo aver cenato, prese anche il calice, diOgni volta infatti che mangiate questo pane e bevete al caliParola di Dio. CANTO AL VANGELO Cf. Gv 13,34 Gloria e lode e onore a te, Cristo Signore! Vi do un comandamento nuovo, dice il Signore: Gloria e lode e onore a te, Cristo Signore!",163
"VANGELO Dal Vangelo secondo Giovanni 13, 1-15 Prima della festa di Pasqua, Gesù, sapendo che Durante la cena, quando il diavolo aveva già messo in cuore a Giuda, figlio di Simone Iscariota, di tradirVenne dunque da Simon Pietro e questi gli disse: «Signore, tu",164
"Quando ebbe lavato loro i piedi, riprese le sue vesti, sedette Parola del Signore.",165
"VENERDÌ SANTO PRIMA LETTURA Dal libro del profeta Isaìa 52, 13 – 53, 12 Ecco, il mio servo avrà successo, – tanto era sfigurato per essere d’uomo il suo aspetto È cresciuto come un virgulto davanti a lui",166
"Eppure egli si è caricato delle nostre sofferenze, Noi tutti eravamo sperduti come un gregge, Con oppressione e ingiusta sentenza fu tolto di mezzo; Ma al Signore è piaciuto prostrarlo con dolori.",167
"Dopo il suo intimo tormento vedrà la luce Perciò io gli darò in premio le moltitudini, Parola di Dio.",168
"SALMO RESPONSORIALE Padre, nelle tue mani consegno il mio spirito. In te, Signore, mi sono rifugiato, Sono il rifiuto dei miei nemici Ma io confido in te, Signore; Sul tuo servo fa’ splendere il tuo volto,",169
"SECONDA LETTURA Dalla lettera agli Ebrei 4, 14-16; 5, 7-9 Fratelli, poiché abbiamo un sommo sacerdote grande, non abbiamo un sommo sacerdote che non sappia prendere Accostiamoci dunque con piena fiducia al trono della grazia [Cristo, infatti,] nei giorni della sua vita terrena, offrì preParola di Dio.",170
"CANTO AL VANGELO Gloria e lode a te, Cristo Signore! Per noi Cristo si è fatto obbediente fino alla morte Gloria e lode a te, Cristo Signore! VANGELO Passione del Signore. Passione di nostro Signore Gesù Cristo 18, 1 – 19, 42 I Catturarono Gesù e lo legarono un gruppo di soldati e alcune guardie fornite dai capi dei sa-",171
"disse loro: «Chi cercate?». Gli risposero: «Gesù, il Nazareno». Lo condussero prima da Anna Intanto Simon Pietro seguiva Gesù insieme a un altro disce-",172
"Il sommo sacerdote, dunque, interrogò Gesù riguardo ai suoi Non sei anche tu uno dei suoi discepoli? Non lo sono! Il mio regno non è di questo mondo",175
"di quale morte doveva morire. E, detto questo, uscì di nuovo verso i Giudei e disse loro: «Io Salve, re dei Giudei! Pilato uscì fuori di nuovo e disse loro: «Ecco, io ve lo condu-",176
"Come lo videro, i capi dei sacerdoti e le guardie gridarono: All’udire queste parole, Pilato ebbe ancor più paura. Entrò di Via! Via! Crocifiggilo! Lo crocifissero e con lui altri due",177
"sulla croce; vi era scritto: «Gesù il Nazareno, il re dei GiuSi sono divisi tra loro le mie vesti Ecco tuo figlio! Ecco tua madre! Qui ci si genuflette e si fa una breve pausa.",178
E subito ne uscì sangue e acqua Presero il corpo di Gesù e lo avvolsero con teli insieme ad aromi Parola del Signore.,179
"DOMENICA DI PASQUA Veglia pasquale nella Notte Santa Nella Veglia pasquale vengono proposte nove letture, sette dall’Antico PRIMA LETTURA Dio vide quanto aveva fatto, Dal libro della Gènesi 1, 1 – 2, 2 In principio Dio creò il cielo e la terra. La terra era Dio disse: «Sia la luce!». E la luce fu. Dio vide che la luce era Dio disse: «Sia un firmamento in mezzo alle acque per sepaDio disse: «Le acque che sono sotto il cielo si raccolgano in",180
"chiamò l’asciutto terra, mentre chiamò la massa delle acque Dio disse: «Ci siano fonti di luce nel firmamento del cielo, Dio disse: «Le acque brùlichino di esseri viventi e uccelli voDio disse: «La terra produca esseri viventi secondo la loro",181
"do la loro specie, il bestiame, secondo la propria specie, e Dio disse: «Facciamo l’uomo a nostra immagine, secondo la E Dio creò l’uomo a sua immagine; Dio li benedisse e Dio disse loro: Dio disse: «Ecco, io vi do ogni erba che produce seme e che è Così furono portati a compimento il cielo e la terra e tutte le Parola di Dio.",182
"Forma breve: Dio vide quanto aveva fatto, Dal libro della Gènesi 1, 1.26-31 In principio Dio creò il cielo e la terra. Dio disse: «Facciamo l’uomo a nostra immagine, mare e sugli uccelli del cielo, sul bestiame, su tutti gli E Dio creò l’uomo a sua immagine; Dio li benedisse e Dio disse loro: Dio disse: «Ecco, io vi do ogni erba che produce seme e che è Parola di Dio.",183
"SALMO RESPONSORIALE Manda il tuo Spirito, Signore, a rinnovare la terra. Benedici il Signore, anima mia! Egli fondò la terra sulle sue basi: Tu mandi nelle valli acque sorgive Dalle tue dimore tu irrighi i monti, Quante sono le tue opere, Signore!",184
"Oppure: Dell’amore del Signore è piena la terra. Retta è la parola del Signore Dalla parola del Signore furono fatti i cieli, Beata la nazione che ha il Signore come Dio, L’anima nostra attende il Signore:",185
"SECONDA LETTURA Dal libro della Gènesi 22, 1-18 In quei giorni, Dio mise alla prova Abramo e gli disse: territorio di Mòria e offrilo in olocausto su di un monte che Abramo si alzò di buon mattino, sellò l’asino, prese con sé Isacco si rivolse al padre Abramo e disse: «Padre mio!». Ri-",186
"Ma l’angelo del Signore lo chiamò dal cielo e gli disse: «AbraAllora Abramo alzò gli occhi e vide un ariete, impigliato con Abramo chiamò quel luogo «Il Signore vede»; perciò oggi si L’angelo del Signore chiamò dal cielo Abramo per la seconda Parola di Dio.",187
"Forma breve: Il sacrificio di Abramo, nostro padre nella fede. Dal libro della Gènesi 22, 1-2.9a.10-13.15-18 In quei giorni, Dio mise alla prova Abramo e gli disse: Mòria e offrilo in olocausto su di un monte che io ti indicherò». Così arrivarono al luogo che Dio gli aveva indicato; qui Abramo coAllora Abramo alzò gli occhi e vide un ariete, impigliato con le L’angelo del Signore chiamò dal cielo Abramo per la seconda volta Parola di Dio.",188
"SALMO RESPONSORIALE Proteggimi, o Dio: in te mi rifugio. Il Signore è mia parte di eredità e mio calice: Per questo gioisce il mio cuore Mi indicherai il sentiero della vita,",189
"TERZA LETTURA Dal libro dell’Èsodo 14, 15 – 5, 1 In quei giorni, il Signore disse a Mosè: «Perché gridi sul mare e dividilo, perché gli Israeliti entrino nel mare alL’angelo di Dio, che precedeva l’accampamento d’Israele, camAllora Mosè stese la mano sul mare. E il Signore durante tutta Ma alla veglia del mattino il Signore, dalla colonna di fuoco e",190
"di nube, gettò uno sguardo sul campo degli Egiziani e lo mise Il Signore disse a Mosè: «Stendi la mano sul mare: le acque si In quel giorno il Signore salvò Israele dalla mano degli EgiAllora Mosè e gli Israeliti cantarono questo canto al Signore e",191
"SALMO RESPONSORIALE Cantiamo al Signore: stupenda è la sua vittoria. «Voglio cantare al Signore, Il Signore è un guerriero, Gli abissi li ricoprirono, Tu lo fai entrare e lo pianti",192
"QUARTA LETTURAha avuto pietà di te. Dal libro del profeta Isaìa 54, 5-14 Tuo sposo è il tuo creatore, è chiamato Dio di tutta la terra. Come una donna abbandonata Ora è per me come ai giorni di Noè,",193
"Afflitta, percossa dal turbine, sconsolata, Tutti i tuoi figli saranno discepoli del Signore, Parola di Dio.",194
"SALMO RESPONSORIALE Ti esalterò, Signore, perché mi hai risollevato. Ti esalterò, Signore, perché mi hai risollevato, Cantate inni al Signore, o suoi fedeli, Ascolta, Signore, abbi pietà di me,",195
"QUINTA LETTURA Dal libro del profeta Isaìa 55, 1-11 Così dice il Signore: «O voi tutti assetati, venite all’acqua, comprate e mangiate; venite, comprate Porgete l’orecchio e venite a me, Ecco, tu chiamerai gente che non conoscevi; Cercate il Signore, mentre si fa trovare,",196
"Perché i miei pensieri non sono i vostri pensieri, Come infatti la pioggia e la neve scendono dal cielo Parola di Dio.",197
"SALMO RESPONSORIALE Attingeremo con gioia alle sorgenti della salvezza. Ecco, Dio è la mia salvezza; Attingerete acqua con gioia Cantate inni al Signore, perché ha fatto cose eccelse,",198
"SESTA LETTURA Dal libro del profeta Baruc 3, 9-15.32 – 4, 4 Ascolta, Israele, i comandamenti della vita, e sei diventato vecchio in terra straniera? Impara dov’è la prudenza, Ma colui che sa tutto, la conosce",199
"Egli è il nostro Dio, Ritorna, Giacobbe, e accoglila, Beati siamo noi, o Israele, Parola di Dio.",200
"SALMO RESPONSORIALE Signore, tu hai parole di vita eterna. La legge del Signore è perfetta, I precetti del Signore sono retti, Il timore del Signore è puro, Più preziosi dell’oro,",201
"SETTIMA LETTURA Dal libro del profeta Ezechièle 36, 16-17a.18-28 Mi fu rivolta questa parola del Signore: «Figlio dell’uomo, la casa d’Israele, quando abitava sue azioni. Perciò ho riversato su di loro la mia ira per il Giunsero fra le nazioni dove erano stati spinti e profanarono Perciò annuncia alla casa d’Israele: “Così dice il Signore Dio: Io Vi prenderò dalle nazioni, vi radunerò da ogni terra e vi con-",202
purificati; io vi purificherò da tutte le vostre impurità e da Porrò il mio spirito dentro di voi e vi farò vivere secondo le Parola di Dio.,203
"SALMO RESPONSORIALE Come la cerva anela ai corsi d’acqua, L’anima mia ha sete di Dio, Avanzavo tra la folla, Manda la tua luce e la tua verità: Verrò all’altare di Dio,",204
"Oppure (quando si celebra il Battesimo): Attingeremo con gioia alle sorgenti della salvezza. Ecco, Dio è la mia salvezza; Attingerete acqua con gioia Cantate inni al Signore, perché ha fatto cose eccelse,",205
"Oppure: Crea in me, o Dio, un cuore puro. Crea in me, o Dio, un cuore puro, Rendimi la gioia della tua salvezza, Tu non gradisci il sacrificio; Segue l’orazione. Quindi il celebrante intona l’inno",206
"EPISTOLA Dalla lettera di san Paolo apostolo ai Romani 6, 3-11 Fratelli, non sapete che quanti siamo stati battezzati in Per mezzo del battesimo dunque siamo stati sepolti insieme a lui nella morte affinché, come Cristo fu risuscitato Lo sappiamo: l’uomo vecchio che è in noi è stato crocifisso Ma se siamo morti con Cristo, crediamo che anche vivremo Parola di Dio.",207
"SALMO RESPONSORIALE Alleluia, alleluia, alleluia. Rendete grazie al Signore perché è buono, La destra del Signore si è innalzata, La pietra scartata dai costruttori",208
"VANGELO Dal Vangelo secondo Marco 16, 1-7 Passato il sabato, Maria di Màgdala, Maria madre Dicevano tra loro: «Chi ci farà rotolare via la pietra dall’inEntrate nel sepolcro, videro un giovane, seduto sulla destra, Parola del Signore.",209
TEMPO,213
"DOMENICA DI PASQUA Alla Messa del giorno PRIMA LETTURA Dagli Atti degli Apostoli 10, 34a.37-43 In quei giorni, Pietro prese la parola e disse: «Voi to da Giovanni; cioè come Dio consacrò in Spirito Santo e E noi siamo testimoni di tutte le cose da lui compiute nella E ci ha ordinato di annunciare al popolo e di testimoniare che Parola di Dio.",215
"SALMO RESPONSORIALE Questo è il giorno che ha fatto il Signore: rallegriamoci ed esultiamo. Oppure: Alleluia, alleluia, alleluia. Rendete grazie al Signore perché è buono, La destra del Signore si è innalzata, La pietra scartata dai costruttori",216
"SECONDA LETTURA Dalla lettera di san Paolo apostolo ai Colossési 3, 1-4 Fratelli, se siete risorti con Cristo, cercate le cose di Voi infatti siete morti e la vostra vita è nascosta con Cristo in Parola di Dio. Oppure: Dalla prima lettera di san Paolo apostolo ai Corìnzi 5, 6b-8 Fratelli, non sapete che un po’ di lievito fa fermentare E infatti Cristo, nostra Pasqua, è stato immolato! Celebriamo dunque la festa non con il lievito vecchio, né con Parola di Dio.",219
"SEQUENZA Solo oggi è obbligatoria; nei giorni fra l’ottava è facoltativa. Víctimae pascháli laudes Alla vittima pasquale, Mors et vita Morte e Vita si sono affrontate Dic nobis, María, «Raccontaci, Maria: Scimus Christum Sì, ne siamo certi:",220
"CANTO AL VANGELO Alleluia, alleluia. Cristo, nostra Pasqua, è stato immolato: Alleluia. VANGELO Egli doveva risuscitare dai morti. Dal Vangelo secondo Giovanni 20, 1-9 Il primo giorno della settimana, Maria di MàgdaCorse allora e andò da Simon Pietro e dall’altro discepolo, quello che Gesù amava, e disse loro: «Hanno portato via Pietro allora uscì insieme all’altro discepolo e si recarono al",221
"Giunse intanto anche Simon Pietro, che lo seguiva, ed entrò Allora entrò anche l’altro discepolo, che era giunto per primo Parola del Signore. Al posto di questo Vangelo si può utilizzare quello proclamato nella Veglia",222
"Dove si celebra la Messa vespertina si può anche proclamare il seguente Resta con noi perché si fa sera. Dal Vangelo secondo Luca 24, 13-35 Ed ecco, in quello stesso giorno, [il primo della insieme, Gesù in persona si avvicinò e camminava con loro. Ed egli disse loro: «Che cosa sono questi discorsi che state",225
"no recate al mattino alla tomba e, non avendo trovato il suo Disse loro: «Stolti e lenti di cuore a credere in tutto ciò che Quando furono vicini al villaggio dove erano diretti, egli fece Quando fu a tavola con loro, prese il pane, recitò la benediPartirono senza indugio e fecero ritorno a Gerusalemme, dove Parola del Signore.",226
"II DOMENICA (O DELLA DIVINA MISERICORDIA) PRIMA LETTURA Dagli Atti degli Apostoli 4, 32-35 La moltitudine di coloro che erano diventati credenti fra loro tutto era comune. Con grande forza gli apostoli davano testimonianza della risurNessuno infatti tra loro era bisognoso, perché quanti posseParola di Dio.",227
"SALMO RESPONSORIALE Rendete grazie al Signore perché è buono: Oppure: Alleluia, alleluia, alleluia. Dica Israele: La destra del Signore si è innalzata, La pietra scartata dai costruttori",228
"SECONDA LETTURA Dalla prima lettera di san Giovanni apostolo 5, 1-6 Carissimi, chiunque crede che Gesù è il Cristo, è stato In questo conosciamo di amare i figli di Dio: quando amiamo Chiunque è stato generato da Dio vince il mondo; e questa è E chi è che vince il mondo se non chi crede che Gesù è il FiParola di Dio. SEQUENZA Facoltativa: vedi pag. 190.",231
"CANTO AL VANGELO Alleluia, alleluia. Perché mi hai veduto, Tommaso, tu hai creduto; Alleluia. VANGELO Otto giorni dopo venne Gesù. Dal Vangelo secondo Giovanni 20, 19-31 La sera di quel giorno, il primo della settimana, Gesù disse loro di nuovo: «Pace a voi! Come il Padre ha manTommaso, uno dei Dodici, chiamato Dìdimo, non era con loro",232
"visto il Signore!». Ma egli disse loro: «Se non vedo nelle sue Otto giorni dopo i discepoli erano di nuovo in casa e c’era con Gesù, in presenza dei suoi discepoli, fece molti altri segni Parola del Signore.",233
"III DOMENICA PRIMA LETTURA Dagli Atti degli Apostoli 3, 13-15.17-19 In quei giorni, Pietro disse al popolo: «Il Dio di Abraavete consegnato e rinnegato di fronte a Pilato, mentre egli Ora, fratelli, io so che voi avete agito per ignoranza, come Parola di Dio.",234
"SALMO RESPONSORIALE Risplenda su di noi, Signore, la luce del tuo volto. Oppure: Alleluia, alleluia, alleluia. Quando t’invoco, rispondimi, Dio della mia giustizia! Sappiatelo: il Signore fa prodigi per il suo fedele; Molti dicono: «Chi ci farà vedere il bene, In pace mi corico e subito mi addormento,",237
"SECONDA LETTURA Dalla prima lettera di san Giovanni apostolo 2, 1-5a Figlioli miei, vi scrivo queste cose perché non pecvittima di espiazione per i nostri peccati; non soltanto per i Da questo sappiamo di averlo conosciuto: se osserviamo i Parola di Dio. CANTO AL VANGELO Cf. Lc 24, 32 Alleluia, alleluia. Signore Gesù, facci comprendere le Scritture; Alleluia.",238
"VANGELO Dal Vangelo secondo Luca 24, 35-48 In quel tempo, [i due discepoli che erano ritorMentre essi parlavano di queste cose, Gesù in persona stette Poi disse: «Sono queste le parole che io vi dissi quando ero Parola del Signore.",239
"IV DOMENICA PRIMA LETTURA Dagli Atti degli Apostoli 4, 8-12 In quei giorni, Pietro, colmato di Spirito Santo, dis«Capi del popolo e anziani, visto che oggi veniamo interrogati sul beneficio recato a un uomo infermo, e cioè per Questo Gesù è la pietra che è stata scartata da voi, costruttoIn nessun altro c’è salvezza; non vi è infatti, sotto il cielo, alParola di Dio.",240
"SALMO RESPONSORIALE La pietra scartata dai costruttori Oppure: Alleluia, alleluia, alleluia. Rendete grazie al Signore perché è buono, Ti rendo grazie, perché mi hai risposto, Benedetto colui che viene nel nome del Signore.",243
"SECONDA LETTURA Dalla prima lettera di san Giovanni apostolo 3, 1-2 Carissimi, vedete quale grande amore ci ha dato il Panon ha conosciuto lui. Carissimi, noi fin d’ora siamo figli di Dio, ma ciò che saremo Parola di Dio. CANTO AL VANGELO Alleluia, alleluia. Io sono il buon pastore, dice il Signore, Alleluia.",244
"VANGELO Dal Vangelo secondo Giovanni 10, 11-18 In quel tempo, Gesù disse: «Io sono il buon panario e non gli importa delle pecore. Io sono il buon pastore, conosco le mie pecore e le mie pecoPer questo il Padre mi ama: perché io do la mia vita, per poi Parola del Signore.",245
"V DOMENICA PRIMA LETTURA Dagli Atti degli Apostoli 9, 26-31 In quei giorni, Saulo, venuto a Gerusalemme, cercava Allora Bàrnaba lo prese con sé, lo condusse dagli apostoli e La Chiesa era dunque in pace per tutta la Giudea, la Galilea e Parola di Dio.",246
"SALMO RESPONSORIALE A te la mia lode, Signore, nella grande assemblea. Oppure: Alleluia, alleluia, alleluia. Scioglierò i miei voti davanti ai suoi fedeli. Ricorderanno e torneranno al Signore A lui solo si prostreranno Ma io vivrò per lui,",247
"SECONDA LETTURA Dalla prima lettera di san Giovanni apostolo 3, 18-24 Figlioli, non amiamo a parole né con la lingua, ma con In questo conosceremo che siamo dalla verità e davanti a lui rassicureremo il nostro cuore, qualunque cosa esso Carissimi, se il nostro cuore non ci rimprovera nulla, abbiamo Questo è il suo comandamento: che crediamo nel nome del Parola di Dio.",248
"CANTO AL VANGELO Alleluia, alleluia. Rimanete in me e io in voi, dice il Signore, Alleluia. VANGELO Chi rimane in me e io in lui porta molto frutto. Dal Vangelo secondo Giovanni 15, 1-8 In quel tempo, Gesù disse ai suoi discepoli: «Io Rimanete in me e io in voi. Come il tralcio non può portare",249
"me non potete far nulla. Chi non rimane in me viene gettato Se rimanete in me e le mie parole rimangono in voi, chiedete Parola del Signore.",250
"VI DOMENICA PRIMA LETTURA Dagli Atti degli Apostoli 10, 25-26.34-35.44-48 Avvenne che, mentre Pietro stava per entrare [nella rialzò, dicendo: «Àlzati: anche io sono un uomo!». Poi prese la parola e disse: «In verità sto rendendomi conto Pietro stava ancora dicendo queste cose, quando lo Spirito Allora Pietro disse: «Chi può impedire che siano battezzati Parola di Dio.",253
"SALMO RESPONSORIALE Il Signore ha rivelato ai popoli la sua giustizia. Oppure: Alleluia, alleluia, alleluia. Cantate al Signore un canto nuovo, Il Signore ha fatto conoscere la sua salvezza, Tutti i confini della terra hanno veduto",254
"SECONDA LETTURA Dalla prima lettera di san Giovanni apostolo 4, 7-10 Carissimi, amiamoci gli uni gli altri, perché l’amore è ché Dio è amore. In questo si è manifestato l’amore di Dio in noi: Dio ha manIn questo sta l’amore: non siamo stati noi ad amare Dio, ma è Parola di Dio. CANTO AL VANGELO Gv 14, 23 Alleluia, alleluia. Se uno mi ama, osserverà la mia parola, dice il Signore, Alleluia.",255
"VANGELO Dal Vangelo secondo Giovanni 15, 9-17 In quel tempo, Gesù disse ai suoi discepoli: «Coperché la mia gioia sia in voi e la vostra gioia sia piena. Questo è il mio comandamento: che vi amiate gli uni gli altri Non voi avete scelto me, ma io ho scelto voi e vi ho costituiti Parola del Signore. Quando l’Ascensione del Signore è celebrata la domenica seguente, nella VI",256
"ASCENSIONE PRIMA LETTURA Dagli Atti degli Apostoli 1, 1-11 Nel primo racconto, o Teòfilo, ho trattato di tutto quello agli apostoli che si era scelti per mezzo dello Spirito Santo. Egli si mostrò a essi vivo, dopo la sua passione, con molte Quelli dunque che erano con lui gli domandavano: «Signore, è",259
"Detto questo, mentre lo guardavano, fu elevato in alto e una Parola di Dio.",260
"SALMO RESPONSORIALE Ascende il Signore tra canti di gioia. Oppure: Alleluia, alleluia, alleluia. Popoli tutti, battete le mani! Ascende Dio tra le acclamazioni, Perché Dio è re di tutta la terra,",261
"SECONDA LETTURA Dalla lettera di san Paolo apostolo agli Efesìni 4, 1-13 Fratelli, io, prigioniero a motivo del Signore, vi esorto: sopportandovi a vicenda nell’amore, avendo a cuore di conservaUn solo corpo e un solo spirito, come una sola è la speranza alla A ciascuno di noi, tuttavia, è stata data la grazia secondo la miEd egli ha dato ad alcuni di essere apostoli, ad altri di essere Parola di Dio.",262
"CANTO AL VANGELO Alleluia, alleluia. Andate e fate discepoli tutti i popoli, dice il Signore. Alleluia. VANGELO Il Signore fu elevato in cielo Dal Vangelo secondo Marco 16, 15-20 In quel tempo, [Gesù apparve agli Undici] e credono: nel mio nome scacceranno demòni, parleranno",263
"Il Signore Gesù, dopo aver parlato con loro, fu elevato in Allora essi partirono e predicarono dappertutto, mentre il Parola del Signore.",264
"VII DOMENICA Nelle regioni in cui l’Ascensione si celebra il giovedì della VI settimana di PRIMA LETTURA Bisogna che uno divenga, insieme a noi, Dagli Atti degli Apostoli 1, 15-17.20a.20c-26 In quei giorni Pietro si alzò in mezzo ai fratelli – il ciò che nella Scrittura fu predetto dallo Spirito Santo per boc-",265
"to per prendere il posto in questo ministero e apostolato, che Parola di Dio. SALMO RESPONSORIALE Il Signore ha posto il suo trono nei cieli. Oppure: Alleluia, alleluia, alleluia. Benedici il Signore, anima mia, Perché quanto il cielo è alto sulla terra, Il Signore ha posto il suo trono nei cieli",266
"SECONDA LETTURA Dalla prima lettera di san Giovanni apostolo 4, 11-16 Carissimi, se Dio ci ha amati così, anche noi dobbiamo re di lui è perfetto in noi. In questo si conosce che noi rimaniamo in lui ed egli in noi: Chiunque confessa che Gesù è il Figlio di Dio, Dio rimane in Dio è amore; chi rimane nell’amore rimane in Dio e Dio rimaParola di Dio.",267
"CANTO AL VANGELO Alleluia, alleluia. Non vi lascerò orfani, dice il Signore, Alleluia. VANGELO Siano una cosa sola, come noi. Dal Vangelo secondo Giovanni 17, 11b-19 In quel tempo, [Gesù, alzàti gli occhi al cielo, è andato perduto, tranne il figlio della perdizione, perché si Ma ora io vengo a te e dico questo mentre sono nel mondo,",268
"Non prego che tu li tolga dal mondo, ma che tu li custodisca Come tu hai mandato me nel mondo, anche io ho mandato loParola del Signore.",269
"DOMENICA Alla Messa vespertina nella vigilia Queste letture vengono proclamate nella Messa che si celebra la sera del PRIMA LETTURA La si chiamò Babele, perché là il Signore Dal libro della Gènesi 11, 1-9 Tutta la terra aveva un’unica lingua e uniche parole. Si dissero l’un l’altro: «Venite, facciamoci mattoni e cuociaMa il Signore scese a vedere la città e la torre che i figli degli",270
"la loro lingua, perché non comprendano più l’uno la lingua Il Signore li disperse di là su tutta la terra ed essi cessarono Parola di Dio. SALMO RESPONSORIALE Su tutti i popoli regna il Signore. Il Signore annulla i disegni delle nazioni, Beata la nazione che ha il Signore come Dio, Dal trono dove siede Oppure: Dal Salmo 103 (104) (vedi pag. 236)",273
