testo,pagina
"Sì, come un giovane sposa una vergine, Parola di Dio. SALMO RESPONSORIALE Canterò per sempre l’amore del Signore. «Ho stretto un’alleanza con il mio eletto, Beato il popolo che ti sa acclamare: «Egli mi invocherà: “Tu sei mio padre,",40
"SECONDA LETTURA Dagli Atti degli Apostoli 13, 16-17.22-25 Paolo, [giunto ad Antiòchia di Pisìdia, nella sinago«Uomini d’Israele e voi timorati di Dio, ascoltate. Il Dio di questo popolo d’Israele scelse i nostri padri e rialzò il Poi suscitò per loro Davide come re, al quale rese questa teDalla discendenza di lui, secondo la promessa, Dio inviò, coDiceva Giovanni sul finire della sua missione: “Io non sono Parola di Dio.",41
"CANTO AL VANGELO Alleluia, alleluia. Domani sarà distrutto il peccato della terra Alleluia. VANGELO Genealogia di Gesù Cristo, figlio di Davide. Dal Vangelo secondo Matteo 1, 1-25 Genealogia di Gesù Cristo figlio di Davide, figlio Abramo generò Isacco, Isacco generò Giacobbe, Esrom, Esrom generò Aram, Aram generò Aminadàb, Aminadàb Davide generò Salomone da quella che era stata la moglie di",42
"generò Asaf, Asaf generò Giòsafat, Giòsafat generò Ioram, IoDopo la deportazione in Babilonia, Ieconìa generò Salatièl, In tal modo, tutte le generazioni da Abramo a Davide sono Così fu generato Gesù Cristo: sua madre Maria, essendo proMentre però stava considerando queste cose, ecco, gli apparve Tutto questo è avvenuto perché si compisse ciò che era stato",43
"concepirà e darà alla luce un figlio: a lui sarà dato il nome di Quando si destò dal sonno, Giuseppe fece come gli aveva orParola del Signore. Forma breve: Maria darà alla luce un figlio, Dal Vangelo secondo Matteo 1, 18-25 Così fu generato Gesù Cristo: sua madre Maria, Mentre però stava considerando queste cose, ecco, gli apparve",44
"Tutto questo è avvenuto perché si compisse ciò che era stato Quando si destò dal sonno, Giuseppe fece come gli aveva orParola del Signore. Per le Messe di Natale si usano i tre formulari qui indicati, così come sono",45
"NATALE Alla Messa della notte PRIMA LETTURA Dal libro del profeta Isaìa 9, 1-6 Il popolo che camminava nelle tenebre una luce rifulse. Hai moltiplicato la gioia, Perché un bambino è nato per noi,",46
"e il suo nome sarà: Parola di Dio. SALMO RESPONSORIALE Oggi è nato per noi il Salvatore. Cantate al Signore un canto nuovo, Annunciate di giorno in giorno la sua salvezza. Gioiscano i cieli, esulti la terra, Davanti al Signore che viene:",47
"SECONDA LETTURA Dalla lettera di san Paolo apostolo a Tito 2, 11-14 Figlio mio, è apparsa la grazia di Dio, che porta salmondo con sobrietà, con giustizia e con pietà, nell’attesa delEgli ha dato se stesso per noi, per riscattarci da ogni iniquità Parola di Dio. CANTO AL VANGELO Alleluia, alleluia. Vi annuncio una grande gioia: Alleluia.",48
"VANGELO Dal Vangelo secondo Luca 2, 1-14 In quei giorni un decreto di Cesare Augusto orAnche Giuseppe, dalla Galilea, dalla città di Nàzaret, salì in Mentre si trovavano in quel luogo, si compirono per lei i giorC’erano in quella regione alcuni pastori che, pernottando al-",49
E subito apparve con l’angelo una moltitudine dell’esercito Parola del Signore.,50
"NATALE Alla Messa dell’aurora PRIMA LETTURA Dal libro del profeta Isaìa 62, 11-12 Ecco ciò che il Signore fa sentire «Dite alla figlia di Sion: Ecco, arriva il tuo salvatore; Li chiameranno Popolo santo, Parola di Dio.",53
"SALMO RESPONSORIALE Oggi la luce risplende su di noi. Il Signore regna: esulti la terra, Una luce è spuntata per il giusto,",54
"SECONDA LETTURA Dalla lettera di san Paolo apostolo a Tito 3, 4-7 Figlio mio, egli ci ha salvati, Parola di Dio. CANTO AL VANGELO Lc 2, 14 Alleluia, alleluia. Gloria a Dio nel più alto dei cieli Alleluia.",55
"VANGELO Dal Vangelo secondo Luca 2, 15-20 Appena gli angeli si furono allontanati da loro, Andarono, senza indugio, e trovarono Maria e Giuseppe e il Tutti quelli che udivano si stupirono delle cose dette loro dai I pastori se ne tornarono, glorificando e lodando Dio per tutto Parola del Signore.",56
"NATALE Alla Messa del giorno PRIMA LETTURA Dal libro del profeta Isaìa 52, 7-10 Come sono belli sui monti che annuncia la salvezza, Una voce! Le tue sentinelle alzano la voce, Prorompete insieme in canti di gioia, Il Signore ha snudato il suo santo braccio Parola di Dio.",57
"SALMO RESPONSORIALE Tutta la terra ha veduto la salvezza del nostro Dio. Cantate al Signore un canto nuovo, Il Signore ha fatto conoscere la sua salvezza, Tutti i confini della terra hanno veduto Cantate inni al Signore con la cetra,",58
