celebrazione,pagina_pdf,id_celebrazione,ciclo_domenicale,id_liturgia
Domenica di Pasqua – Veglia pasquale nella Notte Santa,180,C23,B,C23-B
Domenica di Pasqua «Risurrezione del Signore» – Messa del giorno,215,C24,B,C24-B
II domenica di Pasqua,227,C25,B,C25-B
III domenica di Pasqua,234,C26,B,C26-B
IV domenica di Pasqua,240,C27,B,C27-B
V domenica di Pasqua,246,C28,B,C28-B
VI domenica di Pasqua,253,C29,B,C29-B
Ascensione del Signore,259,C30,B,C30-B
VII domenica di Pasqua,265,C31,B,C31-B
Domenica di Pentecoste – Messa vespertina nella vigilia,270,C32,B,C32-B
Domenica di Pentecoste – Messa del giorno,283,C33,B,C33-B
Solennità della SS Trinità,293,C34,B,C34-B
Solennità del SS Corpo e Sangue di Cristo,297,C35,B,C35-B
Solennità del Sacratissimo Cuore di Gesù,304,C36,B,C36-B
II domenica del Tempo Ordinario,311,C37,B,C37-B
III domenica del Tempo Ordinario,315,C38,B,C38-B
IV domenica del Tempo Ordinario,319,C39,B,C39-B
V domenica del Tempo Ordinario,325,C40,B,C40-B
VI domenica del Tempo Ordinario,331,C41,B,C41-B
VII domenica del Tempo Ordinario,335,C42,B,C42-B
VIII domenica del Tempo Ordinario,340,C43,B,C43-B
IX domenica del Tempo Ordinario,344,C44,B,C44-B
X domenica del Tempo Ordinario,349,C45,B,C45-B
XI domenica del Tempo Ordinario,355,C46,B,C46-B
XII domenica del Tempo Ordinario,359,C47,B,C47-B
XIII domenica del Tempo Ordinario,363,C48,B,C48-B
XIV domenica del Tempo Ordinario,371,C49,B,C49-B
XV domenica del Tempo Ordinario,375,C50,B,C50-B
XVI domenica del Tempo Ordinario,381,C51,B,C51-B
XVII domenica del Tempo Ordinario,385,C52,B,C52-B
XVIII domenica del Tempo Ordinario,390,C53,B,C53-B
XIX domenica del Tempo Ordinario,395,C54,B,C54-B
XX domenica del Tempo Ordinario,401,C55,B,C55-B
XXI domenica del Tempo Ordinario,407,C56,B,C56-B
XXII domenica del Tempo Ordinario,414,C57,B,C57-B
XXIII domenica del Tempo Ordinario,419,C58,B,C58-B
XXIV domenica del Tempo Ordinario,423,C59,B,C59-B
XXV domenica del Tempo Ordinario,427,C60,B,C60-B
XXVI domenica del Tempo Ordinario,433,C61,B,C61-B
XXVII domenica del Tempo Ordinario,437,C62,B,C62-B
XXVIII domenica del Tempo Ordinario,442,C63,B,C63-B
XXIX domenica del Tempo Ordinario,448,C64,B,C64-B
XXX domenica del Tempo Ordinario,453,C65,B,C65-B
XXXI domenica del Tempo Ordinario,457,C66,B,C66-B
XXXII domenica del Tempo Ordinario,462,C67,B,C67-B
XXXIII domenica del Tempo Ordinario,467,C68,B,C68-B
Solennità di nostro Signore Gesù Cristo Re dell’universo,473,C69,B,C69-B
2 febbraio: Presentazione del Signore,479,C70,B,C70-B
24 giugno: Natività di san Giovanni Battista – Messa vespertina nella vigilia,485,C71,B,C71-B
24 giugno: Natività di san Giovanni Battista – Messa del giorno,490,C72,B,C72-B
29 giugno: Santi Pietro e Paolo apostoli – Messa vespertina nella vigilia,495,C73,B,C73-B
29 giugno: Santi Pietro e Paolo apostoli – Messa del giorno,500,C74,B,C74-B
6 agosto: Trasfigurazione del Signore,506,C75,B,C75-B
15 agosto: Assunzione della beata Vergine Maria – Messa vespertina nella vigilia,510,C76,B,C76-B
15 agosto: Assunzione della beata Vergine Maria – Messa del giorno,514,C77,B,C77-B
14 settembre: Esaltazione della Santa Croce,519,C78,B,C78-B
1 novembre: Tutti i Santi,523,C79,B,C79-B
2 novembre: Commemorazione di tutti i fedeli defunti – 1° schema,527,C80,B,C80-B
2 novembre: Commemorazione di tutti i fedeli defunti – 2° schema,531,C81,B,C81-B
2 novembre: Commemorazione di tutti i fedeli defunti – 3° schema,536,C82,B,C82-B
9 novembre: Dedicazione della Basilica lateranense,541,C83,B,C83-B
8 dicembre: Immacolata Concezione della beata Vergine Maria,545,C84,B,C84-B
I domenica di Avvento,13,C1,C,C1-C
II domenica di Avvento,19,C2,C,C2-C
III domenica di Avvento,24,C3,C,C3-C
IV domenica di Avvento,28,C4,C,C4-C
Natale del Signore – Messa vespertina nella vigilia,37,C5,C,C5-C
Natale del Signore – Messa della notte,44,C6,C,C6-C
Natale del Signore – Messa dell’aurora,49,C7,C,C7-C
Natale del Signore – Messa del giorno,55,C8,C,C8-C
"Santa Famiglia di Gesù, Maria e Giuseppe",62,C9,C,C9-C
Solennità di Maria SS Madre di Dio,67,C10,C,C10-C
II domenica dopo Natale,73,C11,C,C11-C
Epifania del Signore,80,C12,C,C12-C
Battesimo del Signore,87,C13,C,C13-C
I domenica di Quaresima,97,C14,C,C14-C
II domenica di Quaresima,103,C15,C,C15-C
III domenica di Quaresima,110,C16,C,C16-C
IV domenica di Quaresima,118,C17,C,C17-C
V domenica di Quaresima,124,C18,C,C18-C
Domenica delle Palme: Passione del Signore,131,C19,C,C19-C
Giovedì della Settimana Santa – Messa del Crisma,149,C20,C,C20-C
Giovedì Santo – Messa vespertina «Cena del Signore»,157,C21,C,C21-C
Venerdì Santo «Passione del Signore»,164,C22,C,C22-C
Domenica di Pasqua – Veglia pasquale nella Notte Santa,178,C23,C,C23-C
Domenica di Pasqua «Risurrezione del Signore» – Messa del giorno,213,C24,C,C24-C
II domenica di Pasqua,225,C25,C,C25-C
III domenica di Pasqua,232,C26,C,C26-C
IV domenica di Pasqua,241,C27,C,C27-C
V domenica di Pasqua,247,C28,C,C28-C
VI domenica di Pasqua,253,C29,C,C29-C
Ascensione del Signore,258,C30,C,C30-C
VII domenica di Pasqua,265,C31,C,C31-C
Domenica di Pentecoste – Messa vespertina nella vigilia,271,C32,C,C32-C
Domenica di Pentecoste – Messa del giorno,284,C33,C,C33-C
Solennità della SS Trinità,295,C34,C,C34-C
Solennità del SS Corpo e Sangue di Cristo,299,C35,C,C35-C
Solennità del Sacratissimo Cuore di Gesù,308,C36,C,C36-C
II domenica del Tempo Ordinario,317,C37,C,C37-C
III domenica del Tempo Ordinario,321,C38,C,C38-C
IV domenica del Tempo Ordinario,328,C39,C,C39-C
V domenica del Tempo Ordinario,334,C40,C,C40-C
VI domenica del Tempo Ordinario,339,C41,C,C41-C
VII domenica del Tempo Ordinario,344,C42,C,C42-C
VIII domenica del Tempo Ordinario,349,C43,C,C43-C
IX domenica del Tempo Ordinario,353,C44,C,C44-C
X domenica del Tempo Ordinario,357,C45,C,C45-C
XI domenica del Tempo Ordinario,362,C46,C,C46-C
XII domenica del Tempo Ordinario,368,C47,C,C47-C
XIII domenica del Tempo Ordinario,372,C48,C,C48-C
XIV domenica del Tempo Ordinario,377,C49,C,C49-C
XV domenica del Tempo Ordinario,383,C50,C,C50-C
XVI domenica del Tempo Ordinario,388,C51,C,C51-C
XVII domenica del Tempo Ordinario,392,C52,C,C52-C
XVIII domenica del Tempo Ordinario,397,C53,C,C53-C
XIX domenica del Tempo Ordinario,402,C54,C,C54-C
XX domenica del Tempo Ordinario,409,C55,C,C55-C
XXI domenica del Tempo Ordinario,413,C56,C,C56-C
XXII domenica del Tempo Ordinario,417,C57,C,C57-C
XXIII domenica del Tempo Ordinario,421,C58,C,C58-C
XXIV domenica del Tempo Ordinario,428,C59,C,C59-C
XXV domenica del Tempo Ordinario,435,C60,C,C60-C
XXVI domenica del Tempo Ordinario,441,C61,C,C61-C
XXVII domenica del Tempo Ordinario,446,C62,C,C62-C
XXVIII domenica del Tempo Ordinario,450,C63,C,C63-C
XXIX domenica del Tempo Ordinario,455,C64,C,C64-C
XXX domenica del Tempo Ordinario,459,C65,C,C65-C
XXXI domenica del Tempo Ordinario,464,C66,C,C66-C
XXXII domenica del Tempo Ordinario,470,C67,C,C67-C
XXXIII domenica del Tempo Ordinario,475,C68,C,C68-C
Solennità di nostro Signore Gesù Cristo Re dell’universo,482,C69,C,C69-C
2 febbraio: Presentazione del Signore,491,C70,C,C70-C
24 giugno: Natività di san Giovanni Battista – Messa vespertina nella vigilia,497,C71,C,C71-C
24 giugno: Natività di san Giovanni Battista – Messa del giorno,502,C72,C,C72-C
29 giugno: Santi Pietro e Paolo apostoli – Messa vespertina nella vigilia,507,C73,C,C73-C
29 giugno: Santi Pietro e Paolo apostoli – Messa del giorno,512,C74,C,C74-C
6 agosto: Trasfigurazione del Signore,518,C75,C,C75-C
15 agosto: Assunzione della beata Vergine Maria – Messa vespertina nella vigilia,522,C76,C,C76-C
15 agosto: Assunzione della beata Vergine Maria – Messa del giorno,526,C77,C,C77-C
14 settembre: Esaltazione della Santa Croce,531,C78,C,C78-C
1 novembre: Tutti i Santi,535,C79,C,C79-C
2 novembre: Commemorazione di tutti i fedeli defunti – 1° schema,539,C80,C,C80-C
2 novembre: Commemorazione di tutti i fedeli defunti – 2° schema,543,C81,C,C81-C
2 novembre: Commemorazione di tutti i fedeli defunti – 3° schema,548,C82,C,C82-C
9 novembre: Dedicazione della Basilica lateranense,553,C83,C,C83-C
8 dicembre: Immacolata Concezione della beata Vergine Maria,557,C84,C,C84-C
