date,evento,weekday,celebrazione,id_liturgia,anno,liturgia1,liturgia2
2019-06-09,Pentecoste,Sunday,Domenica di Pentecoste – Messa del giorno,C33-C,2019,http://www.lachiesa.it/calendario/Detailed/20190609.shtml,https://liturgia.silvestrini.org/letture/2019-06-09.html
2019-06-16,Solennità della Santissima Trinità,Sunday,Solennità della SS Trinità,C34-C,2019,http://www.lachiesa.it/calendario/Detailed/20190616.shtml,https://liturgia.silvestrini.org/letture/2019-06-16.html
2019-06-23,Santissimo Corpo e Sangue di Cristo,Sunday,Solennità del SS Corpo e Sangue di Cristo,C35-C,2019,http://www.lachiesa.it/calendario/Detailed/20190623.shtml,https://liturgia.silvestrini.org/letture/2019-06-23.html
2019-06-24,Natività di San Giovanni Battista,Monday,24 giugno: Natività di san Giovanni Battista – Messa del giorno,C72-C,2019,http://www.lachiesa.it/calendario/Detailed/20190624.shtml,https://liturgia.silvestrini.org/letture/2019-06-24.html
2019-06-28,Santissimo Cuore di Gesù,Friday,Solennità del Sacratissimo Cuore di Gesù,C36-C,2019,http://www.lachiesa.it/calendario/Detailed/20190628.shtml,https://liturgia.silvestrini.org/letture/2019-06-28.html
2019-06-29,Santi Pietro e Paolo Apostoli,Saturday,29 giugno: Santi Pietro e Paolo apostoli – Messa del giorno,C74-C,2019,http://www.lachiesa.it/calendario/Detailed/20190629.shtml,https://liturgia.silvestrini.org/letture/2019-06-29.html
2019-06-30,13° D.T.O.,Sunday,XIII domenica del Tempo Ordinario,C48-C,2019,http://www.lachiesa.it/calendario/Detailed/20190630.shtml,https://liturgia.silvestrini.org/letture/2019-06-30.html
2019-07-07,14° D.T.O.,Sunday,XIV domenica del Tempo Ordinario,C49-C,2019,http://www.lachiesa.it/calendario/Detailed/20190707.shtml,https://liturgia.silvestrini.org/letture/2019-07-07.html
2019-07-14,15° D.T.O.,Sunday,XV domenica del Tempo Ordinario,C50-C,2019,http://www.lachiesa.it/calendario/Detailed/20190714.shtml,https://liturgia.silvestrini.org/letture/2019-07-14.html
2019-07-21,16° D.T.O.,Sunday,XVI domenica del Tempo Ordinario,C51-C,2019,http://www.lachiesa.it/calendario/Detailed/20190721.shtml,https://liturgia.silvestrini.org/letture/2019-07-21.html
