id_canti,similarity,titolo,autore,raccolta,momento,link_youtube
1709,32,Signore da chi andremo,Alejandro Mejia,,"31,52",J5tytDPEmCc
1675,28,Symbolum ‘77,Pierangelo Sequeri,In cerca d'autore,"31,14,19",r-hf2dOBfDE
2647,28,La sua casa,Francesco Buttazzo,Guidati nel deserto,"21,10",aZB9J7PpAmicltm6
446,28,Symbolum ‘77 (v2),Pierangelo Sequeri,In cerca d'autore,"31,14,19",r-hf2dOBfDE
225,27,Il canto della creazione,Giosy Cento,,"21,14",UmZMsOYQtUY
1837,26,Dio è la mia salvezza,Marco Frisina,Salvatore del mondo,"2,4",yO6xhARbaLM
179,26,E sono solo un uomo,Pierangelo Sequeri ,In cerca d'autore,31,Fz3h8MZC-dk
2737,26,Inno alla Parola,"R.Farruggio, V.Valenti",Da uomo a uomo,"21,31,17",q2GgtAvd53M
169,26,E correremo insieme,Giosy Cento,,32,8av9XCKUVMo
2616,26,Resurrezione,,,"31,5",dchMT-HU3hA
1050,25,Amo,Stefano Fioravanti,,24,PHJIZ9hZo2I
2564,25,Getta le tue reti,"Collu, Moro, Maxia",,"31,32,10",jgdNW0t1wNg
1879,25,Preconio Pasquale,Kiko Arguello,,"21,5",
2728,25,Disse un giorno il Padre,G.Stefani - M.Giombini ,,10,
2087,25,Preconio Pasquale,Fra Giuseppe di Fatta,,5,5QKwhomm0G8
1918,25,Io sarò con voi,Marco Gragnani - Giorgio Casini,,31,GB-93Or0Yy4
1752,25,Mi basta la tua grazia,RnS (G. Sanfratello - G. Cucuzza) ,,"31,32,52",MLW5Dz0Bnmw
2354,25,Io sono il pane della vita,Lucio Maria Zappatore,Il Signore è vita,"31,2,3,4,5",jtFyO8nGGN8
231,24,Il Pane del Cammino,Franco Motta - Pierangelo Sequeri,,"21,26,31,32",bjaWckUY05I
2727,24,La legge del Signore,Movimento Eucaristico Giovanile,Sulla strada per Emmaus,31,8AeCC4Dl3Bk
307,24,Mia forza e mio canto,Pierangelo Comi,,"14,17",lhWpwbUTchk
463,24,Tu chi sei,Chiara Bizzetti,,31,4J5sLpixxJk
1871,24,Come fuoco per il mondo,Suore di maria bambina,,"9,52",mUNq2a42DB4
223,24,Il canto del deserto,Piero Ciardella,,"31,15",iHQdPozISDo
242,24,In principio,Daniele Ricci,,"21,3",jsFibHveYW4
55,24,Annunceremo che Tu,Paolo Auricchio,,"32,16",ZfI4bBMKSRs
1562,24,Come il cervo va all'acqua viva,"Bob Hurd, Marco Deflorian",,31,-VdUBfZfWFY
414,24,Se m’accogli,Pierangelo Sequeri,,"21,26,13,14",YkAIWOfJiJM
1559,24,Come il cervo va all'acqua viva (semplificata),"Bob Hurd, Marco Deflorian",,31,-VdUBfZfWFY
240,23,In comunione,Stefano Pianori,,31,EMH4PDL-Y5k
1777,23,E' il Signore e dà la vita,Comunità Gesù Risorto,,"32,14",ovf-n3ScJ_8
444,23,Sulla Tua parola (Pietro vai),P. Paci - G. Santambrogio - Stefano Varnavà,,"31,16,17,20",jXE0ta1g1b0
1851,23,Il mistero,Bracchi/Sicari,,"31,2,4,7,9,10,11,12,13,14,15,16,20",vQ9TjxVk1qQ
321,23,Noi canteremo gloria a Te,Gino Stefani - D. Stefani,,"21,32,14,19",beOpc0kvk0c
1674,23,Non sono più io che vivo,Stefano La Porta,,"31,52",_45-2Dr9dQ4
2270,23,Non sono più io che vivo,RnS,Misericordia sei,31,_45-2Dr9dQ4
2780,23,Grazie Signore,Filippo Daino,,"31,9,10,52,54",K4FCwj5IVJ4
2248,23,Ascolta oggi ,Silverio Fioravanti,,21,
205,23,Gioisci Figlia di Sion,Gen Verde,Sulla via della speranza,"32,2,3,7",CdMfAsdFpxU
2726,23,Io amo te,S. Stacchiotti,Cristo è risorto,31,6zmFOOEjBIk
2394,22,Fa' che io creda,"RnS - De Luca, Conte",Io scelgo Te,26,RCquNBv0fik
1477,22,Sono il Pane di Vita,S. Toolan,,31,UwA__oGQ1e0
160,22,Dio s’è fatto come noi,Gino Stefani - Marcello Giombini,,"31,2,3",lGaqYA2I-lU
380,22,Resta Accanto a me,Gen Verde,,32,ji4xk-YIgoo
2454,22,Gloria a Dio,Giuseppe Tranchida,Con Voci di Gioia,23,I57AWJx0x4g
1932,22,Ci nutri alla Tua mensa,"F. Buttazzo, P. Dargenio",Esulta il cielo,"26,31,9",RPQ8ORkm9bo
236,22,Il Signore è la mia salvezza,A. Marani,,"21,32,14,17",hYoJr1jamX0
1946,22,Aprite le porte a Cristo,Marco Frisina,Sacerdote per sempre,21,tQO6XO9syFk
