evento,id_evento,ciclo_domenicale,id_liturgia
Beata Vergine Maria del Monte Carmelo,50,A,50-A
16° D.T.O.,7,A,7-A
San Giacomo,88,A,88-A
17° D.T.O.,8,A,8-A
18° D.T.O.,9,A,9-A
Trasfigurazione del Signore,101,A,101-A
19° D.T.O.,10,A,10-A
Assunzione della Beata Vergine Maria,48,A,48-A
20° D.T.O.,13,A,13-A
21° D.T.O.,14,A,14-A
22° D.T.O.,15,A,15-A
23° D.T.O.,16,A,16-A
Natività della Beata Vergine Maria,81,A,81-A
Santissimo nome di Maria,96,A,96-A
24° D.T.O.,17,A,17-A
Esaltazione della Santa Croce,58,A,58-A
25° D.T.O.,18,A,18-A
26° D.T.O.,19,A,19-A
27° D.T.O.,20,A,20-A
Madonna del Rosario,72,A,72-A
28° D.T.O.,21,A,21-A
29° D.T.O.,22,A,22-A
Inizio Novena dei morti,67,A,67-A
30° D.T.O.,27,A,27-A
Solennità di tutti i Santi,100,A,100-A
Commemorazione dei defunti,52,A,52-A
32° D.T.O.,29,A,29-A
Dedicazione Basilica Lateranense,54,A,54-A
33° D.T.O.,30,A,30-A
Presentazione della Beata Vergine Maria,85,A,85-A
34° D.T.O. - Solennità di Cristo Re,31,A,31-A
Santa Cecilia patrona musica,90,A,90-A
1° Domenica di Avvento,11,A,11-A
Inizio Novena all'immacolata,66,A,66-A
2° Domenica di Avvento,23,A,23-A
Immacolata Concezione,64,A,64-A
Madonna di Loreto,73,A,73-A
3° Domenica di Avvento - Gaudete,32,A,32-A
Santa Lucia,91,A,91-A
Inizio Novena di Natale,68,A,68-A
4° Domenica di Avvento,36,A,36-A
Natale del Signore,80,A,80-A
Santo Stefano,97,A,97-A
Festa della Sacra Famiglia,60,A,60-A
Messa di Ringraziamento,79,A,79-A
Maria Santissima Madre di Dio,75,B,75-B
Giornata mondiale della pace,61,B,61-B
Santissimo nome di Gesù,95,B,95-B
Epifania del Signore,57,B,57-B
Battesimo del Signore,49,B,49-B
2° D.T.O.,26,B,26-B
3° D.T.O.,35,B,35-B
Conversione di San Paolo apostolo,53,B,53-B
4° D.T.O.,38,B,38-B
Presentazione del Signore (Candelora),86,B,86-B
5° D.T.O.,41,B,41-B
Madonna di Lourdes,74,B,74-B
6° D.T.O.,43,B,43-B
Mercoledì delle ceneri,78,B,78-B
1° Domenica di Quaresima,12,B,12-B
Cattedra di San Pietro Apostolo,51,B,51-B
2° Domenica di Quaresima,25,B,25-B
3° Domenica di Quaresima,34,B,34-B
Domenica Laetare,56,B,56-B
Solennità di San Giuseppe,99,B,99-B
5° Domenica di Quaresima,40,B,40-B
Festa dell'Annunciazione,59,B,59-B
Domenica delle Palme,55,B,55-B
Lunedì della settimana Santa,71,B,71-B
Martedì della settimana Santa,76,B,76-B
Mercoledì della settimana Santa,77,B,77-B
Giovedì Santo (Messa del Crisma),63,B,63-B
Giovedì Santo (In Cena Domini),62,B,62-B
Venerdì Santo (Passione del Signore),102,B,102-B
Inizio Novena alla Divina Misericordia,65,B,65-B
Sabato Santo,87,B,87-B
Pasqua - Risurrezione del Signore,83,B,83-B
Lunedì dell'Angelo,70,B,70-B
2° Domenica di Pasqua o della Divina Misericordia (dom. in Albis),24,B,24-B
3° Domenica di Pasqua (Misericordias Domini),33,B,33-B
4° Domenica di Pasqua (Jubilate),37,B,37-B
San Giuseppe Lavoratore,89,B,89-B
5° Domenica di Pasqua (Cantate),39,B,39-B
6° Domenica di Pasqua (Rogate - Vocem jocunditatis),42,B,42-B
Inizio Novena di Pentecoste,69,B,69-B
Ascensione di Gesù,47,B,47-B
Pentecoste,84,B,84-B
Solennità della Santissima Trinità,98,B,98-B
Visitazione della Beata Vergine Maria,103,B,103-B
Santissimo Corpo e Sangue di Cristo,93,B,93-B
Santissimo Cuore di Gesù,94,B,94-B
11° D.T.O.,2,B,2-B
12° D.T.O.,3,B,3-B
Natività di San Giovanni Battista,82,B,82-B
13° D.T.O.,4,B,4-B
Santi Pietro e Paolo Apostoli,92,B,92-B
14° D.T.O.,5,B,5-B
15° D.T.O.,6,B,6-B
Beata Vergine Maria del Monte Carmelo,50,B,50-B
16° D.T.O.,7,B,7-B
San Giacomo,88,B,88-B
18° D.T.O.,9,B,9-B
Trasfigurazione del Signore,101,B,101-B
19° D.T.O.,10,B,10-B
Assunzione della Beata Vergine Maria,48,B,48-B
21° D.T.O.,14,B,14-B
22° D.T.O.,15,B,15-B
23° D.T.O.,16,B,16-B
Natività della Beata Vergine Maria,81,B,81-B
Santissimo nome di Maria,96,B,96-B
Esaltazione della Santa Croce,58,B,58-B
25° D.T.O.,18,B,18-B
26° D.T.O.,19,B,19-B
27° D.T.O.,20,B,20-B
Madonna del Rosario,72,B,72-B
28° D.T.O.,21,B,21-B
29° D.T.O.,22,B,22-B
30° D.T.O.,27,B,27-B
Inizio Novena dei morti,67,B,67-B
31° D.T.O.,28,B,28-B
Solennità di tutti i Santi,100,B,100-B
Commemorazione dei defunti,52,B,52-B
32° D.T.O.,29,B,29-B
Dedicazione Basilica Lateranense,54,B,54-B
33° D.T.O.,30,B,30-B
34° D.T.O. - Solennità di Cristo Re,31,B,31-B
Presentazione della Beata Vergine Maria,85,B,85-B
Santa Cecilia patrona musica,90,B,90-B
1° Domenica di Avvento,11,B,11-B
Inizio Novena all'immacolata,66,B,66-B
2° Domenica di Avvento,23,B,23-B
