id_canti,titolo,score_similarity,score_deviation,score_selection,score_history,score,adeguatezza
1710,Spezziamo il pane ,0.42,-0.21,,,14.000000000000002,🧐 Mh
1407,Noi ti diamo gloria,0.32,-0.09,,,14.000000000000002,🧐 Mh
220,Guarda questa offerta,0.27,-0.15,,0.25,14.000000000000002,🧐 Mh
2575,Tu sei qui (Way maker),0.38,-0.16,,,14.000000000000002,🧐 Mh
282,Lo Spirito del Signore,0.84,-0.74,,,14.000000000000002,🧐 Mh
2401,Benedictus ,0.55,-0.38,,,14.000000000000002,🧐 Mh
331,O Maestro (San Francesco),0.59,-0.43,,,14.000000000000002,🧐 Mh
2230,Vieni con me,0.62,-0.45,,,14.000000000000002,🧐 Mh
1757,Chi ha sete,0.55,-0.38,,,14.000000000000002,🧐 Mh
2301,E lo credemmo abbandonato da DIo,0.77,-0.64,,,14.000000000000002,🧐 Mh
2218,I frutti che ci dai,0.59,-0.42,,,14.000000000000002,🧐 Mh
316,Nel Tuo silenzio,0.67,-0.52,,,14.000000000000002,🧐 Mh
295,Madre io vorrei,0.61,-0.45,,,14.000000000000002,🧐 Mh
2181,Gloria,0.67,-0.52,,,14.000000000000002,🧐 Mh
1616,Canzone della speranza,0.69,-0.55,,,14.000000000000002,🧐 Mh
2505,Cristo muove le montagne,0.69,-0.55,,,14.000000000000002,🧐 Mh
2673,Sei per noi cibo di eternità,0.54,-0.35,,,14.000000000000002,🧐 Mh
2316,Padre m'abbandono a te,0.54,-0.35,,,14.000000000000002,🧐 Mh
27,"Alleluia, cantate al Signore",0.58,-0.4,,,14.000000000000002,🧐 Mh
1551,Cantiamo con gioia,0.55,-0.39,,,13.0,🧐 Mh
1793,Canzone di Maria chiara (Se non ritornerete),0.54,-0.39,,,13.0,🧐 Mh
68,Ave Maria,0.55,-0.39,,,13.0,🧐 Mh
1704,Il Signore è vicino,0.47,-0.29,,,13.0,🧐 Mh
1738,Misericordia sei,0.29,-0.08,,,13.0,🧐 Mh
2043,Sono nato di nuovo,0.43,-0.24,,,13.0,🧐 Mh
1392,Il Natale del Signor (Titolo originale: The first Nowell),0.37,-0.17,,,13.0,🧐 Mh
1596,Il Figliol Prodigo (Abbracciami Gesù),0.6,-0.46,,,13.0,🧐 Mh
1908,Luce,0.6,-0.46,,,13.0,🧐 Mh
2023,Oggi è nato per noi,0.57,-0.41,,,13.0,🧐 Mh
2767,Dite alla gente,0.47,-0.29,,,13.0,🧐 Mh
1942,L'ultima cena,0.45,-0.27,,,13.0,🧐 Mh
1787,Perchè la vostra gioia sia piena,0.45,-0.27,,,13.0,🧐 Mh
459,Ti ringraziamo,0.45,-0.27,,,13.0,🧐 Mh
25,Alleluia e poi,0.45,-0.26,,,13.0,🧐 Mh
134,Come fuoco vivo,0.58,-0.44,,,13.0,🧐 Mh
1564,Nostra gloria è la croce,0.58,-0.44,,,13.0,🧐 Mh
2760,"Alleluia, Acclamiamo a te",0.58,-0.44,,,13.0,🧐 Mh
444,Sulla Tua parola (Pietro vai),0.68,-0.56,,,13.0,🧐 Mh
505,Prima Corinzi 13,0.72,-0.6,,,13.0,🧐 Mh
288,"Lode a Te, o Cristo",0.5,-0.34,,,13.0,🧐 Mh
2214,Viva don Bosco,0.49,-0.32,,,13.0,🧐 Mh
447,Symbolum ‘80 (Ma la tua Parola),0.73,-0.63,,,13.0,🧐 Mh
2228,Magnifica il Signore anima mia,0.64,-0.51,,,13.0,🧐 Mh
1932,Ci nutri alla Tua mensa,0.64,-0.51,,,13.0,🧐 Mh
1621,Occhi di cielo,0.49,-0.31,,,13.0,🧐 Mh
1581,La voce di Maria,0.62,-0.49,,,13.0,🧐 Mh
245,Insieme a Te,0.68,-0.55,,,13.0,🧐 Mh
2245,E' la gioia che fa cantare,0.53,-0.36,,,13.0,🧐 Mh
2073,L'amore del Padre,0.53,-0.36,,,13.0,🧐 Mh
2191,Alleluia di Lourdes,0.53,-0.36,,,13.0,🧐 Mh
370,Quale gioia,0.64,-0.5,,,13.0,🧐 Mh
2232,"Tu, nostro Pastore",0.53,-0.36,,,13.0,🧐 Mh
2764,Giovani Orizzonti,0.5,-0.34,,,13.0,🧐 Mh
2453,Grazie Gesù,0.49,-0.31,,,13.0,🧐 Mh
1639,Mi perdo nel tuo amore,0.47,-0.29,,,13.0,🧐 Mh
13,Alla mensa del Signore,0.51,-0.34,,,13.0,🧐 Mh
368,Prendi la mia vita,0.51,-0.34,,,13.0,🧐 Mh
2649,Prenditi a cuore,0.47,-0.3,,,13.0,🧐 Mh
2752,Per accendere in cuore la speranza,0.51,-0.34,,,13.0,🧐 Mh
353,Padre perdona,0.47,-0.29,,,13.0,🧐 Mh
1869,"Maria, tua dolcezza",0.55,-0.42,,,12.0,🧐 Mh
371,Quale gioia (è star con Te),0.5,-0.35,,,12.0,🧐 Mh
1546,Alleluia (Celtico),0.48,-0.32,,,12.0,🧐 Mh
1948,La Tua presenza in me,0.48,-0.32,,,12.0,🧐 Mh
1389,Non per forza,0.42,-0.26,,,12.0,🧐 Mh
2114,"Arrivederci a te, amico Gesù",0.42,-0.26,,,12.0,🧐 Mh
1725,Innalziamo lo sguardo,0.42,-0.26,,,12.0,🧐 Mh
2569,Scatenate la gioia,0.42,-0.26,,,12.0,🧐 Mh
1801,Tu vero pane della vita,0.56,-0.42,,,12.0,🧐 Mh
1674,Non sono più io che vivo,0.73,-0.64,,,12.0,🧐 Mh
1953,So che sei qui,0.69,-0.59,,,12.0,🧐 Mh
1924,Nella Chiesa del Signore,0.56,-0.42,,,12.0,🧐 Mh
1652,"Ti Loderò, Ti Adorerò, Ti Canterò",0.32,-0.14,,,12.0,🧐 Mh
2212,Alleluia (Canta con gioia),0.46,-0.3,,,12.0,🧐 Mh
1889,Ai piedi di Gesù (semplificata),0.46,-0.31,,,12.0,🧐 Mh
1446,Ai piedi di Gesù,0.46,-0.31,,,12.0,🧐 Mh
320,Ninna Nanna,0.32,-0.14,,,12.0,🧐 Mh
2665,Chi perde la sua vita per me,0.42,-0.25,,,12.0,🧐 Mh
2078,Madre fiducia nostra,0.52,-0.37,,,12.0,🧐 Mh
2876,Pellegrini di speranza,0.52,-0.37,,,12.0,🧐 Mh
446,Symbolum ‘77 (v2),0.75,-0.66,,,12.0,🧐 Mh
2357,"Ti ringrazio, o Signor",0.44,-0.28,,,12.0,🧐 Mh
17,Alleluia è risorto,0.44,-0.28,,,12.0,🧐 Mh
1675,Symbolum ‘77,0.75,-0.66,,,12.0,🧐 Mh
1978,In Eterno Canterò,0.52,-0.37,,,12.0,🧐 Mh
2544,Lui ci ha dato i cieli,0.46,-0.3,,,12.0,🧐 Mh
2113,Con gioia veniamo a Te,0.52,-0.37,,,12.0,🧐 Mh
136,Come Maria,0.44,-0.28,,,12.0,🧐 Mh
1570,Salve madre dell’amore,0.44,-0.28,,,12.0,🧐 Mh
2363,Ave Maria ,0.46,-0.3,,,12.0,🧐 Mh
2317,L'uomo dei dolori,0.54,-0.4,,,12.0,🧐 Mh
2203,Cantico delle creature,0.46,-0.3,,,12.0,🧐 Mh
1790,Quando cammino per il mondo,0.46,-0.3,,,12.0,🧐 Mh
1622,Saldo è il mio cuore,0.52,-0.37,,,12.0,🧐 Mh
2412,"Ave, piena di grazia",0.52,-0.37,,,12.0,🧐 Mh
1578,Gioisci figlia di Sion,0.61,-0.5,,,12.0,🧐 Mh
2397,Misericordia sei,0.29,-0.09,,,12.0,🧐 Mh
193,Fede è,0.57,-0.45,,,12.0,🧐 Mh
463,Tu chi sei,0.63,-0.51,,,12.0,🧐 Mh
1454,Nessuno è come Te,0.38,-0.21,,,12.0,🧐 Mh
2929,Ora Partiamo,0.4,-0.23,,,12.0,🧐 Mh
486,Vieni e seguimi,0.4,-0.23,,,12.0,🧐 Mh
207,Gli angeli delle campagne,0.4,-0.23,,,12.0,🧐 Mh
1676,Ti rendiamo grazie,0.61,-0.5,,,12.0,🧐 Mh
224,Il canto dell’amore,0.57,-0.45,,,12.0,🧐 Mh
253,Io non sono degno,0.65,-0.54,,,12.0,🧐 Mh
2238,"Alleluia, rendete grazie",0.59,-0.47,,,12.0,🧐 Mh
1879,Preconio Pasquale,0.84,-0.78,,,12.0,🧐 Mh
1747,"Alleluia, da chi andremo",0.38,-0.21,,,12.0,🧐 Mh
2597,Glorifica il Signore Gerusalemme,0.67,-0.57,,,12.0,🧐 Mh
2757,Vieni popolo mio,0.6,-0.47,,,12.0,🧐 Mh
2051,Perdonami ancora,0.38,-0.21,,,12.0,🧐 Mh
8,Acqua siamo noi,0.58,-0.48,,,11.0,🧐 Mh
2270,Non sono più io che vivo,0.7,-0.62,,,11.0,🧐 Mh
422,Semina la Pace,0.45,-0.31,,,11.0,🧐 Mh
2723,Dio ha tanto amato il mondo,0.68,-0.6,,,11.0,🧐 Mh
1554,Emmanuel tu sei,0.41,-0.27,,,11.0,🧐 Mh
223,Il canto del deserto,0.74,-0.67,,,11.0,🧐 Mh
297,Magnificat ’86,0.56,-0.46,,,11.0,🧐 Mh
2555,Ora si può,0.6,-0.51,,,11.0,🧐 Mh
1698,Vergin Santa,0.68,-0.6,,,11.0,🧐 Mh
2052,Il mio posto,0.53,-0.41,,,11.0,🧐 Mh
380,Resta Accanto a me,0.6,-0.51,,,11.0,🧐 Mh
2766,Alleluia dello Spirito,0.41,-0.27,,,11.0,🧐 Mh
1556,Insieme è forte,0.51,-0.38,,,11.0,🧐 Mh
141,Con il mio canto,0.45,-0.31,,,11.0,🧐 Mh
2056,Ecco Signore,0.51,-0.38,,,11.0,🧐 Mh
2061,Stabat Mater,0.35,-0.2,,,11.0,🧐 Mh
2529,Sei Tu Signore il pane,0.6,-0.51,,,11.0,🧐 Mh
1737,Potente sei mio Signor,0.51,-0.38,,,11.0,🧐 Mh
2533,Il custode d'Israele (salmo 120/121),0.59,-0.48,,,11.0,🧐 Mh
184,Ecco la serva del Signore (v2),0.68,-0.6,,,11.0,🧐 Mh
39,"Alleluia, Signore sei venuto",0.51,-0.38,,,11.0,🧐 Mh
2300,Con Te Camminerò,0.35,-0.19,,,11.0,🧐 Mh
135,Come l’aurora verrai,0.51,-0.39,,,11.0,🧐 Mh
120,Canto a Te Maria,0.56,-0.46,,,11.0,🧐 Mh
362,Preghiera,0.49,-0.36,,,11.0,🧐 Mh
2269,La trasfigurazione,0.68,-0.6,,,11.0,🧐 Mh
2636,So che tu sei il mio Signor,0.39,-0.24,,,11.0,🧐 Mh
1626,O Amore Ineffabile,0.27,-0.1,,,11.0,🧐 Mh
2370,Il Magnificat,0.49,-0.36,,,11.0,🧐 Mh
2626,Giovani e Vecchi ,0.47,-0.33,,,11.0,🧐 Mh
2055,Maria tu prega,0.47,-0.33,,,11.0,🧐 Mh
2415,Quando lo spirito ,0.31,-0.15,,,11.0,🧐 Mh
2196,Alza i tuoi occhi al cielo,0.55,-0.43,,,11.0,🧐 Mh
2441,C'eri tu ,0.28,-0.1,,,11.0,🧐 Mh
301,Rimani con me,0.55,-0.43,,,11.0,🧐 Mh
1716,Usami Signore,0.55,-0.43,,,11.0,🧐 Mh
2917,"Alleluia, la tua parola",0.41,-0.26,,,11.0,🧐 Mh
2337,Gesù che sta passando,0.34,-0.17,,,11.0,🧐 Mh
1795,Sei giunto da molto lontano,0.49,-0.36,,,11.0,🧐 Mh
2255,Lode a te o Cristo,0.37,-0.22,,,11.0,🧐 Mh
194,Fermarono i cieli,0.26,-0.08,,,11.0,🧐 Mh
1848,Grazie Signore,0.6,-0.51,,,11.0,🧐 Mh
2194,Alleluia Quando siam riuniti,0.31,-0.15,,,11.0,🧐 Mh
