id_canti,similarity,mean_similarity,deviation,titolo,autore,raccolta,momento,link_youtube,score_similarity,score_deviation,score
2302,19.39,15.37,4.020000000000001,Il deserto fiorirà,Marco Frisina,Non temere,"21,2",WZ8GCddPj5I,0.7708195848282933,2.0,2.7708195848282933
1928,12.94,10.92,2.0199999999999996,Santa degli impossibili (Santa Rita),canto popolare,,"21,32,10",,0.5144097693490517,1.0049751243781089,1.5193848937271606
2285,16.11,18.63,-2.5199999999999996,Dal profondo a Te grido,Marco Frisina,Tu sarai profeta,31,UYRtoAaqey8,0.6404282368016401,-0.19679812573213581,0.44363011106950423
2518,12.77,13.88,-1.1100000000000012,E' il Signor,Marvin V. Frey,,"28,9",9apH9bF8NYk,0.5076516811891338,-0.08668488871534565,0.4209667924737882
2602,12.77,13.88,-1.1100000000000012,E' il Signor,Marvin V. Frey,He is Lord,"28,14",9apH9bF8NYk,0.5076516811891338,-0.08668488871534565,0.4209667924737882
1935,2.55,1.94,0.6099999999999999,Agnus Dei,Giosy Cento,,"71,2,3,4,5",_2zFoFm_a1c,0.10137132239876986,0.30348258706467646,0.40485390946344635
1911,1.88,1.31,0.5699999999999998,Agnus Dei,,,71,,0.07473650435674012,0.2835820895522386,0.35831859390897874
2185,1.77,1.25,0.52,Agnus Dei (miserere et pacem),Daniele Esposito,,71,oi6I52MhsaQ,0.07036362378267556,0.2587064676616915,0.32907009144436705
207,11.86,15.04,-3.1799999999999997,Gli angeli delle campagne,Noël,,3,wtCunFlJfpM,0.4714760328036904,-0.24834049199531427,0.2231355408083761
2439,2.76,2.54,0.21999999999999975,"T’adoriam, Ostia divina",Popolare,Collana Canti per la Liturgia: Inni e canti,9,tstLbNE5AJU,0.10971954894925678,0.1094527363184078,0.21917228526766458
2135,6.41,7.07,-0.6600000000000001,Aprimi gli occhi del cuore,Jeunesse en Mission,,"21,10,14",41BvMRjjJmo,0.2548196770886725,-0.05154236626317845,0.20327731082549402
2565,6.65,7.69,-1.04,Sacro torrente,Don LIvio Tacchini,,"31,9",ZYW_9wDuErY,0.26436050743208617,-0.08121827411167512,0.18314223332041105
2767,13.36,18.06,-4.699999999999999,Dite alla gente,G.Meregalli,Mi hai tenuto per mano,"21,31,32,3,10,14",VFeCqLeqUbM,0.5311062224500256,-0.367044123389301,0.1640620990607246
2761,5.66,6.59,-0.9299999999999997,Alleuia malgascio,tradizionale del Madagascar,,"25,18",JFX_mWrdGJY,0.22500458226550485,-0.07262787973447869,0.15237670253102614
2569,11.73,15.8,-4.07,Scatenate la gioia,Lucio D'amico,,"32,51",K7gPJJGXZsc,0.46630808303434135,-0.3178445919562671,0.14846349107807427
2167,6.91,8.54,-1.629999999999999,Vieni Signore Vieni (Maranatha),Galliano Semprini,Il signore è vicino,"21,2",_TX0DWif4aw,0.2746964069707842,-0.12729402577118304,0.14740238119960114
1567,5.43,6.37,-0.9400000000000004,Apri i miei occhi Signore,RnS,,"21,24",cWmBVEVPoZQ,0.21586128651973346,-0.07340882467786024,0.1424524618418732
101,0.45,0.3,0.15000000000000002,Canoni - Magnificat,Taize,,18,nLM0GiihIbs,0.017889056893900565,0.07462686567164177,0.09251592256554234
1714,9.5,13.22,-3.7200000000000006,"Ti saluto, o Croce santa",Gazzera - Damilano ,,"21,32,4",3SaRcDRegyo,0.377657867760123,-0.2905115189379149,0.08714634882220812
1704,12.66,18.16,-5.5,Il Signore è vicino,"Galliano, Semprini",,"21,2",8G4DT4vOuWY,0.5032788006150692,-0.4295197188598203,0.07375908175524892
2154,7.39,10.21,-2.820000000000001,Alleluia (Messa della Concordia),Gen Verde,,25,AewvundFzX4,0.29377806765761144,-0.2202264740335807,0.07355159362403074
2123,7.39,10.21,-2.820000000000001,Alleluia 7,Taizè,,25,6OE6-jCNZuM,0.29377806765761144,-0.2202264740335807,0.07355159362403074
16,7.18,9.92,-2.74,Alleluia,Mite Balduzzi,,25,77Ft25VCnI4,0.28542984110712455,-0.2139789144865287,0.07145092662059585
2623,12.02,17.28,-5.260000000000002,Eterno Signor,"RnS - G.Sadler, J.Harvill",Risplendi Gerusalemme,"21,32,14,52",dOz_FPcrfp8,0.4778365863659662,-0.4107770402186647,0.06705954614730153
86,6.76,9.35,-2.59,Bianco Natale,Tradizionale,,3,U1rW9oXQE5I,0.2687333880061507,-0.2022647403358063,0.06646864767034441
