id_canti,titolo,score_vector_similarity,score_text_similarity,score_deviation,score_selection,score_history,score,adeguatezza
2728,Disse un giorno il Padre,,0.66,0.47,,,57,:material-dots-horizontal: Mh
2616,Resurrezione,,0.66,0.46,,,56,:material-dots-horizontal: Mh
55,Annunceremo che Tu,,0.64,0.45,,,56,:material-dots-horizontal: Mh
428,Andate in mezzo a loro,,0.65,0.41,,,54,:material-dots-horizontal: Mh
179,E sono solo un uomo,,0.46,0.0,,0.86,52,:material-dots-horizontal: Mh
1775,Non mi abbandonare,0.805223648769007,0.44,0.26,,,50,:material-dots-horizontal: Mh
411,Scusa Signore,0.7174317209163757,0.49,0.31,,,50,:material-dots-horizontal: Mh
2786,Muovi le montagne,0.7991713815403891,0.47,0.18,,,48,:material-dots-horizontal: Mh
2768,La mano nella tua,0.7721574847673236,0.45,0.22,,,48,:material-dots-horizontal: Mh
1839,Se il chicco di frumento,,0.53,0.42,,,48,:material-dots-horizontal: Mh
1706,Padre Nostro,,0.53,0.4,,,47,:material-dots-horizontal: Mh
5,Accogli i nostri doni,,0.18,-0.1,,1.0,47,:material-dots-horizontal: Mh
2251,"Alleluia, Cristo e' risorto",,0.56,0.33,,,46,:material-dots-horizontal: Mh
276,"La Sua, la nostra Messa",,0.53,0.38,,,46,:material-dots-horizontal: Mh
1862,Non Temere,0.7583836272270921,0.45,0.17,,,46,:material-dots-horizontal: Mh
141,Con il mio canto,,0.52,0.39,,,46,:material-dots-horizontal: Mh
318,Nella Tua tenda,,0.5,0.41,,,46,:material-dots-horizontal: Mh
2199,Con Francesco profeti tra la gente,,0.53,0.34,,,45,:material-dots-horizontal: Mh
2230,Vieni con me,,0.54,0.33,,,45,:material-dots-horizontal: Mh
2285,Dal profondo a Te grido,0.7597409338163079,0.42,0.18,,,45,:material-dots-horizontal: Mh
1924,Nella Chiesa del Signore,,0.53,0.33,,,44,:material-dots-horizontal: Mh
1783,Padre Nostro,,0.51,0.36,,,44,:material-dots-horizontal: Mh
496,Voglio ringraziare,,0.46,0.41,,,44,:material-dots-horizontal: Mh
