id_canti,similarity,mean_similarity,deviation,titolo,autore,raccolta,momento,link_youtube,score_similarity,score_deviation,score
1477,38.84,30.52,8.320000000000004,Sono il Pane di Vita,S. Toolan,,31,UwA__oGQ1e0,0.8271009836065575,1.783494105037514,2.6105950886440716
1664,26.73,17.4,9.330000000000002,Vero cibo è il tuo corpo,RnS,Mi arrendo al tuo amore,31,MT5d5ErYJ10,0.5692175409836066,2.0,2.5692175409836064
1702,24.79,16.14,8.649999999999999,Questo è il mio corpo,Janet Lunt,,31,1oU-F5CMais,0.5279050819672132,1.854233654876741,2.382138736843954
1709,48.8,43.74,5.059999999999995,Signore da chi andremo,Alejandro Mejia,,"31,52",J5tytDPEmCc,1.0392,1.0846730975348327,2.1238730975348323
2529,31.34,25.57,5.77,Sei Tu Signore il pane,George Kirbye,,"31,52",3scIuiikzuk,0.667387868852459,1.2368703108252943,1.9042581796777533
1453,29.82,26.74,3.080000000000002,Nella Tua presenza,Daniele Ricci,,"28,31",WextjtnVp8c,0.6350193442622951,0.6602357984994643,1.2952551427617593
1853,14.53,10.66,3.869999999999999,Prendete e mangiate,Pianori,,"28,31,2,4,5,9,10,12",05kNtVWOdFc,0.3094175409836065,0.8295819935691315,1.1389995345527382
2152,26.6,24.03,2.5700000000000003,Gustate e vedete,Marco Frisina,Pane di vita nuova,"26,31",JN9WTx9H75w,0.566449180327869,0.5509110396570203,1.117360219984889
2417,13.79,10.67,3.119999999999999,A te nostro Padre,A. Vitalini-Lavagna,,26,OBLCWXOyOGY,0.29365918032786886,0.6688102893890672,0.962469469716936
11,4.76,1.09,3.67,Adeste Fideles,Tradizionale,,"21,3",FgTsp_3z94Y,0.10136459016393443,0.7867095391211145,0.8880741292850489
319,15.78,13.73,2.049999999999999,Nelle mani della Creazione,Giosy Cento,,26,1PQi7UZNjgo,0.3360363934426229,0.4394426580921755,0.7754790515347985
1608,7.41,4.64,2.7700000000000005,Guariscimi o mio Signor,Roland Patzleiner - Figli del Divino Amore,,"31,9",e7_MBc0yhMg,0.1577965573770492,0.5937834941050375,0.7515800514820867
2456,16.26,14.44,1.820000000000002,Salga da questo altare,S. Albisetti - L. Picchi,"Rivista ""Psallite! Musica e Liturgia""",26,T3P1RM65yCI,0.3462580327868853,0.3901393354769564,0.7363973682638416
2351,21.86,20.63,1.2300000000000004,Ci accogli alla tua mensa,Avolio-Capacchione-La Rocca,Festa con Gesù,31,M6qeiC3etUE,0.46551049180327864,0.2636655948553055,0.7291760866585841
2745,22.83,21.72,1.1099999999999994,Sei venuto dal cielo,Daniele Ricci,Sei venuto dal cielo,"26,31,3",x1q5ouXaQrU,0.4861667213114754,0.23794212218649502,0.7241088434979704
2218,24.55,23.68,0.870000000000001,I frutti che ci dai,Giuseppe Tranchida,,26,EgD5i_MWeIE,0.5227942622950821,0.18649517684887476,0.7092894391439568
2354,32.85,32.83,0.020000000000003126,Io sono il pane della vita,Lucio Maria Zappatore,Il Signore è vita,"31,2,3,4,5",jtFyO8nGGN8,0.699543442622951,0.0042872454448023845,0.7038306880677534
2767,19.34,18.06,1.2800000000000011,Dite alla gente,G.Meregalli,Mi hai tenuto per mano,"21,31,32,3,10,14",VFeCqLeqUbM,0.41184688524590163,0.2743837084673099,0.6862305937132116
2327,28.98,29.94,-0.9600000000000009,Chi ha fame,Kiko,,"21,4",A32O3Rl_-pA,0.617131475409836,-0.1090909090909092,0.5080405663189268
