id_canti,titolo,autore,raccolta,momento,link_youtube
1935,Agnus Dei,Giosy Cento,,"71,2,3,4,5",_2zFoFm_a1c
2185,Agnus Dei (miserere et pacem),Daniele Esposito,,71,oi6I52MhsaQ
2448,Ai piedi della Croce,Corrado Salmè,Infuocati per Dio '04,"9,10",VF01Mdiqa38
1446,Ai piedi di Gesù,RnS - S.Martinez,Vittoria!,9,CYV8jlia5gs
1889,Ai piedi di Gesù (semplificata),Salvatore Martinez,,9,CYV8jlia5gs
2452,Al Santo Glorioso (Inno in onore di San Francesco di Paola),tradizionale,,"21,32,10",YJkcn-3kDgk
2449,Al Signore canterò, D. Haas - M. Deflorian,Nella gioia della fede,"21,14",-HqBThklPK8
2413,Al tuo santo altar,E. Renoglio - Haie Les Roses,,21,9qAXp1l-Z10
1859,Albero di vita,A. M. Galliano - R. Faruggio,,"21,4",UFM0UBncxcc
1874,Alla Madonna di Czestochowa,,,"32,7",JVa5MzbPBcM
13,Alla mensa del Signore,Francesco Buttazzo,,31,-EAvW73QRiE
2411,Alla porta del mio cuore,"RnS - G.Sanfratello, R.Mangione",Dio dell'impossibile,9,plK5T1ViwLE
1979,Alla tua mensa,Martinez,,"31,4,5,13,20",Lq3wLoL8O18
14,Alla Tua presenza,Fabio Tiddia,,"21,31",piAK9gyfQQI
1936,Alla vittima pasquale,P. Dargenio,Esulta il cielo,5,nXCbbGTvXgo
16,Alleluia,Mite Balduzzi,,25,77Ft25VCnI4
2466,Alleluia,Domenico Machetta,"Sei con noi, uno di noi",25,e1k8EqfBzns
2212,Alleluia (Canta con gioia),Daniele Esposito,,25,aA8R_XOHmAM
1546,Alleluia (Celtico),Fintan O’Carroll,,25,GJlzoz0d9Qs
2491,Alleluia (congolese),--,,25,
18,Alleluia (ed oggi ancora),Pierangelo Sequeri ,E mi sorprende,25,D7vriZqQNCY
19,Alleluia (la nostra festa),Stefano Vernavà,,25,NTK8eTlukMg
2154,Alleluia (Messa della Concordia),Gen Verde,,25,AewvundFzX4
2153,Alleluia (Non può bastare una canzone),--,,25,GTPAqrgb3Ac
20,Alleluia (Passeranno i cieli),Eugenio Costa - Stefano Varnavà,,25,3-_UHaQ2N08
2662,Alleluia (Shalom),Paolo Spoladore,Dacci Pace,25,gBgAVwzOfgU
1824,Alleluia (venite a me),Orlandini - Herrera,,25,bvWOchOCQKg
1820,Alleluia - La tua parola,D. Machetta,Sei con noi uno di noi,25,e1k8EqfBzns
1399,Alleluia - Lode Cosmica,Stefano Puri,,25,CPR3wLwZS1o
1547,Alleluia - Lode Cosmica (semplificata),Stefano Puri,,25,6ol9QL9heeA
2075,Alleluia - Questa Tua Parola,Paolo Spoladore,,25,2K20I0kFo84
2123,Alleluia 7,Taizè,,25,6OE6-jCNZuM
2382,Alleluia a Colui che risuscitò ,RnS - D. Fishel,Sempre canterò,25,tNJA1b2zvT4
22,Alleluia al Redentore,RnS,Eterna è la Sua misericordia,"25,3,14",Bl65ILAGvyk
23,Alleluia Canto per Cristo,Eugenio Costa,,"25,2",TObK5sUeuNI
1671,Alleluia Canto per Cristo (v2),Eugenio Costa,,25,TObK5sUeuNI
2462,Alleluia con il cuore,Francesco Buttazzo,Alla tua festa,25,Mt_9jaG512I
1891,Alleluia Cristo è risorto veramente,Buttazzo,Esulta il cielo,"21,25,5",xp1h88PTRho
2766,Alleluia dello Spirito,"Angelo Roncari, Lorenzo Capello",,"25,6",
2191,Alleluia di Lourdes,,,25,7V8fqv25uqw
24,Alleluia di Natale,---,,"25,3",dFNb6gJu8yk
1977,Alleluia di taizé,Taizè,,25,
25,Alleluia e poi,Luca Diliberto - Giuliana Monti,,25,EDx_aUkb-xQ
17,Alleluia è risorto,Gen Rosso,Noi veniamo a Te,"25,5",Njn5BYHnaU0
2158,Alleluia è tempo della gioia,Daniele Ricci,Maranatha vieni Signore,"25,2",OtcQFYG1yKg
1643,Alleluia Gen Verde,Gen Verde,E' bello lodarti,25,0LLceOP2r2Y
2111,Alleluia Gesù,Daniele Ricci,,"21,5",CuVlJjGYowY
2243,Alleluia Gv 13,Daniele Esposito,,25,nixPt6AeAT4
2192,Alleluia Padre Mio,RnS,Nelle Tue mani,25,N-pjp6CMbvY
2618,Alleluia Padre Mio ,RnS - T.Cullen,Nelle tue mani,"22,31,5,10,52",UodRwIgIecQ
1899,Alleluia parla o Signore ,Matteo Zambuto ,,"25,2,3,17",au1j39_d4LM
2194,Alleluia Quando siam riuniti,,,25,
2476,Alleluia Tu sei la parola,,,25,mEJxylCyzLI
2195,Alleluia un giorno Santo,Marco Frisina,Cristo nostra salvezza,"25,3",o_QBpM18EwA
2736,Alleluia Vi annunzio,Marco Frisina,Natale: 1 gennaio - Epifania,"25,3",2jxLUTHmUdA
2760,"Alleluia, Acclamiamo a te",D. Scarpa-F. Buttazzo,Vieni Soffio di Dio,25,a45xkB1avsc
27,"Alleluia, cantate al Signore",Gen Rosso,,"21,25,31,3,5",6EZWcYt6Wr8
28,"Alleluia, chi ascolta",Francesco Buttazzo,,25,6GlSrXdZx90
29,"Alleluia, chi ascolta le mie parole",Comunità Spello,,25,L8i12jL3X-k
2226,"Alleluia, Cristo è risorto",Paolo Auricchio,Alleluia è risorto,"21,31,32,5",7FcHTjMfhcY
2251,"Alleluia, Cristo e' risorto",Jean Luc Moens,,25,5mMChz-hIUU
2477,"Alleluia, Cristo nostra Pasqua",,,25,
1747,"Alleluia, da chi andremo","F. Buttazzo, G. Puccio",Esultiamo nel Signore,"25,5",tZhPODcWVhs
1882,"Alleluia, è risorto il Signor",Fabio Baggio,"Alleluia, è risorto","21,32,5",1Bbg0fYEcpg
2475,"Alleluia, ecco lo sposo",Ricci - Galliano,Un patto d'amore,"25,15",A2RkcfjVBYw
2348,"Alleluia, il tuo Vangelo",Avolio-Capacchione-La Rocca, Festa con Gesù,25,4dyeFrn2cU0
1746,"Alleluia, oggi è nato",Francesco Buttazzo,,"25,3",OiGxLIF-pPQ
2238,"Alleluia, rendete grazie",Gen Verde,Il Mistero Pasquale,"24,5",iMz4aIR7rAc
39,"Alleluia, Signore sei venuto",Luciano Scaglianti,,"25,3",1d80_1YlrtE
2033,Alleluja,Salvatore Basilotta,,25,8MsombMxjp0
1922,Alleluja (Terry),,,"25,5,10",
2446,Alleluja - Cristo è risorto dai morti,dalla liturgia Pasquale orientale,,"25,5",bjkNmeYsQ2s
2050,"Alleluja, lodate il Signore",Marco Frisina,,"21,25",mL0uSJR8My8
1914,"Alleluja, Tradizionale",Pasquale gregoriano,,"25,5",6sLNiJd95jY
2761,Alleuia malgascio,tradizionale del Madagascar,,"25,18",JFX_mWrdGJY
1934,Altissimo,Paolo Spoladore,,"31,9",cqw5UMWumjo
42,Alto e Glorioso Dio,Marco Frisina,,"21,31",lYUBqD3w3oA
2196,Alza i tuoi occhi al cielo,RnS,Sentieri di speranza,10,KTMbNIOFw3c
2252,"Alza le braccia, apri il tuo cuore",RnS - Daniele Branca,Parola d'Amore,31,tbKreLTdT4s
2492,Alzate il vostro sguardo,Pierangelo Comi,Oggi il regno,"24,4",qrIWIkO4CTk
44,Alzati e risplendi,A. Gocam,,"21,31,2,17",PgtfzpgiKMw
2151,Alzerò i miei occhi ,Marco Frisina,,"26,31",pMxW97hIleM
2366,Alzo gli occhi verso i monti,Kiko Arguello,,"32,4,10",uoWZGgCcTZY
46,Amar come Gesù amò (per avere la felicità),---,,31,_w4pBkQPgso
499,Amare oltre,Federico Russo,,"31,15",zRy5MFLE59g
47,Amare questa vita,G. Meregalli,,"21,20",tUE-GpZ4RmM
48,Amatevi fratelli,Domenico Machetta,"Grazie, Signore!",31,p4Rje5e8Vw4
2313,Amen,,,28,
49,Amen (Tutte le promesse),Piera Cori,,28,n0uJeM49Mzw
2493,Amen Jhavè,RnS,Guarda al di la,17,h3rpiGxGPaw
2494,"Amen, Alleluia",Rns,La mia voce sale a Dio,"25,28,18",rYWPGadZC90
1050,Amo,RnS - Stefano Fioravanti,Benedici il Signor,24,GJJQYXU1GZ0
2239,Amore abbandonato,Gen Verde,Il Mistero Pasquale,"31,4",HWq2ajrE2hY
2436,Anche tu sei mio fratello,Pino Tombolato - Angelo Di Mario,Nessuno è solo al mondo,"32,10,51",7QViotWGhM0
2639,Anche tu vedrai,Marcello Giombini,Salmi per il nostro tempo,21,ONgEcVogn-E
52,Andate per le strade,Angelo Roncari - Lorenzo Capello - Giovanni M. Rossi,,"32,16,17",PAMled5AWo4
1989,Andro' a vederla un di',Tradizionale Mariano,,"32,7",0juafPduuno
2083,Anima Christi,Marco Frisina,Pane di vita nuova,"31,4",BYzT9zOJHF0
1601,Anima di Cristo,Roland Patzleiner - Figli del Divino Amore,,"31,9",W01svaJuMc8
1890,Anima di Cristo,RnS,Voglio vedere il tuo volto,"26,31,9,10",KLqxm064syo
55,Annunceremo che Tu,Paolo Auricchio,,"32,16",ZfI4bBMKSRs
2657,Annunciamo la Tua morte,Marcello Giombini,Camminiamo nella speranza,28,zZnqfJVvZRU
1810,Annunciazione,Gen Verde,,"21,7,10,17",3Mf1TEKxkZE
2303,Annuncio Pasquale,Domenico Machetta,,5,
57,"Antica, eterna danza",Gen Verde,,26,kGXy6SBVEVg
2376,"Apocalisse 19,6",RnS - M. Emberti Gialloreti-C. Rossi,Sempre canterò,"25,5",zLJaWJWXVyo
58,Apostoli di gioia,Luca Pollastri,,"21,32,16",jHltPy0bfyE
1778,Apri i cieli,SDV worship,,"31,6,8",NfdUMMf8gwo
1567,Apri i miei occhi Signore,RnS,,"21,24",cWmBVEVPoZQ
2109,Apri le braccia al futuro,ignoto,,"32,10,53",7XeBcQu1tlM
59,Apri le tue braccia,Domenico Marchetta,,"21,32,4,11",9bpmiHETxYY
2022,Apri le tue braccia (v2),Domenico Machetta,,"21,4,13",OH5SwJjSVBQ
2135,Aprimi gli occhi del cuore,Jeunesse en Mission,,"21,10,14",41BvMRjjJmo
1947,Aprite le porte,Comunità Cenacolo,,10,q5YMlM3q0Hc
1946,Aprite le porte a Cristo,Marco Frisina,Sacerdote per sempre,21,tQO6XO9syFk
2496,Aprite o porte i frontali,--,,24,_5lv9KifLnE
2416,Arderanno sempre i nostri cuori,Paolo Auricchio,Alleluia è risorto,"31,5",kHB6N9sCQcI
2114,"Arrivederci a te, amico Gesù",Antonioli - Giorgi,,32,hPtHOhmfRdg
2085,Ascolta Israele,,,"2,3,4,5,17",
2267,Ascolta Israele,Piera Cori,Come passi di danza,"21,4",DWSykMIacqY
2617,Ascolta la nostra lode ,RnS - R.Morgan,Grazie,"21,32,10,14,16,52",Ux8cys8tH08
61,Ascolta la Preghiera,---,,"4,7",
2248,Ascolta oggi ,Silverio Fioravanti,,21,
64,Astro del ciel,Meli - F. Gruber - Picchi,,"21,26,31,3",
2331,Atto di amore,Marco Frisina,Sacerdote per sempre,"21,31,4",3yQLNZZ20kE
1656,Ave dolce Maria,"RnS - D.Branca, L.Ciancio",Parla al mio cuore,7,xCQr3qg9uDw
66,Ave donna Maria,Oratorio di Arese,Beata te che hai creduto,7,uSVKgm9atwc
67,Ave Maria,Pierangelo Sequeri,,7,TRqm7r46W0c
68,Ave Maria,Gen Verde,,7,q_v8rry02lg
2028,Ave Maria,Salvatore Basilotta,,"26,32,7",JI_MF2J5iSs
2116,Ave Maria,Gen Rosso,,7,tD_DIL0P9Hw
2249,Ave Maria,Marco Frisina,Non temere,7,BYXzdfcz404
2363,Ave Maria ,RnS - M.E. Gialloreti - C. Rossi,Sempre canterò,"32,7",fY5ONyvb2U4
2216,Ave Maria (offro a te il mio canto),,,"32,7",
69,Ave Maria (Verbum Panis),Mite Balduzzi,,7,23OWVb6XwZo
2481,Ave Maria di Fatima,Popolare,,7,JFZ5h7olFpA
2426,Ave Maria di Lourdes,Rivisitazione Compagnia Aquero,Messa dei giovani,"32,7,10",vjVEQCdkk18
2812,Ave Maria gratia plena,,,"32,7,20",xmaAckwvwEw
1844,Ave Maria splendore del mattino,Claudio Chieffo,,"32,7,10,12,13,15,16,20,51,52",QFRv_SuDxdg
2375,Ave Maria splendore e bellezza,Negrini-Frigerio,,"32,7",dIBWh6i-7aU
1847,Ave Maria stella del mattino,Clericetti/ Mascagni,,"32,2,7,10,11,12,13,15,16,20",PP_FgfkM1CM
1954,"Ave Maria, Dolce Mamma dell'umanità",Maria Napolitano  (Testo) e Tania Pierannunzi (musica e arrangiamento),,7,gkIYQ8-qgWc
2412,"Ave, piena di grazia",Francesco Buttazzo,Gloria all'Emmanuele AAVV,7,Zzc5KZ-8Iec
2117,Avrai cura di noi,Benedetti Anna,,5,5Iv8wTnl0FQ
2451,Ballata per Maria ,Roberto Bignoli,Una voce per la speranza,"7,10",bt7jWPZHKdA
2162,Be thou my vision,popolare irlandese,,"32,2,3,4,5,10,11,12,13,14,15,16,20,52",ihJAJA4ibEs
73,Beati quelli che ascoltano,Michele Bonfitto,Sei grande nell'amore,"21,31",CuFvTANFHr4
1745,Beati voi,Francesco Buttazzo,,"21,31,32,10,15,17,20",1b9KyDZyETU
2048,Beati voi,Giosy Cento,,"21,31",d3gRXkwijEo
76,Beatitudine (La preghiera di Gesù è la nostra),Gaetano Castiglia,,"31,17",c6uJoG9BbJ8
2193,Beatitudini,Marco Frisina,Benedici il Signore,"31,17",HtHIeBPXH8w
2497,Beato chi dimora in Te,Darlene Zschech - Reuben Morgan,,"21,24,14",MnBizieeEf4
2580,Beato il cuore che perdona (inno GMG 2016),Valerio Ciprì,,"31,16",JHfNDEqr_hY
78,Beato l’uomo,Antonio Porrino,,"24,31,32,2",YQsqPCheucg
2450,Bellezza sei Tu,Fra Giuseppe Di Fatta,Viva immagine di Te,"32,10,14,52,54",RnH-WWowomg
1835,Benchè sia notte,Marco Frisina,Salvatore del mondo,"2,4",QfsHPBD5Xns
2220,Benedetto (Davanti a Te o Dio),Benedetti / Anselmi,,26,GH56qRWPg9g
2119,Benedetto nei secoli,Matteo Zambuto,,26,fQZUOuYGE7Y
2166,Benedetto sei o Padre,Francesco Buttazzo,,"26,2,3",OsiDQN3Vys4
2350,Benedetto sei Signor ,Avolio-Capacchione-La Rocca,Festa con Gesù,26,9NNWFFMZyW0
1682,Benedetto sei Tu,Gen Verde,,26,IyXjms-qnHg
2472,Benedetto sei Tu che vieni,Semprini – Galliano,Natale del Signore,"2,3",r7M3bZtiFuc
1884,Benedetto sei Tu Signore ,Marco Frisina,,26,iqTFgvg7V_s
1748,Benedetto Signore (Cerco solo Te),RnS,,"21,32,9,10,14,15",MXUZaioC9ps
81,Benedetto Tu Signore,Daniele Ricci,,26,PhOGjXrc9G8
2175,Benedicat tibi Dominu,S.Francesco - Siro Merlo,,"10,52",OuuEwfAmd94
1548,Benedici,Paolo Spoladore,,31,uN0dLBwY5jI
82,Benedici il Signore,Marco Frisina,,"24,26,4,14",iepex6XBHo0
2259,Benedici il Signore anima mia,A. Napolitano,,31,YBM6FSXavKE
2461,Benedici il Signore anima mia,RnS - A. Napolitano,Grazie,"21,24,31,4,9,52",YBM6FSXavKE
83,Benedici o Signore,Gen Rosso,,26,dM2Wyjj4k3Y
2401,Benedictus ,RnS - S. Martinez,Shalom,"21,24,31,32,2,3",eQDSesAoy40
2217,Benedirò il Signore in ogni tempo,"Fabio Avolio, Biagio Capacchione e Pasquale La Rocca",,"21,32",C5JVYd2HeDs
2072,Benedite e acclamate,A. Casale,,"21,15",QH1LLGOkr6M
2409,Benedizione di San Francesco,S. Francesco D'Assisi - Fra G. Di Fatta,Viva immagine di Te,"32,10,54",ldI-UMJKxbI
2693,Benvenuto Dio bambino,"R. Faruggio, P. Pintucci",Benvenuto Dio bambino,"32,3",zmUOW9sQzoI
1708,Betlemme di Efrata,Pasquale Dargenio,,"31,2,3",yxxhELRAtOk
86,Bianco Natale,Tradizionale,,3,U1rW9oXQE5I
2041,Bisogna che Cristo cresca,Anonimo,,"21,32,10",n-p74q8Mhls
2499,Buon Gesù,Don Livio Tacchini,La tua Parola mi incanta,"31,9",Dc2zfuAM2DY
2207,Buono è il Signor,Comunità Dio Vivente,,"21,32,5,9,10,14,52",w_R5QWHGLGk
2441,C'eri tu ,Stefano Varnava,I negro spirituals in italiano,"4,9,12",0dMes0mREMM
1916,"Cammina insieme a noi, Maria",Francesco Buttazzo,Testimoni dell'incontro,"32,2,7",S6PueSoj3kc
2772,Cammineremo nella libertà,Giosy Cento,,"32,10,18",V4GYFPcHUU8
88,Camminerò,A. Marani,,"21,32,16",DWYlgjyqmX0
2009,Camminiamo incontro al Signore,Galliano - Semprini,,"21,2",-VSZAKeNjtE
1427,Camminiamo sulla strada,---,,21,P9rOs2n76Bk
2094,"Canoni - Adoramus Te, Domine",Taizè,,"31,9,10",R1UOt3kMkF4
2095,"Canoni - Confitemini, Domino (Ringrazia il Signore perché è buono)",Taizè,,"31,9,10",khXIGwIhpYE
2096,Canoni - Dona la pace,Taizè,,"31,9,10",MNRLFsTPWOM
2062,Canoni - Il Signore è la mia forza,Taizè,,"31,32,4,9,11,18",xyd9gSAKYXU
98,"Canoni - Jubilate Deo, omnis terra",Taize,,"25,18",
100,Canoni - Laudate omnes gentes,Taize,,"14,18",lbb-kaurSW0
101,Canoni - Magnificat,Taize,,18,nLM0GiihIbs
102,Canoni - Misericordias Domini,Taize,,"22,18",pva71b0fTMM
2053,Canoni - Nulla ti turbi,S. Teresa d'Avila - J. Berthier - Taizè,,"14,18",go1-BoDD7CI
2097,Canoni - Questa notte,Taizè,,"31,5,9,10,17",RbEr0lW60z8
1856,Canoni - Ubi Caritas,Taizé,,"26,30,18",eF8AW6JzWpE
2660,Canoni Vari,Autori Vari,,"9,11,14,18",
114,Canta Alleluia,Linda Stassen,,25,eOIptdCZNfw
1552,Canta con noi,---,,10,Lqjqa1l5D0E
1549,Canta con noi (v2),---,,10,Lqjqa1l5D0E
2500,Canta e cammina,Francesco Buttazzo,Vita nuova con Te,32,QYR3HU9mYl0
2827,Canta o lingua il glorioso mistero,Marco Frisina,Cristo è nostra Pasqua,"31,4,5,9",rzGXMeYQcL8
1607,Cantate al Signore,Matteo Fallorni,,"21,14",eP5Fm9nrLvU
2169,"Cantate al Signore, alleluia",Marco Frisina,,"32,14",aC4c4ENu8lg
1855,"Cantate al Signore, cantatelo nei secoli",Comunione e Liberazione,,"21,24,31,32,10,12,14,15,16,52",
1815,Cantate inni a Dio,RnS (A. Morrone - A. Altieri),,"21,32,14",5YpmSiv3BYg
1625,"Canterò ""I will Sing""",Don Moen,,"21,31,9",TPCeSkLBv1w
1893,Canterò le meraviglie del Signor,"Paolo Ciccarelli, Emilio Munda",,"31,5",esPHLbrdYvg
116,Canterò per Te,Pino Fanelli,,31,6OHXxm1Dr18
1661,"Cantiamo al Signore, grande nell’amore",RnS,Misericordia sei,"21,31,9",pXwEcrj2Grk
1551,Cantiamo con gioia,F.G.Pesare,,21,xtihi872yiw
2137,Cantiamo insieme al Signore,RnS,Fuoco d'Amore,"21,14",uYrHS8lAt6Q
2082,Cantiamo la tua immensa gloria,Davide Toffoletto,,"23,14,52",
117,Cantiamo Te,Gragnani,,"21,14,19",RN5HIkTbvzU
2190,Cantico dell'agnello,Marco Frisina,,"25,71,5",BKdNqlnLmjY
2431,Cantico della creazione,Roberto Mancioni,"Incanto Serafico, Volume 1","21,32,54",ZnLM3baAnbE
2203,Cantico delle creature,Marco Frisina,Tu sei bellezza,31,tRJBo4xxdwk
2221,Cantico delle creature,Branduardi,,"28,31,32",2vIzGZg7iss
2133,Cantico di Anna,RnS,,17,cJXQaL644FQ
120,Canto a Te Maria,Gen Verde,,7,LBmVA-ClneU
1987,Canto dei tre giovani,Rns,,"21,10,14",z2HssXS5A_0
2115,Canto di contrizione,Valmaggi,,"21,22,4,10,11,12",C46h4rDUu4g
2200,Canto di Madonna povertà,Marco Frisina,,"21,32,10",Q6832pWyl7c
2501,Canto di mamma Sifa,canto africano,,7,
2585,Canto di nozze,Daniele Ricci,E' l'amore che contaa,15,
2291,Canto Penitenziale,Marco Frisina,O Croce nostra speranza,"22,4",EeZfclHIhCk
1616,Canzone della speranza,Paolo Iotti,,"31,32",U9Gqz7BjuR8
1793,Canzone di Maria chiara (Se non ritornerete),Claudio Chieffo,,"31,10,17",0P_dF_y9kKI
2502,Canzone di San Damiano,R.Ortolani,,54,JDBNTnvaT9I
2004,Canzone di San Giuseppe,Guido Clericetti - Adriana Mascagni,,"31,32,3,7",PRadNjnGKWs
2655,Celebra il Re,Angelo Maugeri,Dieci,"21,32,10",pWUQBYPjzfA
1998,Celebra il Signore Terra tutta,Marco Frisina,Stillate cieli dall'alto,"21,31",bZPwEMiIFOs
1684,Celebriamo il Signore,Gary Oliver,,"32,5",H6OfECD7plA
2298,Celebriamo insieme,RNS,,"21,31,32,5,10,14,52",PW6KJpQPsEk
1670,Cerco il tuo volto Signore,RnS,,"9,14",EHFBMfpbMdo
125,Cerco la Tua voce,Gen Rosso,,"31,2",PflpSm4aDck
2244,Che cosa mi manca,"Elena Storchi, Renato Giorgi e Valerio Antonioli",,10,
2503,Che magnifico nome,Hillsong,,"5,9",NVtDXb_C1Hc
1749,Che siano una sola cosa,R. Grotti,,"31,4,15",P0sVkGfGBg4
126,Chi ci separerà,Marco Frisina,,"21,31,17",kG0CbU5rvrs
2864,Chi è costei che sorge come aurora,,,7,xa9vWSyvEL0
2327,Chi ha fame,Kiko,,"21,4",A32O3Rl_-pA
1757,Chi ha sete,Charles Christmas,,"21,32,8,14",3nan-Ia009M
2788,Chi mi seguirà,Antonio Parisi,Domeniche di quaresima A,"21,31,4",uF4SASFyvCQ
2665,Chi perde la sua vita per me,Sr. Hermana Glenda,,"31,12",k77hcuLAouU
1473,Chi?,Gen Rosso,In concerto per la pace,21,QJxpvCVibWQ
1898,Chiamati per nome,Gen Verde,,"21,5,20",EUG6KnGxpcc
2229,Chiamati per nome v2,Gen Verde,,"21,5,20",EUG6KnGxpcc
2504,Chiara è la tua sorgente,Pierangelo Sequeri,Mentre è ancora giorno,"7,14",woiIAIiLgR0
2286,Chiesa del Risorto,Marco Frisina,O luce radiosa,31,5D90KReCemU
2015,Chiesa di Dio,Costa - Villeneuve,,"21,4,10,14,20",gE2gfXPhpkU
2875,Christ is my hope,Marco Frisina,,32,nOXa4-yBBXw
1968,Christus vincit,Aloys Kunk,,"9,14,52",7arQTsM26qk
2351,Ci accogli alla tua mensa,Avolio-Capacchione-La Rocca,Festa con Gesù,31,M6qeiC3etUE
1629,Ci inviti alla tua festa,Francesco Buttazzo,Alla tua festa,"21,31",S7HOOFAXTHI
1932,Ci nutri alla Tua mensa,"F. Buttazzo, P. Dargenio",Esulta il cielo,"26,31,9",RPQ8ORkm9bo
129,Cieli e terra nuova,Mario Piatti,,"32,2,13",efDuuaWXpSE
1818,Ciò che Dio ha fatto in me,Morning Star,,"8,15,52",HPCZGn_f9JI
130,Col Tuo amor,RnS,Dio della mia lode,"32,9,11",MFDDZdmpDq8
2189,Com'è bello (dar lode al Signor),RnS,Davanti al Re,21,KOB5-UWA-pk
2620,Com'è bello (dar lode al Signor),RnS - T.Howard B.Batstone,Davanti al Re,"21,32,14,52",7K7w-VjPJPI
2588,Come acqua,Comunità Gesù Risorto,,"31,4",mUOntKgiUuQ
1976,Come brezza ,Daniele Ricci,,"21,31,6,10,20",tUGrDXYlbVg
2339,Come Davide,RnS,,"21,24,32,4,9,14",y0Lcs6P787Q
1750,"Come è bello, come da gioia. Sal 132(133)",Kiko Arguello,,"21,24,10,16",RGgdzMQZCwg
133,Come è grande,Roberto Grotti,,"31,4,11,14",GWIcRqwR0Sk
1871,Come fuoco per il mondo,Suore di maria bambina,,"9,52",mUNq2a42DB4
134,Come fuoco vivo,Gen Rosso - Gen Verde,,"31,32,5",sdqAt9k2-oY
1562,Come il cervo va all'acqua viva,"Bob Hurd, Marco Deflorian",,31,-VdUBfZfWFY
1559,Come il cervo va all'acqua viva (semplificata),"Bob Hurd, Marco Deflorian",,31,-VdUBfZfWFY
2442,Come il fiume,Domenico Machetta,"CANTI PER LA PREGHIERA DEI GIOVANI - Sei con noi, uno di noi",26,oPqySizQeYw
2795,Come il Pellicano,Gen Verde,,10,2fab8odvGsE
1614,Come incenso,Antonio Parisi,,26,0LjmWkgqDGM
2279,Come la cerva,,,"24,5",
2484,Come la cerva - Salmo 41,Diego Montaiuti,,5,smoSK40Iels
135,Come l’aurora verrai,Gen Verde,,"21,31,2",eFKH1aggk6I
136,Come Maria,Gen Rosso,Dove tu sei,"26,32,7",ncjXxoq-frE
1619,Come ti ama Dio,---,,"31,32",6CkaRqfl4js
137,Come Tu mi vuoi,RnS - D.Branca,Io scelgo Te,31,rs-cOyy-5MQ
2589,Come un faro nel buio,"F.Venturini. G.Bedocchi, A.Mazzanti",,14,A--7TeXOkSo
138,Come un fiume,P. Paci – D. Preti,,"21,8",ZntyUAaXQxs
2460,Come un fiume,Gen verde,Il mistero pasquale,"26,4",9TfeVD-sTiA
1736,Come un fiume d'acqua viva,RnS,,"21,6",
1613,Come un prodigio,Debora Vezzani,,31,KOSXHmMwJQI
1654,Come unico Pane,Rossi,,26,v8AtqY1KH7E
2035,Compromettersi per Cristo,Giosy Cento,,"31,11,12,16,17,20",l67BAV0gJBo
2199,Con Francesco profeti tra la gente,Fra Giuseppe DI FATTA,,"21,32,10,16,20",DbXHi0wAs-E
2113,Con gioia veniamo a Te,"RnS - P.Ferrante, F.G.Pesare",Io scelgo Te,"21,31,8,10,12,15,20,52",u_kqLm53IKk
141,Con il mio canto,Pierangelo Sequeri ,E mi sorprende,32,2Y8Di7zVS8w
2240,Con l'offerta di Gesù,F. Buttazzo; P. Dargenio,Esulta il cielo,"26,5",7c3fFWR1PjA
2300,Con Te Camminerò,Gen Verde,,"9,20",HrICedZnaSk
142,Con Te faremo cose grandi,G. Meregalli,,"21,31",
2040,Con tutto il cuor,Servi di Cristo vivo,,"28,31,9,12",
2485,Con un cuore solo,"RnS - Ferrante, Salvemini",Sentieri di speranza,31,40tFwBuV8rM
1902,Confidiamo in te,Figli del Divino Amore,,"21,31,6,20,52",
1833,Consolate il mio popolo,Marco Frisina,Salvatore del mondo,"2,4",tJCJ2T24qjk
1685,Corpo di Gesù,M. Penhard,,31,LKp7C_R0SEg
1667,Cosa Offrirti,RnS,,26,mdvOucpzet0
2233,Cosa renderti,,,10,
1999,Cose stupende ,Marco Frisina,,"21,7",JdaSR7DaEd8
2507,Così come sei,Adi Media,Adorazione 5,"31,9,11",aTsLHkeyzNE
2064,Crea in me o Dio un cuore puro,Spoladore,,"31,4,9,11",XE82L-FSMbc
1662,Creati per te,RnS (F G.Pesare),Cantiamo con gioia,"21,32",Kb62_O1fcn4
1461,Credo,Mite Balduzzi,,2,ND-L8vG9LsM
144,Credo in Te,Marco Frisina ,Non temere,"24,31",LhsITZZqOOo
2081,Cristo è risorto è vivo!  È con noi!,A. Roncari – L. Capello,,"31,32,5",od7T90zC794
145,Cristo è risorto veramente,RnS,Venti dello Spirito,"31,32,5",hQ8Y11c3LCs
2505,Cristo muove le montagne,Hillsong,,32,kOL8zUl5OZw
2666,Cristo nostra pace,Marco Frisina,Cristo nostra salvezza,"21,10",tAUlxyi4sSA
2478,Cristo Re,RnS - Nicola Montuosi,Mi affido a te,31,_BUs4qF81Vg
146,Cristo risusciti,Stefani,,"21,5",nsgcYokdH78
1986,Cristo speranza delle genti,RnS,,"21,31",Lc-nMRdJR5Y
2621,Cristo vive in me,RnS - Canto popolare america latina,,"31,18",ZKDa7COIw68
2037,Cuore a cuore,Canti evangelici,,15,EiB_40OG41s
1779,Cuore puro,SDV worship,,31,KJ1OGOLfFy8
2295,Custode del Signore,Marco Frisina,,"21,32,10",YAEv6Cxj_JI
2296,Custode del Signore (v2),Marco Frisina,,"21,32,10",YAEv6Cxj_JI
