id_canti,titolo,autore,raccolta,momento,link_youtube
2345,Signore pietà  ,Avolio-Capacchione-La Rocca,Festa con Gesù,"22,10,11",Qtg-r9zQ4zE
1772,Signore vero corpo,Marco Frisina,,22,W0Zh4fvBj6Q
1797,"Signore, fa di me uno strumento",M. Gonzo,,"26,30",ZcE3A3qbMnU
2383,"Signore, sei Tu il mio Pastor",R. Jef - D. Stefani,,"24,31,2,3,4,5",tHsxzhub6po
1574,"Signore, tu sei nostro amico",Francesco Buttazzo,,11,AuvCTxdss_0
2635,Sii esaltato ,RnS - T.Paris,Venti dello Spirito,"21,32,14",Vz01MqhPbyM
432,Silenzioso Dio,Giosy Cento,,31,knzZ9EYvoPs
2598,Simeone,Daniele Esposito,,"31,32,10,13",rH07fVSFjq8
1953,So che sei qui,Gen Verde,Messa della concordia,"31,9,13",tZEovlG6uAg
2636,So che tu sei il mio Signor,"Rns - D.Zschech, R.Fragar",,"21,32,14",PHEjrnogw3c
2204,Sollevate porte i vostri frontali,Marco Frisina,Stillate cieli dall'alto,"21,5",EXxRBpQ3RbA
1905,Solo in Dio riposa l'anima mia,Frammenti di luce,,"21,31",
1703,Solo per grazia,Gerrit Gustafson,,"31,9",mpma2WfQ9KM
2407,Solo tu il mio Dio ,RnS - John B. Foley S. J,Sempre canterò,"21,32,10",WBCJ1c6cYCI
2029,Sommo e glorioso Dio,Francesco Cioffi,,"26,31",KIQZP4jTZYs
1477,Sono il Pane di Vita,S. Toolan,,31,UwA__oGQ1e0
1701,Sono il Signor che ti guarisce,Don Moen,,"31,9",-k3uz0mmmkE
2043,Sono nato di nuovo,Servi di Cristo vivo,,"32,6,8,10,14,52",
434,Sono qui a lodarti (luce del mondo),RnS - Tim Hughes,,"21,5,9,10,14",s6F0EgxUCok
436,Sotto il Tuo manto,Marco Frisina,Tu sarai profeta,"21,32,7",IotM7NmYdGA
2182,Sotto la Tua croce,Gianlivio Bersigotti,,"31,9",2XWFqM8CbzU
2219,Spalancate le porte a Cristo,,,21,FRflOghAJ4Y
1710,Spezziamo il pane ,Chris Rolinson,,31,wsa2qtnfRfk
2379,Spirito d'Amore  ,RnS - Elen Yarrow Mezzetti,Spirito Santo Vieni!,"32,6",JwY3Yq0WuY8
1711,Spirito del Dio vivente,Jacques Godard,,6,QfhKk-joa8k
441,Spirito di Dio (Consacrami),Tiziana Rangani - Gianni Soldano,,6,IvkovN4Hkqo
2365,"Spirito di Dio, scendi su di noi",RnS - D. Iverson,Sempre canterò,"32,6,9,10",ZucFYqkbUcY
1696,Spirito di santità,A. Gouzes,,6,wEwwBW9Jk_4
1799,Spirito Santo,Morning Star Music,,"6,8,10",m-w4Xwad_kk
1992,Spirito Santo (Espiritus Santo),Athena,Me basta Tu gracia,"9,10",jtt7zyFeNls
1660,Spirito Santo (Fiume di Pace),,,"6,9",4GCLs9VqNEk
2470,Spirito Santo cuore dell'umanità,RnS - F. Marranzino,L'Amore del Padre,"6,9",9pS3kpqkNvg
1605,Spirito Santo soffio di vita,Roland Patzleiner - Figli del Divino Amore,,6,CV2DEoKvTzY
2098,"Spirito Santo, dolce presenza",RnS,,"31,6,9,16,19",Bb2WHAiP5SM
1666,Sposa amata,Corale di Palmi,,7,EPTUzg9R4Z4
2061,Stabat Mater,Marco Frisina,,"22,31,4,5,7",NSN3U6_-Ipw
1569,Stai con me,RnS,,9,o9ytftb0p4w
1647,Stasera sono a mani vuote,Luisa Pecchi,,"26,4",brFD8U0FpG0
1615,Stella del mare,Comunità Gesù risorto,,7,a1a3MVoW8sY
2640,Stirpe eletta ,RnS - A.Carter,,9,4MQ0zwKGoCA
2572,Stringimi,Geoff Bullock,,"31,9",0juIsd4yxW0
443,Su ali d’aquila,Michael Jancas,,"31,32",M24IfMH1PhU
444,Sulla Tua parola (Pietro vai),P. Paci - G. Santambrogio - Stefano Varnavà,,"31,16,17,20",jXE0ta1g1b0
445,Svegliati o Sion,Comunità Shalom,,32,xplsBssBiyQ
1675,Symbolum ‘77,Pierangelo Sequeri,In cerca d'autore,"31,14,19",r-hf2dOBfDE
446,Symbolum ‘77 (v2),Pierangelo Sequeri,In cerca d'autore,"31,14,19",r-hf2dOBfDE
447,Symbolum ‘80 (Ma la tua Parola),Pierangelo Sequeri,Ma la tua Parola,"31,2,17,19",pSMZAXrvT4A
2610,T'amo Gesù,RnS - D.Visconti - A.Visconti,Luce,25,9bHWgyzlxzs
2359,T'invochiamo Spirito,RnS - A. Di Russo,Venti dello spirito,"21,6",iVKSgOEbrFU
449,Tacita notte,---,,3,
1651,Talità Kum,RnS,Misericordia sei,21,m-54f4aPx1Q
1699,Tantum Ergo,Gregoriano,,9,Swns4Kjzc9E
2247,Te Deum,RnS,,24,Ghh9yhJZasI
450,Te lodiamo Trinità,G. Stefani,,"31,19",pS9m2X9So5I
451,"Te, al centro del mio cuore",Gen Verde,E' bello lodarti,31,QEOyKmMbb_0
2447,Tempo di ricominciare,Gen Verde,Tempo di ricominciare,31,uKal1PpNSJs
452,Testimoni dell’amore,Francesco Buttazzo,,"5,16",uGwq9KukGGk
2797,The blessing,Kari Jobe,,"32,10,14,15",_51tRxWllME
1697,Ti amo Signor,Laurie Klein,,"9,52",ipf3GPiyYaA
1663,Ti dono il mio cuore Gesù,Figli del divino amore,,"26,9",c9axeY5W97s
453,Ti esalto Dio mio Re,RnS,,"21,24,32,14",k-FQwfnrxl0
1652,"Ti Loderò, Ti Adorerò, Ti Canterò","RnS - D.Basta, R.Baldi",Luce,14,7xpGAaTVmrA
1878,Ti lodino i popoli Dio,Francesco Buttazzo,,"21,32,5",3YdieOWn0u8
457,Ti offriamo,Gen Verde,Gratitudine,26,cvP_AxA8eDE
2012,Ti offriamo Signore,Spoladore,,"26,2,9,10,12,14,15,52",V2_6hSgxFRg
2358,Ti offro Signor,Giuseppe Carrisi,Il 7° giorno,"26,52",bd8IuPNUM_g
2574,Ti parlerò di me,Reale,Come nessun altro,"31,11,12",Y0seKXi7a0Q
1676,Ti rendiamo grazie,RnS,,31,7rAxVf_izmM
459,Ti ringraziamo,Gen Verde,Gratitudine,"26,32",6OKVjp-6GUY
1800,Ti ringrazio mio Signore,Pierangelo Sequeri,Qui dove Tu ci chiami,"31,32,52",6YsclSgpECA
1713,"Ti ringrazio, o mio Signore",C. Gabarain,,"32,52",v5ewwgxAuA4
2357,"Ti ringrazio, o Signor",Lucio Maria Zappaore,Il Signore è vita,"32,52",trTz934uHVg
1712,"Ti salutiamo, o Vergine",Canto tradizionale ,,"21,32,7",CHgvW9JwN-E
1861,Ti saluto San Giuseppe,Parole di S.Giovanni Eudes - musica Comunità Shalom,,"32,10",
1714,"Ti saluto, o Croce santa",Gazzera - Damilano ,,"21,32,4",3SaRcDRegyo
462,Ti seguirò,Marco Frisina,,"31,20",Y_xgpeKRs3k
1727,Ti sei fatto pane,Daniele Ricci ,Gesù è il suo nome,"31,3",VktGKm3AF88
1913,Tornerà il Signor,J. Brunderschaft,,31,7lO3c_jKgR4
1967,"Tota pulchra es, Maria",Gregoriano,,7,d391vKzANfM
