id_canti,similarity,mean_similarity,deviation,titolo,autore,raccolta,momento,link_youtube,score_similarity,score_deviation,score
1478,18.55,16.62,1.9299999999999997,Servire è regnare,Gen  Verde,,"26,4",U_xd0EgZKUg,0.4546212328767124,2.0,2.4546212328767125
2355,21.18,19.52,1.6600000000000001,Gustate e vedete,Ciravegna Dell'Orso,E' bello dal lode a Dio,"21,24,20",_fZhyRhYceA,0.5190769656241924,1.7202072538860107,2.239284219510203
1849,11.78,10.07,1.709999999999999,Lasciati fare,Claudio Chieffo,,"21,31,10,12,15",aa4m0AAJyx4,0.28870286378909277,1.7720207253886004,2.060723589177693
2167,10.16,8.54,1.620000000000001,Vieni Signore Vieni (Maranatha),Galliano Semprini,Il signore è vicino,"21,2",_TX0DWif4aw,0.2490000930472991,1.6787564766839391,1.9277565697312382
1626,10.08,8.57,1.5099999999999998,O Amore Ineffabile,Marco Frisina,,31,T03wmoGQJHs,0.24703946239338334,1.5647668393782384,1.8118063017716217
2085,8.57,7.37,1.2000000000000002,Ascolta Israele,,,"2,3,4,5,17",,0.2100325588007237,1.2435233160621766,1.4535558748629003
2455,18.37,17.42,0.9499999999999993,Pane della vita,Giuseppe Tranchida,Con voci di gioia,"26,10",wHwd8M2E_AQ,0.45020981390540193,0.9844559585492222,1.4346657724546241
1840,1.79,0.73,1.06,Salvator Mundi,Marco Frisina,Salvatore del mondo,4,_FORNvFCJRY,0.04386911088136469,1.0984455958549224,1.142314706736287
2084,13.56,12.88,0.6799999999999997,Signore Pietà,Daniele Ricci,E' l'incontro della vita,"22,4,5",JKSUOlt1_CA,0.33232689583871805,0.704663212435233,1.036990108273951
2639,16.11,15.54,0.5700000000000003,Anche tu vedrai,Marcello Giombini,Salmi per il nostro tempo,21,ONgEcVogn-E,0.39482199793228223,0.5906735751295341,0.9854955730618163
1710,15.11,14.54,0.5700000000000003,Spezziamo il pane ,Chris Rolinson,,31,wsa2qtnfRfk,0.3703141147583355,0.5906735751295341,0.9609876898878695
2096,10.4,9.78,0.620000000000001,Canoni - Dona la pace,Taizè,,"31,9,10",MNRLFsTPWOM,0.25488198500904635,0.6424870466321255,0.8973690316411719
364,5.26,4.76,0.5,Preghiera dei poveri di Yahvè,Kiko Arguello,,"2,4",u0J7lNU5oII,0.12891146549495994,0.5181347150259068,0.6470461805208667
323,8.48,8.11,0.370000000000001,Noi crediamo in Te,"Valentino Meloni Dal Canto Africano ""Kumbaya""",,"21,32,14",,0.2078268493150685,0.38341968911917207,0.5912465384342406
2529,24.57,25.57,-1.0,Sei Tu Signore il pane,George Kirbye,,"31,52",3scIuiikzuk,0.602158689583872,-0.12594458438287154,0.47621410520100044
2640,5.97,5.67,0.2999999999999998,Stirpe eletta ,RnS - A.Carter,,9,4MQ0zwKGoCA,0.14631206254846213,0.3108808290155439,0.45719289156400605
