id_canti,similarity,mean_similarity,deviation,titolo,autore,raccolta,momento,link_youtube,score_similarity,score_deviation,score
1664,27.84,17.4,10.440000000000001,Vero cibo è il tuo corpo,RnS,Mi arrendo al tuo amore,31,MT5d5ErYJ10,0.6292496395375198,2.0,2.6292496395375196
2355,24.38,19.52,4.859999999999999,Gustate e vedete,Ciravegna Dell'Orso,E' bello dal lode a Dio,"21,24,20",_fZhyRhYceA,0.55104548175017,0.9310344827586204,1.4820799645087903
2745,25.9,21.72,4.18,Sei venuto dal cielo,Daniele Ricci,Sei venuto dal cielo,"26,31,3",x1q5ouXaQrU,0.5854010655180231,0.8007662835249041,1.3861673490429272
2152,27.05,24.03,3.0199999999999996,Gustate e vedete,Marco Frisina,Pane di vita nuova,"26,31",JN9WTx9H75w,0.6113937769213331,0.5785440613026819,1.189937838224015
1709,44.11,43.74,0.36999999999999744,Signore da chi andremo,Alejandro Mejia,,"31,52",J5tytDPEmCc,0.9969899999999999,0.07088122605363935,1.0678712260536394
1477,31.77,30.52,1.25,Sono il Pane di Vita,S. Toolan,,31,UwA__oGQ1e0,0.7180769054636138,0.23946360153256702,0.9575405069961809
2327,29.86,29.94,-0.08000000000000185,Chi ha fame,Kiko,,"21,4",A32O3Rl_-pA,0.6749064021763773,-0.009512485136742193,0.6653939170396351
2354,31.91,32.83,-0.9199999999999982,Io sono il pane della vita,Lucio Maria Zappatore,Il Signore è vita,"31,2,3,4,5",jtFyO8nGGN8,0.721241235547495,-0.10939357907253247,0.6118476564749625
2513,15.02,13.64,1.379999999999999,Dove troveremo tutto il pane,Stefano pianori,,26,dztwb6q08ho,0.33948741328496945,0.2643678160919538,0.6038552293769233
2351,21.14,20.63,0.5100000000000016,Ci accogli alla tua mensa,Avolio-Capacchione-La Rocca,Festa con Gesù,31,M6qeiC3etUE,0.47781384266606214,0.09770114942528764,0.5755149920913498
2251,25.77,26.7,-0.9299999999999997,"Alleluia, Cristo e' risorto",Jean Luc Moens,,25,5mMChz-hIUU,0.5824627590115621,-0.11058263971462541,0.4718801192969367
2529,24.65,25.57,-0.9200000000000017,Sei Tu Signore il pane,George Kirbye,,"31,52",3scIuiikzuk,0.5571481183405124,-0.1093935790725329,0.4477545392679795
2415,11.62,10.77,0.8499999999999996,Quando lo spirito ,RnS Margaret Evans,Spirito Santo Vieni!,"21,32,9",h6boHiv50V0,0.2626393969621401,0.1628352490421455,0.42547464600428564
2417,11.52,10.67,0.8499999999999996,A te nostro Padre,A. Vitalini-Lavagna,,26,OBLCWXOyOGY,0.26037916118793925,0.1628352490421455,0.42321441023008477
2456,14.86,14.44,0.41999999999999993,Salga da questo altare,S. Albisetti - L. Picchi,"Rivista ""Psallite! Musica e Liturgia""",26,T3P1RM65yCI,0.335871036046248,0.0804597701149425,0.4163308061611905
2036,12.04,11.37,0.6699999999999999,Danza della carità,anonimo,,"21,31,17",TMErDsYezOQ,0.27213238721378374,0.1283524904214559,0.40048487763523966
2767,17.93,18.06,-0.129999999999999,Dite alla gente,G.Meregalli,Mi hai tenuto per mano,"21,31,32,3,10,14",VFeCqLeqUbM,0.4052602743142145,-0.015457788347205589,0.38980248596700895
1453,24.72,26.74,-2.0199999999999996,Nella Tua presenza,Daniele Ricci,,"28,31",WextjtnVp8c,0.558730283382453,-0.24019024970273478,0.3185400336797182
2215,12.34,12.27,0.07000000000000028,Ogni volta che mangiamo di questo pane,Marco Frisina,Pane di vita nuova,28,TUCc7PkxyhE,0.2789130945363863,0.013409961685823807,0.2923230562222101
198,16.84,17.95,-1.1099999999999994,Fragile pane,Giosy Cento,,"24,31",YaKwyjLKzE4,0.3806237043754251,-0.13198573127229482,0.24863797310313027
319,13.02,13.73,-0.7100000000000009,Nelle mani della Creazione,Giosy Cento,,26,1PQi7UZNjgo,0.2942826978009522,-0.08442330558858512,0.20985939221236705
2217,22.36,25.0,-2.6400000000000006,Benedirò il Signore in ogni tempo,"Fabio Avolio, Biagio Capacchione e Pasquale La Rocca",,"21,32",C5JVYd2HeDs,0.5053887191113127,-0.3139120095124852,0.19147670959882745
1579,12.7,13.58,-0.8800000000000008,Signore cerchi i figli tuoi,Eugenio Costa - G. Del Treppo,,11,hI6cHpaqHWs,0.2870499433235094,-0.10463733650416181,0.18241260681934762
2571,8.42,8.53,-0.10999999999999943,Se il diavolo è arrabbiato,Popolare America Latina,,16,Ec-_Kg5kBeU,0.19031185218771254,-0.013079667063020146,0.1772321851246924
2610,10.41,11.0,-0.5899999999999999,T'amo Gesù,RnS - D.Visconti - A.Visconti,Luce,25,9bHWgyzlxzs,0.23529054409430972,-0.07015457788347204,0.16513596621083768
2207,14.75,16.32,-1.5700000000000003,Buono è il Signor,Comunità Dio Vivente,,"21,32,5,9,10,14,52",w_R5QWHGLGk,0.33338477669462707,-0.18668252080856126,0.1467022558860658
1767,17.52,19.76,-2.240000000000002,Io scelgo Te,RnS,Venti dello Spirito,"10,15,20",akhS_jrYtdA,0.39599330763999097,-0.2663495838287755,0.12964372381121547
1604,13.49,15.07,-1.58,Pane che non sei più pane,D. Deo  M.Chiudina,,31,ghYjq0mIhD8,0.3049058059396962,-0.187871581450654,0.11703422448904219
