Titolo,Adeguatezza,%,Autore,Raccolta
[Tu sarai profeta](https://www.librettocanti.it/canto/tu-sarai-profeta-464),:material-dots-horizontal: Mh,56,Marco Frisina,Tu sarai profeta
[Benedictus ](https://www.librettocanti.it/canto/benedictus-2401),:material-dots-horizontal: Mh,56,RnS - S. Martinez,Shalom
[Dall’aurora al tramonto](https://www.librettocanti.it/canto/dall-aurora-al-tramonto-150),:material-dots-horizontal: Mh,54,Mite Balduzzi,Verbum Panis
[Tu sarai profeta (2)](https://www.librettocanti.it/canto/tu-sarai-profeta-2-1955),:material-dots-horizontal: Mh,54,Marco Frisina,Tu sarai profeta
[Sei il mio rifugio](https://www.librettocanti.it/canto/sei-il-mio-rifugio-2031),:material-dots-horizontal: Mh,52,RnS,
