Titolo,Adeguatezza,%,Autore,Raccolta
[Noi canteremo gloria a Te](https://www.librettocanti.it/canto/noi-canteremo-gloria-a-te-321),:material-dots-horizontal: Mh,64,Gino Stefani - D. Stefani,
[Gioisci Figlia di Sion](https://www.librettocanti.it/canto/gioisci-figlia-di-sion-205),:material-dots-horizontal: Mh,63,Gen Verde,Sulla via della speranza
[In trasparenza](https://www.librettocanti.it/canto/in-trasparenza-2473),:material-dots-horizontal: Mh,56,Gen Arcobaleno,
[Musica di festa](https://www.librettocanti.it/canto/musica-di-festa-1565),:material-dots-horizontal: Mh,56,Ernest Sands - Paolo Iotti,
[Lui ci ha dato i cieli](https://www.librettocanti.it/canto/lui-ci-ha-dato-i-cieli-2544),:material-dots-horizontal: Mh,55,Claudio Chieffo,
[Dalla tristezza alla danza](https://www.librettocanti.it/canto/dalla-tristezza-alla-danza-2622),:material-dots-horizontal: Mh,55,RnS - T.Walker,Risplendi Gerusalemme
[Luce di Dio](https://www.librettocanti.it/canto/luce-di-dio-2173),:material-dots-horizontal: Mh,53,A. M. Galliano; R. Farruggio,
[Signore del cielo](https://www.librettocanti.it/canto/signore-del-cielo-3034),:material-dots-horizontal: Mh,53,Daniele Ricci,Maranatha vieni Signore
[Vita che risorge](https://www.librettocanti.it/canto/vita-che-risorge-3084),:material-dots-horizontal: Mh,52,Francesco Buttazzo,Sono Risorto e sono con te
[E' un giorno di festa](https://www.librettocanti.it/canto/e-un-giorno-di-festa-2143),:material-dots-horizontal: Mh,52,Francesco Cioffi,
