id_canti,mean_similarity,max_similarity
1895,0.24,0.4
2152,0.24,0.49
1851,0.24,0.39
2168,0.24,0.44
2786,0.24,0.37
1564,0.24,0.36
2530,0.24,0.36
2760,0.24,0.37
2204,0.24,0.49
2183,0.24,0.38
193,0.24,0.38
2360,0.24,0.53
2093,0.24,0.4
2592,0.24,0.4
2193,0.24,0.83
1752,0.24,0.37
234,0.24,0.42
134,0.24,0.38
2891,0.24,0.44
2485,0.24,0.4
1634,0.24,0.4
2222,0.24,0.39
224,0.24,0.35
2239,0.24,0.36
1762,0.24,0.41
1355,0.24,0.37
2825,0.24,0.41
2595,0.24,0.38
254,0.24,0.4
504,0.24,0.42
120,0.24,0.39
116,0.24,0.36
2218,0.24,0.44
199,0.24,0.38
206,0.24,0.41
1396,0.24,0.76
1640,0.24,0.38
2534,0.24,0.47
2254,0.24,0.4
1751,0.24,0.44
138,0.24,0.37
1620,0.24,0.43
2344,0.24,0.42
1888,0.23,0.48
2027,0.23,0.35
167,0.23,0.36
201,0.23,0.38
1557,0.23,0.41
2132,0.23,0.33
2026,0.23,0.4
2023,0.23,0.67
2458,0.23,0.34
2487,0.23,0.42
497,0.23,0.53
1555,0.23,0.35
2777,0.23,0.37
2076,0.23,0.38
210,0.23,0.4
2112,0.23,0.41
301,0.23,0.35
2293,0.23,0.39
1947,0.23,0.36
2797,0.23,0.41
1955,0.23,0.35
335,0.23,0.34
1956,0.23,0.44
2504,0.23,0.35
2923,0.23,0.37
1657,0.23,0.33
1929,0.23,0.48
2461,0.23,0.45
1927,0.23,0.36
506,0.23,0.53
2287,0.23,0.51
1924,0.23,0.36
2099,0.23,0.32
2286,0.23,0.35
233,0.23,0.51
2284,0.23,0.72
2856,0.23,0.35
27,0.23,0.36
2664,0.23,0.42
2196,0.23,0.33
2240,0.23,0.33
150,0.23,0.38
217,0.23,0.42
152,0.23,0.34
2166,0.23,0.4
1844,0.23,0.37
1730,0.23,0.55
2165,0.23,0.42
1696,0.23,0.43
2231,0.23,0.37
177,0.23,0.33
2259,0.23,0.45
1788,0.23,0.39
1548,0.23,0.38
1801,0.23,0.45
2613,0.23,0.36
227,0.23,0.59
2622,0.23,0.39
1822,0.23,0.37
2143,0.23,0.37
1708,0.23,0.41
1716,0.23,0.32
2377,0.23,0.36
2400,0.23,0.41
415,0.23,0.34
1869,0.23,0.34
2371,0.22,0.38
2199,0.22,0.35
2646,0.22,0.31
294,0.22,0.44
1813,0.22,0.35
1726,0.22,0.39
2618,0.22,0.5
68,0.22,0.41
2401,0.22,0.42
1793,0.22,0.36
2770,0.22,0.35
2219,0.22,0.38
88,0.22,0.35
1607,0.22,0.5
2317,0.22,0.44
2241,0.22,0.47
2663,0.22,0.32
2660,0.22,0.36
1610,0.22,0.35
1619,0.22,0.4
1757,0.22,0.38
1749,0.22,0.54
2572,0.22,0.36
2585,0.22,0.32
2864,0.22,0.32
2541,0.22,0.52
492,0.22,0.32
2857,0.22,0.36
2229,0.22,0.4
2332,0.22,0.42
125,0.22,0.33
1816,0.22,0.42
1779,0.22,0.4
2052,0.22,0.34
