id_canti,mean_similarity,max_similarity
1969,0.09,0.42
2279,0.09,0.31
1694,0.09,0.25
1722,0.09,0.21
1736,0.08,0.21
1707,0.08,0.31
114,0.08,0.19
408,0.08,0.27
1784,0.08,0.14
478,0.08,0.23
404,0.08,0.14
98,0.08,0.18
2202,0.08,0.17
2268,0.08,0.16
2085,0.08,0.38
1989,0.08,0.15
2802,0.08,0.21
323,0.08,0.23
2812,0.08,0.16
2369,0.08,0.2
2345,0.08,0.21
2486,0.08,0.14
2161,0.08,0.15
2565,0.08,0.17
194,0.08,0.14
1941,0.08,0.14
2359,0.07,0.24
2328,0.07,0.14
2034,0.07,0.14
1758,0.07,0.12
2761,0.07,0.16
1689,0.07,0.13
2135,0.07,0.16
2434,0.07,0.2
462,0.07,0.26
69,0.07,0.27
1671,0.07,0.2
2206,0.07,0.41
2097,0.07,0.21
1651,0.07,0.19
2298,0.07,0.18
317,0.07,0.23
49,0.07,0.13
392,0.07,0.16
1002,0.07,0.16
2653,0.07,0.14
2443,0.07,0.32
2640,0.06,0.27
2304,0.06,0.1
1606,0.06,0.1
1567,0.06,0.18
255,0.06,0.14
1789,0.06,0.17
1772,0.06,0.11
1990,0.06,0.2
2593,0.06,0.12
2,0.06,0.27
2494,0.06,0.17
64,0.05,0.09
2724,0.05,0.27
410,0.05,0.18
1756,0.05,0.14
1967,0.05,0.14
191,0.05,0.16
1904,0.05,0.1
2053,0.05,0.11
1723,0.05,0.12
2426,0.05,0.14
1608,0.05,0.13
364,0.05,0.14
1700,0.05,0.13
2522,0.04,0.16
2928,0.04,0.07
2741,0.04,0.14
1603,0.04,0.08
1834,0.04,0.06
2893,0.04,0.09
2039,0.04,0.11
2481,0.04,0.14
2563,0.03,0.05
2624,0.03,0.16
2446,0.03,0.11
2439,0.03,0.06
1829,0.03,0.09
2083,0.03,0.11
2257,0.03,0.06
1988,0.03,0.1
1977,0.03,0.06
2150,0.03,0.05
102,0.02,0.05
1461,0.02,0.07
261,0.02,0.06
2128,0.02,0.05
1642,0.02,0.13
1935,0.02,0.08
2095,0.02,0.04
2089,0.02,0.06
1393,0.01,0.03
2491,0.01,0.03
2581,0.01,0.06
2047,0.01,0.1
1911,0.01,0.07
2314,0.01,0.09
1720,0.01,0.04
11,0.01,0.18
2121,0.01,0.04
2162,0.01,0.02
2185,0.01,0.07
1840,0.01,0.14
2313,0.01,0.13
101,0.0,0.04
1856,0.0,0.12
2319,0.0,0.01
1968,0.0,0.13
2094,0.0,0.04
1699,0.0,0.2
502,0.0,0.03
2175,0.0,0.07
