id_liturgia,riferimento,id_canti,vector_similarity
C4-A,liturgia,2660,0.7399572886442787
C4-A,liturgia,2332,0.7396745749610256
C4-A,liturgia,2155,0.738395149259907
C4-A,liturgia,2598,0.7361546934812572
C4-A,liturgia,1578,0.7326051835761316
C4-A,prima_lettura,2430,0.6615513577689937
C4-A,prima_lettura,2197,0.6023473279015746
C4-A,prima_lettura,206,0.5961181186069915
C4-A,prima_lettura,2443,0.5957273265791844
C4-A,prima_lettura,1656,0.5913040134868806
C4-A,prima_lettura,2827,0.5892250361767537
C4-A,prima_lettura,1991,0.585792689483291
C4-A,prima_lettura,2078,0.5843363252438257
C4-A,prima_lettura,1712,0.5828365485921981
C4-A,prima_lettura,2981,0.5742123639533832
C4-A,salmo,2063,0.641401079177217
C4-A,salmo,2596,0.6345482282378037
C4-A,salmo,2755,0.6122250254846081
C4-A,salmo,2660,0.6020206248230004
C4-A,salmo,2452,0.5995619838223828
C4-A,salmo,2533,0.5932939986887033
C4-A,salmo,2140,0.5871000818462749
C4-A,salmo,2799,0.586884181887999
C4-A,salmo,1578,0.5793790165013661
C4-A,salmo,12,0.5772519431462951
C4-A,seconda_lettura,2332,0.78532370977861
C4-A,seconda_lettura,2296,0.7521774580218479
C4-A,seconda_lettura,2295,0.7411220540462682
C4-A,seconda_lettura,184,0.7387868556627752
C4-A,seconda_lettura,2472,0.7369984797697655
C4-A,seconda_lettura,2166,0.7356356198529894
C4-A,seconda_lettura,2127,0.735342631736935
C4-A,seconda_lettura,2578,0.7312576097763203
C4-A,seconda_lettura,2603,0.72730714660304
C4-A,seconda_lettura,2349,0.7190368324655401
C4-A,versetto,2024,0.449354544083749
C4-A,versetto,2328,0.4284669318976565
C4-A,versetto,1938,0.4211823278653169
C4-A,versetto,2184,0.4207383236359492
C4-A,versetto,1845,0.3981271210563559
C4-A,versetto,2376,0.3953446487335778
C4-A,versetto,1644,0.3943745668951289
C4-A,versetto,2307,0.3943421337665609
C4-A,versetto,2063,0.3898579315321221
C4-A,versetto,2514,0.3898122128860219
C4-A,vangelo,3031,0.7009842676013993
C4-A,vangelo,2430,0.6849424847619784
C4-A,vangelo,2603,0.6802312911083307
C4-A,vangelo,2452,0.6626551180942328
C4-A,vangelo,196,0.6447886185119676
C4-A,vangelo,184,0.6441203583551428
C4-A,vangelo,1836,0.6437286685021657
C4-A,vangelo,1819,0.6425911288328574
C4-A,vangelo,2063,0.6423034179788166
C4-A,vangelo,2596,0.6419912490731611
C5-A,liturgia,1578,0.8626849394648872
C5-A,liturgia,184,0.8614115960421876
C5-A,liturgia,2533,0.8602185326918688
C5-A,liturgia,2598,0.8521021910908171
C5-A,liturgia,1836,0.8511499974899583
C5-A,liturgia,3021,0.8397884975732864
C5-A,liturgia,2633,0.8280375032767606
C5-A,liturgia,2597,0.8269478341002833
C5-A,liturgia,2238,0.820757025692384
C5-A,liturgia,2155,0.8181697890802242
C5-A,prima_lettura,2217,0.8302469678582751
C5-A,prima_lettura,1545,0.8289545295650869
C5-A,prima_lettura,4,0.8289253788374893
C5-A,prima_lettura,2449,0.8207205513163475
C5-A,prima_lettura,1728,0.8184348365956586
C5-A,prima_lettura,1704,0.8132404874923592
C5-A,prima_lettura,1584,0.8131846623798115
C5-A,prima_lettura,2472,0.8124826675661821
C5-A,prima_lettura,1672,0.8119392371381883
C5-A,prima_lettura,2454,0.8031706914879789
C5-A,salmo,2596,0.523929185946492
C5-A,salmo,2142,0.5000563388773726
C5-A,salmo,102,0.4953946894225857
C5-A,salmo,100,0.4786782793337107
C5-A,salmo,2897,0.4502793251456732
C5-A,salmo,2063,0.4468351502483286
C5-A,salmo,2094,0.4418682476186479
C5-A,salmo,2074,0.4407387025861085
C5-A,salmo,2493,0.439689281009291
C5-A,salmo,2755,0.4344957002072742
C5-A,seconda_lettura,2127,0.7515801704602108
C5-A,seconda_lettura,2603,0.7422325608634663
C5-A,seconda_lettura,2296,0.6876936800602417
C5-A,seconda_lettura,2295,0.6812507603051877
C5-A,seconda_lettura,2578,0.6788289301133624
C5-A,seconda_lettura,2227,0.678750000809002
C5-A,seconda_lettura,2273,0.6741281276173542
C5-A,seconda_lettura,2063,0.6734894244406578
C5-A,seconda_lettura,2452,0.6723631428933527
C5-A,seconda_lettura,2332,0.6655270932433329
C5-A,versetto,1638,0.7283536900291389
C5-A,versetto,2024,0.6579402183440893
C5-A,versetto,2273,0.636860115994524
C5-A,versetto,2897,0.6288691599102033
C5-A,versetto,1725,0.6272235567286113
C5-A,versetto,2596,0.6132927176911337
C5-A,versetto,2279,0.6092858480050303
C5-A,versetto,2063,0.6038394725620145
C5-A,versetto,2,0.5931584684306873
C5-A,versetto,2758,0.5916519203507932
C5-A,vangelo,2624,0.6692505575143436
