id_canti,titolo,score_vector_similarity,score_text_similarity,score_deviation,score_selection,score_history,score,adeguatezza
2050,"Alleluja, lodate il Signore",,0.37,0.22,,,30.0,:material-dots-horizontal: Mh
3022,Redentore delle genti,0.7563014317635351,0.29,-0.16,,,30.0,:material-dots-horizontal: Mh
1627,Giorno di Pentecoste,,0.48,0.08,,,30.0,:material-dots-horizontal: Mh
1927,Sei fuoco e vento,,0.44,0.13,,,30.0,:material-dots-horizontal: Mh
2108,Padre nostro non abbandonarci,0.763960134826984,0.26,-0.1,,,30.0,:material-dots-horizontal: Mh
1958,Resto con te,,0.27,-0.27,,0.65,30.0,:material-dots-horizontal: Mh
1993,Maria (Quando l'amor),,0.27,-0.15,,0.57,30.0,:material-dots-horizontal: Mh
2416,Arderanno sempre i nostri cuori,,0.46,0.1,,,30.0,:material-dots-horizontal: Mh
268,L’uomo nuovo,,0.4,0.18,,,30.0,:material-dots-horizontal: Mh
237,Il Signore è vicino,,0.44,0.13,,,30.0,:material-dots-horizontal: Mh
82,Benedici il Signore,,0.44,0.11,,,28.999999999999996,:material-dots-horizontal: Mh
146,Cristo risusciti,,0.41,0.15,,,28.999999999999996,:material-dots-horizontal: Mh
2613,Luce in Noi ,,0.43,0.12,,,28.999999999999996,:material-dots-horizontal: Mh
133,Come è grande,0.5927174255589078,0.36,-0.13,,,28.000000000000004,:material-dots-horizontal: Mh
12,Agnello di Dio,0.747544593781787,0.25,-0.16,,,28.000000000000004,:material-dots-horizontal: Mh
2079,Regina dei cieli,,0.38,0.16,,,28.000000000000004,:material-dots-horizontal: Mh
2133,Cantico di Anna,,0.45,0.06,,,28.000000000000004,:material-dots-horizontal: Mh
2030,In cammino,,0.4,0.13,,,28.000000000000004,:material-dots-horizontal: Mh
1616,Canzone della speranza,,0.45,0.04,,,27.0,:material-dots-horizontal: Mh
1850,Ma non avere paura,,0.37,0.14,,,27.0,:material-dots-horizontal: Mh
183,Ecco l’Uomo,,0.42,0.08,,,27.0,:material-dots-horizontal: Mh
382,Resta qui con noi,,0.43,0.06,,,27.0,:material-dots-horizontal: Mh
1574,"Signore, tu sei nostro amico",,0.39,0.13,,,27.0,:material-dots-horizontal: Mh
2798,Nostra gloria è la Croce,,0.39,0.11,,,27.0,:material-dots-horizontal: Mh
2321,Resta con noi,,0.37,0.15,,,27.0,:material-dots-horizontal: Mh
339,Ora è tempo di gioia,,0.38,0.13,,,27.0,:material-dots-horizontal: Mh
6,Accogli Signore i nostri doni,0.6037558156324103,0.24,-0.04,,,27.0,:material-dots-horizontal: Mh
2270,Non sono più io che vivo,,0.46,0.04,,,27.0,:material-dots-horizontal: Mh
1674,Non sono più io che vivo,,0.46,0.03,,,27.0,:material-dots-horizontal: Mh
169,E correremo insieme,,0.46,0.03,,,27.0,:material-dots-horizontal: Mh
19,Alleluia (la nostra festa),,0.36,0.14,,,26.0,:material-dots-horizontal: Mh
292,Luce di verità,0.7470947399089719,0.26,-0.24,,,26.0,:material-dots-horizontal: Mh
2530,La vera gioia,,0.42,0.06,,,26.0,:material-dots-horizontal: Mh
163,Dov’è carità e amore,,0.44,0.04,,,26.0,:material-dots-horizontal: Mh
2318,Santo,,0.34,0.15,,,26.0,:material-dots-horizontal: Mh
2368,O dolce legno,,0.36,0.14,,,26.0,:material-dots-horizontal: Mh
3010,Santo è il Signore,,0.33,0.17,,,26.0,:material-dots-horizontal: Mh
2327,Chi ha fame,,0.41,0.08,,,26.0,:material-dots-horizontal: Mh
1563,"Gloria a te, parola vivente",,0.4,0.08,,,26.0,:material-dots-horizontal: Mh
1602,Accetta o Padre,,0.38,0.1,,,26.0,:material-dots-horizontal: Mh
1937,Rallegratevi,,0.38,0.11,,,26.0,:material-dots-horizontal: Mh
138,Come un fiume,,0.41,0.07,,,26.0,:material-dots-horizontal: Mh
2103,Un sogno che vola,,0.38,0.09,,,25.0,:material-dots-horizontal: Mh
2565,Sacro torrente,0.6093741049168672,0.19,-0.03,,,25.0,:material-dots-horizontal: Mh
191,Evenhu Shalom,,0.29,0.2,,,25.0,:material-dots-horizontal: Mh
2520,Effonderò il mio spirito,,0.32,0.17,,,25.0,:material-dots-horizontal: Mh
1730,Rallegrati Gerusalemme,,0.37,0.11,,,25.0,:material-dots-horizontal: Mh
2106,Vivi in noi don Bosco,,0.35,0.13,,,25.0,:material-dots-horizontal: Mh
2037,Cuore a cuore,,0.37,0.09,,,25.0,:material-dots-horizontal: Mh
1791,Quando nasce un bambino ,,0.38,0.08,,,25.0,:material-dots-horizontal: Mh
1771,La vita che nasce,,0.42,0.03,,,25.0,:material-dots-horizontal: Mh
2783,Mistero della fede - Tu ci hai Redenti,0.7257454574670792,0.15,-0.09,,,25.0,:material-dots-horizontal: Mh
1566,Re dei Re,0.604431650376139,0.22,-0.06,,,25.0,:material-dots-horizontal: Mh
1859,Albero di vita,,0.41,0.04,,,25.0,:material-dots-horizontal: Mh
2107,Giovani orizzonti,0.5909880777957488,0.31,-0.16,,,25.0,:material-dots-horizontal: Mh
2507,Così come sei,,0.37,0.09,,,25.0,:material-dots-horizontal: Mh
1654,Come unico Pane,,0.41,0.05,,,25.0,:material-dots-horizontal: Mh
2140,Santo - Jesus Christ Superstar (semplificato),0.504252628535968,0.24,0.0,,,25.0,:material-dots-horizontal: Mh
2811,Fame e sete di Cristo,,0.36,0.08,,,24.0,:material-dots-horizontal: Mh
2243,Alleluia Gv 13,,0.33,0.13,,,24.0,:material-dots-horizontal: Mh
2041,Bisogna che Cristo cresca,,0.32,0.15,,,24.0,:material-dots-horizontal: Mh
2736,Alleluia Vi annunzio,,0.33,0.12,,,24.0,:material-dots-horizontal: Mh
2895,Santo,,0.33,0.12,,,24.0,:material-dots-horizontal: Mh
1741,Abbiamo trovato il Messia,,0.35,0.1,,,24.0,:material-dots-horizontal: Mh
2518,E' il Signor,,0.34,0.11,,,24.0,:material-dots-horizontal: Mh
2602,E' il Signor,,0.34,0.11,,,24.0,:material-dots-horizontal: Mh
1764,Ho lottato tanto in questo giorno,,0.35,0.11,,,24.0,:material-dots-horizontal: Mh
13,Alla mensa del Signore,,0.27,-0.18,,0.46,24.0,:material-dots-horizontal: Mh
1759,Io ti cerco,,0.45,-0.02,,,24.0,:material-dots-horizontal: Mh
2161,Santo,,0.32,0.15,,,24.0,:material-dots-horizontal: Mh
2087,Preconio Pasquale,,0.46,-0.06,,,23.0,:material-dots-horizontal: Mh
1579,Signore cerchi i figli tuoi,0.6006451075399937,0.15,-0.05,,,23.0,:material-dots-horizontal: Mh
2555,Ora si può,,0.4,0.02,,,23.0,:material-dots-horizontal: Mh
134,Come fuoco vivo,,0.39,0.02,,,23.0,:material-dots-horizontal: Mh
1564,Nostra gloria è la croce,,0.4,0.01,,,23.0,:material-dots-horizontal: Mh
2570,Se avessi mai commesso,,0.42,-0.0,,,23.0,:material-dots-horizontal: Mh
2212,Alleluia (Canta con gioia),,0.35,0.07,,,23.0,:material-dots-horizontal: Mh
1793,Canzone di Maria chiara (Se non ritornerete),,0.37,0.05,,,23.0,:material-dots-horizontal: Mh
413,Se il Signore non costruisce la città,,0.39,0.04,,,23.0,:material-dots-horizontal: Mh
2600,Lasciate che i bambini vengano a me,,0.4,0.02,,,23.0,:material-dots-horizontal: Mh
1416,Ecco quel che abbiamo,,0.36,-0.09,,0.33,23.0,:material-dots-horizontal: Mh
1947,Aprite le porte,,0.39,0.04,,,23.0,:material-dots-horizontal: Mh
1839,Se il chicco di frumento,,0.33,0.1,,,23.0,:material-dots-horizontal: Mh
2274,Santo santo sei,,0.33,0.1,,,23.0,:material-dots-horizontal: Mh
1594,Vi lascio un grande esempio,,0.32,0.11,,,23.0,:material-dots-horizontal: Mh
1382,Dio grande Dio,,0.27,-0.22,,0.46,23.0,:material-dots-horizontal: Mh
2662,Alleluia (Shalom),,0.32,0.11,,,23.0,:material-dots-horizontal: Mh
2276,Santo,,0.33,0.11,,,23.0,:material-dots-horizontal: Mh
486,Vieni e seguimi,,0.34,0.09,,,23.0,:material-dots-horizontal: Mh
236,Il Signore è la mia salvezza,,0.41,-0.02,,,22.0,:material-dots-horizontal: Mh
315,Nei cieli un grido risuonò,,0.35,0.06,,,22.0,:material-dots-horizontal: Mh
2210,Saluto alla Vergine,,0.31,0.11,,,22.0,:material-dots-horizontal: Mh
2645,La Parabola del Seminatore,,0.4,-0.0,,,22.0,:material-dots-horizontal: Mh
8,Acqua siamo noi,,0.38,0.01,,,22.0,:material-dots-horizontal: Mh
2452,Al Santo Glorioso (Inno in onore di San Francesco di Paola),,0.36,0.05,,,22.0,:material-dots-horizontal: Mh
4,Acclamate al Signore,,0.38,0.01,,,22.0,:material-dots-horizontal: Mh
2395,"O Signore, raccogli i tuoi figli",,0.34,0.07,,,22.0,:material-dots-horizontal: Mh
2980,Non di solo pane,,0.42,-0.02,,,22.0,:material-dots-horizontal: Mh
2953,Cristo nostra Pasqua,,0.33,0.09,,,22.0,:material-dots-horizontal: Mh
404,Santo,,0.31,0.11,,,22.0,:material-dots-horizontal: Mh
1611,Santo (Jesus Christ Superstar),,0.32,0.09,,,22.0,:material-dots-horizontal: Mh
1956,Inno all'amore,,0.36,0.05,,,22.0,:material-dots-horizontal: Mh
2374,Facci sognare!,,0.36,0.05,,,22.0,:material-dots-horizontal: Mh
23,Alleluia Canto per Cristo,,0.36,0.04,,,22.0,:material-dots-horizontal: Mh
1784,Santo (Ci doniamo a Te),,0.31,0.11,,,22.0,:material-dots-horizontal: Mh
2418,Padre nostro (testo adattato nuova liturgia),,0.36,0.03,,,21.0,:material-dots-horizontal: Mh
1786,Pentecoste,,0.38,-0.01,,,21.0,:material-dots-horizontal: Mh
1679,Dal tronco di Jesse,,0.3,0.1,,,21.0,:material-dots-horizontal: Mh
2551,Non c'è nessuno che,,0.33,0.06,,,21.0,:material-dots-horizontal: Mh
2758,Grida nuova umanità,,0.38,-0.01,,,21.0,:material-dots-horizontal: Mh
2927,Santo,,0.31,0.09,,,21.0,:material-dots-horizontal: Mh
2425,Ecco l'acqua,,0.31,0.08,,,21.0,:material-dots-horizontal: Mh
1477,Sono il Pane di Vita,,0.37,0.02,,,21.0,:material-dots-horizontal: Mh
2312,Santo Santo,,0.33,0.05,,,21.0,:material-dots-horizontal: Mh
88,Camminerò,,0.37,0.02,,,21.0,:material-dots-horizontal: Mh
1709,Signore da chi andremo,,0.42,-0.06,,,21.0,:material-dots-horizontal: Mh
2568,Il Signore in eterno ,,0.35,0.03,,,21.0,:material-dots-horizontal: Mh
2664,La giusta direzione,,0.36,0.03,,,21.0,:material-dots-horizontal: Mh
2123,Alleluia 7,0.3702211607061756,0.23,0.03,,,21.0,:material-dots-horizontal: Mh
2460,Come un fiume,,0.35,0.04,,,21.0,:material-dots-horizontal: Mh
1941,Santo,,0.29,0.1,,,21.0,:material-dots-horizontal: Mh
189,Esci dalla Tua terra,,0.41,-0.03,,,21.0,:material-dots-horizontal: Mh
2540,La terra buona,,0.4,-0.03,,,21.0,:material-dots-horizontal: Mh
1879,Preconio Pasquale,,0.44,-0.07,,,21.0,:material-dots-horizontal: Mh
2099,Sai fischiare?,,0.38,-0.01,,,21.0,:material-dots-horizontal: Mh
2115,Canto di contrizione,,0.35,0.04,,,21.0,:material-dots-horizontal: Mh
2596,L'annuncio a Maria,0.5779629661047628,0.22,-0.17,,,21.0,:material-dots-horizontal: Mh
1556,Insieme è forte,,0.37,0.02,,,21.0,:material-dots-horizontal: Mh
1778,Apri i cieli,,0.36,0.02,,,21.0,:material-dots-horizontal: Mh
1698,Vergin Santa,,0.41,-0.04,,,21.0,:material-dots-horizontal: Mh
1427,Camminiamo sulla strada,,0.36,-0.01,,,20.0,:material-dots-horizontal: Mh
1750,"Come è bello, come da gioia. Sal 132(133)",,0.33,0.03,,,20.0,:material-dots-horizontal: Mh
411,Scusa Signore,,0.36,0.01,,,20.0,:material-dots-horizontal: Mh
2084,Signore Pietà,,0.3,0.07,,,20.0,:material-dots-horizontal: Mh
2436,Anche tu sei mio fratello,,0.32,0.04,,,20.0,:material-dots-horizontal: Mh
2268,Preferisco il paradiso,,0.28,0.1,,,20.0,:material-dots-horizontal: Mh
264,L’acqua viva,,0.32,0.04,,,20.0,:material-dots-horizontal: Mh
1923,Santo Santo,,0.31,0.07,,,20.0,:material-dots-horizontal: Mh
1749,Che siano una sola cosa,,0.32,0.04,,,20.0,:material-dots-horizontal: Mh
2225,Venite alla festa,,0.32,0.06,,,20.0,:material-dots-horizontal: Mh
402,Santo,,0.31,0.07,,,20.0,:material-dots-horizontal: Mh
2569,Scatenate la gioia,,0.32,0.05,,,20.0,:material-dots-horizontal: Mh
1684,Celebriamo il Signore,,0.47,0.39,0.1,,20.0,:material-dots-horizontal: Mh
144,Credo in Te,,0.36,-0.01,,,20.0,:material-dots-horizontal: Mh
1552,Canta con noi,,0.37,-0.02,,,20.0,:material-dots-horizontal: Mh
2795,Come il Pellicano,,0.38,-0.03,,,20.0,:material-dots-horizontal: Mh
1892,Signora della pace,,0.36,-0.01,,,20.0,:material-dots-horizontal: Mh
2328,Santo,,0.29,0.09,,,20.0,:material-dots-horizontal: Mh
2472,Benedetto sei Tu che vieni,,0.35,0.02,,,20.0,:material-dots-horizontal: Mh
2474,Maria,,0.36,-0.0,,,20.0,:material-dots-horizontal: Mh
1976,Come brezza ,,0.35,0.02,,,20.0,:material-dots-horizontal: Mh
238,Il Signore mi guardi e mi benedica,,0.34,0.02,,,20.0,:material-dots-horizontal: Mh
394,Santa Maria del cammino,,0.35,0.02,,,20.0,:material-dots-horizontal: Mh
239,Il Tuo amore,,0.4,-0.06,,,20.0,:material-dots-horizontal: Mh
2663,Dove s'alza un'onda,,0.37,-0.01,,,20.0,:material-dots-horizontal: Mh
365,Preghiera semplice,,0.34,0.03,,,20.0,:material-dots-horizontal: Mh
1621,Occhi di cielo,,0.34,0.02,,,20.0,:material-dots-horizontal: Mh
2353,Oggi è Festa per noi,,0.34,0.03,,,20.0,:material-dots-horizontal: Mh
1591,Dov’è l’amore e la carità,,0.31,0.04,,,19.0,:material-dots-horizontal: Mh
324,Noi veglieremo,,0.3,0.06,,,19.0,:material-dots-horizontal: Mh
1979,Alla tua mensa,0.5914339465364457,0.22,-0.25,,,19.0,:material-dots-horizontal: Mh
1735,Santo (Do Re Mi),,0.32,0.03,,,19.0,:material-dots-horizontal: Mh
142,Con Te faremo cose grandi,,0.39,-0.05,,,19.0,:material-dots-horizontal: Mh
1869,"Maria, tua dolcezza",,0.37,-0.04,,,19.0,:material-dots-horizontal: Mh
2493,Amen Jhavè,0.5087128355332518,0.21,-0.14,,,19.0,:material-dots-horizontal: Mh
2817,Hosanna ,,0.28,0.07,,,19.0,:material-dots-horizontal: Mh
1880,E la strada si apre,,0.35,-0.01,,,19.0,:material-dots-horizontal: Mh
1478,Servire è regnare,,0.31,0.04,,,19.0,:material-dots-horizontal: Mh
2766,Alleluia dello Spirito,,0.31,0.05,,,19.0,:material-dots-horizontal: Mh
2152,Gustate e vedete,,0.34,0.01,,,19.0,:material-dots-horizontal: Mh
505,Prima Corinzi 13,,0.34,0.01,,,19.0,:material-dots-horizontal: Mh
1740,Sei luce splendida,,0.35,0.0,,,19.0,:material-dots-horizontal: Mh
1792,Resta con noi,,0.32,0.02,,,19.0,:material-dots-horizontal: Mh
2003,Giovanni,,0.35,-0.02,,,19.0,:material-dots-horizontal: Mh
2589,Come un faro nel buio,,0.38,-0.05,,,19.0,:material-dots-horizontal: Mh
414,Se m’accogli,,0.39,-0.05,,,19.0,:material-dots-horizontal: Mh
1913,Tornerà il Signor,,0.34,0.01,,,19.0,:material-dots-horizontal: Mh
83,Benedici o Signore,,0.34,0.01,,,19.0,:material-dots-horizontal: Mh
2181,Gloria,,0.38,-0.06,,,18.0,:material-dots-horizontal: Mh
253,Io non sono degno,,0.35,-0.04,,,18.0,:material-dots-horizontal: Mh
3002,I.N.R.I. (Io Non Ritorno Indietro),,0.31,0.02,,,18.0,:material-dots-horizontal: Mh
457,Ti offriamo,,0.37,-0.06,,,18.0,:material-dots-horizontal: Mh
2586,Incontro a Te,,0.3,0.02,,,18.0,:material-dots-horizontal: Mh
2000,O Croce Fedele ,,0.3,0.02,,,18.0,:material-dots-horizontal: Mh
2444,Resta con noi Gesù ,,0.31,0.02,,,18.0,:material-dots-horizontal: Mh
18,Alleluia (ed oggi ancora),,0.3,0.02,,,18.0,:material-dots-horizontal: Mh
1924,Nella Chiesa del Signore,,0.36,-0.05,,,18.0,:material-dots-horizontal: Mh
1929,A te vorrei dire,,0.33,0.0,,,18.0,:material-dots-horizontal: Mh
2120,Quello che Dio dice di me (versione italiana),,0.32,0.0,,,18.0,:material-dots-horizontal: Mh
198,Fragile pane,,0.32,0.01,,,18.0,:material-dots-horizontal: Mh
1700,Regina caeli,,0.24,0.1,,,18.0,:material-dots-horizontal: Mh
2184,Santo 2019,,0.28,0.06,,,18.0,:material-dots-horizontal: Mh
3018,Veni Domine Jesu,,0.26,0.08,,,18.0,:material-dots-horizontal: Mh
1765,Inno all'amore,,0.27,0.07,,,18.0,:material-dots-horizontal: Mh
2529,Sei Tu Signore il pane,,0.33,-0.01,,,18.0,:material-dots-horizontal: Mh
1726,Prepariamo la via al Signore,,0.34,-0.01,,,18.0,:material-dots-horizontal: Mh
199,Francesco vai,,0.36,-0.04,,,18.0,:material-dots-horizontal: Mh
176,E' Natale,,0.34,-0.01,,,18.0,:material-dots-horizontal: Mh
125,Cerco la Tua voce,,0.36,-0.05,,,18.0,:material-dots-horizontal: Mh
2222,Tutto il mondo deve sapere,,0.36,-0.04,,,18.0,:material-dots-horizontal: Mh
231,Il Pane del Cammino,,0.39,-0.08,,,18.0,:material-dots-horizontal: Mh
233,Il Regno di Dio,,0.32,0.01,,,18.0,:material-dots-horizontal: Mh
245,Insieme a Te,,0.38,-0.08,,,18.0,:material-dots-horizontal: Mh
2241,Io vi do un grande esempio,,0.32,0.01,,,18.0,:material-dots-horizontal: Mh
2253,Venite applaudiamo al Signore,,0.38,-0.06,,,18.0,:material-dots-horizontal: Mh
2447,Tempo di ricominciare,,0.39,-0.08,,,18.0,:material-dots-horizontal: Mh
2221,Cantico delle creature,,0.34,-0.01,,,18.0,:material-dots-horizontal: Mh
1641,Santo,,0.28,0.05,,,18.0,:material-dots-horizontal: Mh
2997,O Luce radiosa,,0.35,-0.04,,,18.0,:material-dots-horizontal: Mh
276,"La Sua, la nostra Messa",,0.37,-0.05,,,18.0,:material-dots-horizontal: Mh
1753,Santo,,0.28,0.05,,,18.0,:material-dots-horizontal: Mh
2737,Inno alla Parola,,0.42,-0.11,,,18.0,:material-dots-horizontal: Mh
1549,Canta con noi (v2),,0.36,-0.04,,,18.0,:material-dots-horizontal: Mh
2224,Partirò,,0.34,-0.03,,,18.0,:material-dots-horizontal: Mh
2190,Cantico dell'agnello,,0.34,-0.01,,,18.0,:material-dots-horizontal: Mh
2884,Hallelujah Cohen,,0.3,0.04,,,18.0,:material-dots-horizontal: Mh
2919,Ecco quant'è bello,,0.29,0.05,,,18.0,:material-dots-horizontal: Mh
2246,E sia sì,,0.34,-0.05,,,17.0,:material-dots-horizontal: Mh
432,Silenzioso Dio,,0.37,-0.07,,,17.0,:material-dots-horizontal: Mh
2183,In una notte come tante,,0.35,-0.06,,,17.0,:material-dots-horizontal: Mh
2504,Chiara è la tua sorgente,,0.36,-0.06,,,17.0,:material-dots-horizontal: Mh
1881,Hallelujah (riadattamento cattolico),,0.3,0.01,,,17.0,:material-dots-horizontal: Mh
2304,Il canto della Resurrezione,,0.27,0.04,,,17.0,:material-dots-horizontal: Mh
2846,Come chicco di grano,,0.38,-0.1,,,17.0,:material-dots-horizontal: Mh
1708,Betlemme di Efrata,,0.33,-0.03,,,17.0,:material-dots-horizontal: Mh
2755,L'angelo del Signore,0.5278135564012949,0.11,-0.12,,,17.0,:material-dots-horizontal: Mh
1615,Stella del mare,,0.34,-0.05,,,17.0,:material-dots-horizontal: Mh
1732,Vi annuncio la gioia,,0.35,-0.06,,,17.0,:material-dots-horizontal: Mh
500,Pane di vita nuova,,0.34,-0.05,,,17.0,:material-dots-horizontal: Mh
2371,Inno GMG 2016,,0.33,-0.03,,,17.0,:material-dots-horizontal: Mh
2485,Con un cuore solo,,0.34,-0.04,,,17.0,:material-dots-horizontal: Mh
2367,Volto dell'Uomo,,0.34,-0.04,,,17.0,:material-dots-horizontal: Mh
1857,Santo,,0.29,0.01,,,17.0,:material-dots-horizontal: Mh
2423,Dell'aurora Tu sorgi più bella (v2),,0.3,0.01,,,17.0,:material-dots-horizontal: Mh
177,E pace intima,,0.36,-0.06,,,17.0,:material-dots-horizontal: Mh
2560,Perfetta letizia,,0.28,0.04,,,17.0,:material-dots-horizontal: Mh
1473,Chi?,,0.36,-0.06,,,17.0,:material-dots-horizontal: Mh
1834,Kyrie Eleison,,0.25,0.08,,,17.0,:material-dots-horizontal: Mh
