id_canti,mean_text_similarity,max_text_similarity
2244,0.25,0.39
2246,0.25,0.43
2278,0.25,0.55
2299,0.25,0.39
2757,0.25,0.41
2329,0.25,0.41
2367,0.25,0.42
1654,0.25,0.41
58,0.25,0.36
2717,0.25,0.52
2681,0.25,0.37
2407,0.25,0.42
1542,0.25,0.36
2643,0.25,0.45
2469,0.25,0.41
1416,0.25,0.36
8,0.25,0.42
1382,0.25,0.41
2533,0.25,0.49
479,0.25,0.41
2223,0.25,0.35
2226,0.25,0.39
1668,0.25,0.37
2082,0.25,0.47
1718,0.25,0.38
47,0.25,0.41
295,0.25,0.37
2193,0.25,0.83
292,0.25,0.4
1661,0.25,0.37
2217,0.25,0.41
22,0.25,0.42
209,0.24,0.39
2385,0.24,0.43
2692,0.24,0.37
331,0.24,0.35
2891,0.24,0.44
24,0.24,0.47
2093,0.24,0.4
187,0.24,0.36
2534,0.24,0.47
2592,0.24,0.4
2595,0.24,0.38
1851,0.24,0.39
2080,0.24,0.37
2149,0.24,0.39
206,0.24,0.41
2530,0.24,0.36
254,0.24,0.4
2990,0.24,0.38
2344,0.24,0.42
199,0.24,0.38
2265,0.24,0.43
2218,0.24,0.44
1939,0.24,0.37
2204,0.24,0.49
2239,0.24,0.36
193,0.24,0.38
298,0.24,0.34
2254,0.24,0.4
3053,0.24,0.37
2786,0.24,0.37
2291,0.24,0.45
2360,0.24,0.53
2183,0.24,0.38
2760,0.24,0.37
2168,0.24,0.44
2825,0.24,0.4
2152,0.24,0.49
1895,0.24,0.4
234,0.24,0.42
2222,0.24,0.39
1887,0.24,0.38
297,0.24,0.43
224,0.24,0.35
445,0.24,0.38
1677,0.24,0.41
1751,0.24,0.44
1396,0.24,0.77
504,0.24,0.42
1355,0.24,0.37
1620,0.24,0.43
134,0.24,0.38
1817,0.24,0.36
1762,0.24,0.41
457,0.24,0.36
1634,0.24,0.4
1640,0.24,0.38
1564,0.24,0.36
1752,0.24,0.37
120,0.24,0.38
116,0.24,0.36
2377,0.23,0.36
2400,0.23,0.41
2664,0.23,0.42
1788,0.23,0.39
1924,0.23,0.36
2166,0.23,0.4
2165,0.23,0.42
1927,0.23,0.36
2132,0.23,0.33
