id_canti,similarity,mean_similarity,deviation,titolo,autore,raccolta,momento,link_youtube,score_similarity,score_deviation,score
1745,17.51,13.47,4.040000000000001,Beati voi,Francesco Buttazzo,,"21,31,32,10,15,17,20",1b9KyDZyETU,0.5546421541950114,2.0,2.5546421541950113
347,17.59,15.4,2.1899999999999995,"Pace sia, pace a voi",Gen Rosso / Gen Verde,Come fuoco vivo,"30,32",Ga9OYuovxio,0.5571762131519273,1.0841584158415836,1.641334628993511
2520,13.97,13.39,0.5800000000000001,Effonderò il mio spirito,Recalcati Carlo,Esultanti cantiamo,6,dDpKUREFsYs,0.442510045351474,0.2871287128712871,0.729638758222761
191,5.87,5.33,0.54,Evenhu Shalom,Tradizionale Ebraico,,30,AWePGSeapVo,0.18593657596371882,0.2673267326732673,0.4532633086369861
2048,19.16,21.21,-2.0500000000000007,Beati voi,Giosy Cento,,"21,31",d3gRXkwijEo,0.6069071201814059,-0.1815766164747565,0.4253305037066494
2322,13.01,13.84,-0.8300000000000001,Lodate il Signore dai Cieli,Marco Frisina,Benedici il Signore,25,dxYvkPpwXS8,0.4121013378684807,-0.07351638618246237,0.3385849516860183
2311,15.23,17.09,-1.8599999999999994,La vera vite,Marco Frisina,Pane di vita nuova,26,yvy-9GH-7ZU,0.48242147392290247,-0.1647475642161204,0.31767390970678205
2738,26.46,32.63,-6.170000000000002,La vera vite,L.Scaglianti,Kerygma: l'uomo davanti alla parola,31,Pgek5MYv8LE,0.8381399999999999,-0.546501328609389,0.29163867139061084
1710,13.19,14.74,-1.5500000000000007,Spezziamo il pane ,Chris Rolinson,,31,wsa2qtnfRfk,0.4178029705215419,-0.13728963684676712,0.2805133336747748
1478,14.46,16.8,-2.34,Servire è regnare,Gen  Verde,,"26,4",U_xd0EgZKUg,0.4580311564625851,-0.20726306465899025,0.25076809180359483
1396,19.34,23.57,-4.23,Rimanete in me,RnS,,31,OPHcpzxIC9c,0.612608752834467,-0.37466784765279015,0.23794090518167688
1950,13.81,16.15,-2.339999999999998,Venite a me,L. Mariano,,"31,2,4,20",wEvLT3HnkTo,0.43744192743764176,-0.2072630646589901,0.23017886277865166
1864,14.11,17.41,-3.3000000000000007,Ecco l'uomo (Uomo della Croce - forma breve),Pierangelo Sequeri,,"31,4,10",mY_d628hlJc,0.4469446485260771,-0.2922940655447299,0.1546505829813472
